subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,-0.031760223,0.526487973992532,-0.01691129319558247,0.7359725442420604,0.3152834,0.25448135,0.477375,-0.24279809,400
dmnelf002,-0.010395716,0.8357988178447708,0.006180038625241407,0.9019367368106597,0.33575228,0.27518594,0.5194,-0.110526204,400
dmnelf003,0.053235613,0.28817472525188687,-0.034166651041569004,0.49562253791760946,0.44816357,0.2478454,0.48425000000000007,-0.104325294,400
dmnelf004,-0.124845915,0.012458401443394036,-0.0866255414096338,0.08356903612340898,0.59263176,0.4832348,0.46672500000000006,-0.14991724,400
dmnelf005,0.018455688,0.712879889219726,0.02552115950724692,0.6108162083374298,0.34330925,0.27364814,0.5193749999999999,-0.20620644,400
dmnelf006,0.02677759,0.5933607346133147,-0.01017512609453809,0.8392359302056479,0.41018316,0.33455953,0.45607500000000006,-0.13129473,400
dmnelf007,-0.010822183,0.8291650874444001,-0.04216732604578778,0.40030232567712054,0.38515425,0.29735464,0.5108,-0.007973433,400
dmnelf008,0.11034741,0.027329130154808284,0.20078750492190572,5.244722572915181e-05,0.48771605,0.33024335,0.6563249999999999,-0.012827635,400
dmnelf009,-0.016707819,0.7390338346462317,-0.0451150319689498,0.368154747700687,0.41694224,0.32593444,0.505425,-0.16342807,400
dmnelf010,0.074897654,0.1348189245058719,0.030251439071494194,0.5463268063968887,0.34800962,0.28137827,0.510425,-0.0047131777,400
dmnelf011,-0.13192312,0.008247649389715757,-0.15139519621997638,0.002397824185391338,0.26246658,0.20235784,0.4403500000000001,-0.08836496,400
dmnelf012,-0.16985862,0.0006463929374167866,-0.27360789754935966,2.6745186211762534e-08,0.3716664,0.29706383,0.382325,-0.050237894,400
dmnelf013,0.019995851,0.6901109520238934,-0.11304801905011905,0.023750738757238748,0.2190789,0.1562528,0.408875,-0.9268594,400
dmnelf014,0.122523054,0.014204979683804532,0.0716314476965481,0.15272189609092401,0.41875136,0.32933593,0.561525,0.0017566085,400
dmnelf015,-0.12638433,0.011408548363273107,-0.07490053062831642,0.13480386503803055,0.57622856,0.45719966,0.4634999999999999,-0.13867712,400
dmnelf016,0.0001075095,0.9982894920160634,-0.024242401515009466,0.628810508220639,0.36355746,0.2945326,0.508075,-0.1739353,400
dmnelf1001,0.12962888,0.00944743434992244,0.1713164457277858,0.0005793983264743907,0.35815117,0.28270003,0.57405,0.016449392,400
dmnelf1002,-0.2338811,2.2593274898149243e-06,-0.2288787429921437,3.7499191549972645e-06,0.36790618,0.28841567,0.3798750000000001,-0.5963049,400
dmnelf1003,0.017022418,0.750983221460364,0.020619876780335233,0.7006646191231051,0.35159412,0.28945774,0.5204571428571428,-0.23220122,350
