subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,-0.06530728,0.19242136534218718,-0.04552322202013762,0.36383279027954185,0.29085684,0.23494788,0.502675,-0.057686567,400
dmnelf002,-0.0020293691,0.967725280889328,0.01153132207076294,0.8181598872915283,0.32311583,0.26331156,0.52165,-0.028507352,400
dmnelf003,-0.030761404,0.5395807791197675,-0.06380833630210188,0.20285095419977006,0.43614277,0.2298995,0.47437500000000005,-0.04587865,400
dmnelf004,-0.1360361,0.006432357606526606,-0.10536047100294375,0.03516258387905733,0.56677526,0.46366775,0.47029999999999994,-0.05176449,400
dmnelf005,0.15744004,0.001584916765961407,0.11485028031425196,0.0215945848408151,0.31274623,0.25416678,0.5288,-0.0010015965,400
dmnelf006,0.09628814,0.054328503907573496,0.08653366583541146,0.08389849043616449,0.38745743,0.31328014,0.5255,-0.009410977,400
dmnelf007,-0.05896794,0.2393183387045051,-0.09614066337914612,0.05470040973073498,0.38738602,0.29965848,0.46022500000000005,-0.019688606,400
dmnelf008,-0.08965216,0.07328681475702166,-0.05254382839892749,0.2944948180793668,0.50764894,0.35292545,0.49177499999999996,-0.09730768,400
dmnelf009,-0.15336482,0.0020985916076074144,-0.112512703204395,0.02442599088201648,0.41867766,0.32900956,0.43394999999999995,-0.17313325,400
dmnelf010,-0.09584279,0.05545819856960408,-0.10968424802655016,0.028275576075465762,0.36212265,0.2931226,0.45672500000000005,-0.08785498,400
dmnelf011,-0.05406464,0.28072246117201605,-0.06797986237413983,0.17480901715277372,0.2651001,0.19977337,0.48672499999999996,-0.1103152,400
dmnelf012,-0.10226706,0.04092369572933354,-0.1152847205295033,0.021100976229051254,0.38606188,0.3109318,0.45059999999999995,-0.13316953,400
dmnelf013,0.044660106,0.37300905304346194,0.04671685448034049,0.35137684722324614,0.21442834,0.16097827,0.525425,-0.84592164,400
dmnelf014,0.15588896,0.0017650371732948241,0.15491478071737946,0.0018875436915183144,0.42077115,0.33709535,0.54515,-0.007896304,400
dmnelf015,0.13174887,0.008333720067721333,0.12447134044587779,0.012726522284728755,0.5354372,0.41801482,0.533825,0.01683098,400
dmnelf016,0.052403264,0.2957906471238071,0.012641891511821947,0.8009972792130917,0.33700103,0.27220485,0.5088,-0.008696318,400
dmnelf1001,-0.027611839,0.5818984466040298,-0.014700091875574221,0.7694475542249175,0.37988412,0.30337605,0.489425,-0.10653794,400
dmnelf1002,-0.18903078,0.00014288163160271436,-0.2026634541465884,4.4451918660066656e-05,0.30726126,0.24175973,0.3999500000000001,-0.1134156,400
dmnelf1003,0.22592045,1.9833670766249837e-05,0.2380149109088937,6.738610135146809e-06,0.30871812,0.24975011,0.643069387755102,0.050002158,350
