cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd002,DMN,EFP,O1,700,-0.0018763216660886003
rtBPD,rtbpd003,DMN,EFP,O1,700,0.11881016516968061
rtBPD,rtbpd004,DMN,EFP,O1,560,0.09091959472555887
rtBPD,rtbpd009,DMN,EFP,O1,700,0.04492361106416998
rtBPD,rtbpd010,DMN,EFP,O1,700,0.0009312536699576297
rtBPD,rtbpd011,DMN,EFP,O1,700,0.04058125723703833
rtBPD,rtbpd012,DMN,EFP,O1,700,0.186793190094315
rtBPD,rtbpd013,DMN,EFP,O1,700,0.2271072842759736
rtBPD,rtbpd015,DMN,EFP,O1,700,0.0444928088074275
rtBPD,rtbpd018,DMN,EFP,O1,700,-0.0031774903213619473
rtBPD,rtbpd020,DMN,EFP,O1,700,-0.00024525055572384566
rtBPD,rtbpd021,DMN,EFP,O1,700,0.32207011440659755
rtBPD,rtbpd022,DMN,EFP,O1,560,0.052709070420916534
rtBPD,rtbpd024,DMN,EFP,O1,700,0.11762491779793521
rtBPD,rtbpd026,DMN,EFP,O1,700,-0.010179975065662619
rtBPD,rtbpd030,DMN,EFP,O1,700,-0.057724488492662054
rtBPD,rtbpd034,DMN,EFP,O1,700,0.07403030763407661
rtBPD,rtbpd038,DMN,EFP,O1,700,0.3565944944163966
rtBPD,rtbpd040,DMN,EFP,O1,700,-0.017602984144395307
rtBPD,rtbpd002,DMN,HRF,O1,750,0.07148577761839707
rtBPD,rtbpd003,DMN,HRF,O1,750,0.3563881099214663
rtBPD,rtbpd004,DMN,HRF,O1,600,0.21780055591659
rtBPD,rtbpd009,DMN,HRF,O1,750,0.118675080315736
rtBPD,rtbpd010,DMN,HRF,O1,750,0.250058734800154
rtBPD,rtbpd011,DMN,HRF,O1,750,-0.17124050167513682
rtBPD,rtbpd012,DMN,HRF,O1,750,0.11442520778221535
rtBPD,rtbpd013,DMN,HRF,O1,750,0.22857833862734261
rtBPD,rtbpd015,DMN,HRF,O1,750,0.22387086314254637
rtBPD,rtbpd018,DMN,HRF,O1,750,0.19881422535683696
rtBPD,rtbpd020,DMN,HRF,O1,750,0.19551578504449155
rtBPD,rtbpd021,DMN,HRF,O1,750,0.18998265519668717
rtBPD,rtbpd022,DMN,HRF,O1,600,0.1358354050722576
rtBPD,rtbpd024,DMN,HRF,O1,750,0.30429504076706093
rtBPD,rtbpd026,DMN,HRF,O1,750,-0.03652431231982192
rtBPD,rtbpd030,DMN,HRF,O1,750,0.14530301453131922
rtBPD,rtbpd034,DMN,HRF,O1,750,0.19160687082161684
rtBPD,rtbpd038,DMN,HRF,O1,750,0.0792472797447427
rtBPD,rtbpd040,DMN,HRF,O1,750,0.08064251730344114
rtBPD,rtbpd002,DMN,TA,O1,750,0.08918335384344735
rtBPD,rtbpd003,DMN,TA,O1,750,0.06512045350987276
rtBPD,rtbpd004,DMN,TA,O1,600,-0.05804920424193624
rtBPD,rtbpd009,DMN,TA,O1,750,0.06295531171851594
rtBPD,rtbpd010,DMN,TA,O1,750,0.10406916342281108
rtBPD,rtbpd011,DMN,TA,O1,750,0.11958283079157662
rtBPD,rtbpd012,DMN,TA,O1,750,-0.20782442279144592
rtBPD,rtbpd013,DMN,TA,O1,750,0.04585103676288881
rtBPD,rtbpd015,DMN,TA,O1,750,-0.11775567850420396
rtBPD,rtbpd018,DMN,TA,O1,750,-0.06888746875938663
rtBPD,rtbpd020,DMN,TA,O1,750,-0.061606768076483284
rtBPD,rtbpd021,DMN,TA,O1,750,0.07742742143924765
rtBPD,rtbpd022,DMN,TA,O1,600,-0.07482470885572132
rtBPD,rtbpd024,DMN,TA,O1,750,0.21639005081387566
rtBPD,rtbpd026,DMN,TA,O1,750,0.1952070835249894
rtBPD,rtbpd030,DMN,TA,O1,750,0.0633174997063991
rtBPD,rtbpd034,DMN,TA,O1,750,-0.07451692118699665
rtBPD,rtbpd038,DMN,TA,O1,750,0.0901353592880972
rtBPD,rtbpd040,DMN,TA,O1,750,0.05696299393538821
rtBPD,rtbpd002,CEN,EFP,CP6,700,0.372422332493277
rtBPD,rtbpd003,CEN,EFP,CP6,700,0.14320952657229893
rtBPD,rtbpd004,CEN,EFP,CP6,560,0.07285008230933313
rtBPD,rtbpd009,CEN,EFP,CP6,700,0.2203805987690061
rtBPD,rtbpd010,CEN,EFP,CP6,700,0.21770414566415056
rtBPD,rtbpd011,CEN,EFP,CP6,700,0.07548276700343547
rtBPD,rtbpd012,CEN,EFP,CP6,700,0.20714856331580975
rtBPD,rtbpd013,CEN,EFP,CP6,700,0.23750247127278845
rtBPD,rtbpd015,CEN,EFP,CP6,700,0.0492109693980746
rtBPD,rtbpd018,CEN,EFP,CP6,700,0.26925203502687367
rtBPD,rtbpd020,CEN,EFP,CP6,700,0.060064778734471205
rtBPD,rtbpd021,CEN,EFP,CP6,700,0.23556243532038867
rtBPD,rtbpd022,CEN,EFP,CP6,560,-0.00578780380770734
rtBPD,rtbpd024,CEN,EFP,CP6,700,0.13629422939408525
rtBPD,rtbpd026,CEN,EFP,CP6,700,0.0020851139272924568
rtBPD,rtbpd030,CEN,EFP,CP6,700,0.3326197639925732
rtBPD,rtbpd034,CEN,EFP,CP6,700,0.21283914459951392
rtBPD,rtbpd038,CEN,EFP,CP6,700,0.3221395128557788
rtBPD,rtbpd040,CEN,EFP,CP6,700,-0.024377163561749262
rtBPD,rtbpd002,CEN,HRF,CP6,750,0.25656463429478843
rtBPD,rtbpd003,CEN,HRF,CP6,750,0.38723838193610816
rtBPD,rtbpd004,CEN,HRF,CP6,600,0.11484426543416565
rtBPD,rtbpd009,CEN,HRF,CP6,750,0.2939584286378576
