cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd002,DMN,EFP,O1,420,-0.0844084666203246
rtBPD,rtbpd003,DMN,EFP,O1,700,0.03547377363133658
rtBPD,rtbpd009,DMN,EFP,O1,700,0.12902702832761492
rtBPD,rtbpd010,DMN,EFP,O1,700,0.14698959338256376
rtBPD,rtbpd011,DMN,EFP,O1,560,0.1379652125790677
rtBPD,rtbpd015,DMN,EFP,O1,700,0.16725156040495973
rtBPD,rtbpd022,DMN,EFP,O1,700,0.08278108834250954
rtBPD,rtbpd026,DMN,EFP,O1,700,-0.02408506792953573
rtBPD,rtbpd027,DMN,EFP,O1,700,0.022523052257174863
rtBPD,rtbpd028,DMN,EFP,O1,560,0.09627409087041469
rtBPD,rtbpd030,DMN,EFP,O1,700,0.13573130890681345
rtBPD,rtbpd002,DMN,HRF,O1,450,0.1763961553009887
rtBPD,rtbpd003,DMN,HRF,O1,750,0.31678378732747153
rtBPD,rtbpd009,DMN,HRF,O1,750,0.2692293189515693
rtBPD,rtbpd010,DMN,HRF,O1,750,0.24854988551768037
rtBPD,rtbpd011,DMN,HRF,O1,600,0.15645809273854544
rtBPD,rtbpd015,DMN,HRF,O1,750,0.11031332360247063
rtBPD,rtbpd022,DMN,HRF,O1,750,0.07416370891707301
rtBPD,rtbpd026,DMN,HRF,O1,750,0.2097108570639652
rtBPD,rtbpd027,DMN,HRF,O1,750,0.16111832156057218
rtBPD,rtbpd028,DMN,HRF,O1,600,0.24668919390160784
rtBPD,rtbpd030,DMN,HRF,O1,750,0.0316023992942856
rtBPD,rtbpd002,DMN,TA,O1,450,0.19176403761330768
rtBPD,rtbpd003,DMN,TA,O1,750,0.27848664407193124
rtBPD,rtbpd009,DMN,TA,O1,750,0.15537906517256825
rtBPD,rtbpd010,DMN,TA,O1,750,0.11224512204509178
rtBPD,rtbpd011,DMN,TA,O1,600,0.05023513869197956
rtBPD,rtbpd015,DMN,TA,O1,750,0.007742295954596904
rtBPD,rtbpd022,DMN,TA,O1,750,-0.048894835311956306
rtBPD,rtbpd026,DMN,TA,O1,750,0.19599561613113753
rtBPD,rtbpd027,DMN,TA,O1,750,0.23536158606887195
rtBPD,rtbpd028,DMN,TA,O1,600,-0.1363474298318572
rtBPD,rtbpd030,DMN,TA,O1,750,-0.15320629508481107
rtBPD,rtbpd002,CEN,EFP,CP6,420,-0.04610801113098215
rtBPD,rtbpd003,CEN,EFP,CP6,700,0.2688519965178494
rtBPD,rtbpd009,CEN,EFP,CP6,700,0.2234972580906673
rtBPD,rtbpd010,CEN,EFP,CP6,700,0.3143456181660643
rtBPD,rtbpd011,CEN,EFP,CP6,560,0.1542023941915708
rtBPD,rtbpd015,CEN,EFP,CP6,700,0.16221497785711592
rtBPD,rtbpd022,CEN,EFP,CP6,700,0.10967484073230274
rtBPD,rtbpd026,CEN,EFP,CP6,700,-0.0003295945316564074
rtBPD,rtbpd027,CEN,EFP,CP6,700,0.26398168258174354
rtBPD,rtbpd028,CEN,EFP,CP6,560,0.1934877143396483
rtBPD,rtbpd030,CEN,EFP,CP6,700,0.1263687134188471
