target,resolution,method,electrode,n_train,n_test,mean_r,sign_flip_p
DMN,tr,EFP,O1,19,19,0.0835148189196921,0.0005999400059994001
DMN,tr,HRF,O1,19,19,0.15235582357726016,0.00029997000299970003
DMN,tr,TA,O1,19,19,0.027512494017943985,0.14608539146085392
CEN,tr,EFP,CP6,19,19,0.1650843949094576,9.999000099990002e-05
CEN,tr,HRF,CP6,19,19,0.15094385974000046,9.999000099990002e-05
CEN,tr,TA,CP6,19,19,0.0640229546325342,0.010698930106989302
PDA,tr,EFP,Pz,19,19,0.0804241289002064,0.016998300169983
PDA,tr,HRF,Pz,19,19,0.04588779555751534,0.13688631136886312
PDA,tr,TA,Pz,19,19,-0.021175349349653108,0.7424257574242575
GSR_DMN,tr,EFP,Cz,19,19,0.03522697103357156,0.030096990300969902
GSR_DMN,tr,HRF,Cz,19,19,0.027174825714063804,0.11818818118188182
GSR_DMN,tr,TA,Cz,19,19,0.018542084933309007,0.24377562243775622
GSR_CEN,tr,EFP,Pz,19,19,0.09588737001917631,0.011198880111988802
GSR_CEN,tr,HRF,Pz,19,19,0.0136683043655485,0.3361663833616638
GSR_CEN,tr,TA,Pz,19,19,-0.00842177925857509,0.6001399860013998
GSR_PDA,tr,EFP,Pz,19,19,0.07337568839271938,0.018698130186981302
GSR_PDA,tr,HRF,Pz,19,19,0.04193169910017601,0.11488851114888511
GSR_PDA,tr,TA,Pz,19,19,-0.02675133545626975,0.8194180581941806
VIS,tr,EFP,Oz,19,19,0.12256432939384672,9.999000099990002e-05
VIS,tr,HRF,Oz,19,19,0.15464909900788956,9.999000099990002e-05
VIS,tr,TA,Oz,19,19,-0.03861449195967883,0.9074092590740926
