target,resolution,method,electrode,n_train,n_test,mean_r,sign_flip_p
DMN,tr,EFP,O1,19,11,0.07686574310478136,0.007599240075992401
DMN,tr,HRF,O1,19,11,0.18191045856147545,0.00039996000399960006
DMN,tr,TA,O1,19,11,0.08079644959280546,0.0504949505049495
CEN,tr,EFP,CP6,19,11,0.1609261445666519,0.0021997800219978004
CEN,tr,HRF,CP6,19,11,0.1800691427787022,0.00039996000399960006
CEN,tr,TA,CP6,19,11,0.10630360804146685,0.0023997600239976003
PDA,tr,EFP,Pz,19,11,0.14532091616831747,0.006999300069993001
PDA,tr,HRF,Pz,19,11,0.13317315449432215,0.020397960203979604
PDA,tr,TA,Pz,19,11,-0.019785604976613344,0.7278272172782722
GSR_DMN,tr,EFP,Cz,19,11,0.03519414152407697,0.1658834116588341
GSR_DMN,tr,HRF,Cz,19,11,0.05258735541557376,0.036996300369963
GSR_DMN,tr,TA,Cz,19,11,0.005324327841388795,0.4263573642635736
GSR_CEN,tr,EFP,Pz,19,11,0.11191001780365331,0.010198980101989802
GSR_CEN,tr,HRF,Pz,19,11,0.07215674186833931,0.023897610238976102
GSR_CEN,tr,TA,Pz,19,11,-0.011366517175834721,0.662933706629337
GSR_PDA,tr,EFP,Pz,19,11,0.13275432664488368,0.009499050094990502
GSR_PDA,tr,HRF,Pz,19,11,0.11853824637109144,0.020897910208979104
GSR_PDA,tr,TA,Pz,19,11,-0.002591729448547642,0.5218478152184781
VIS,tr,EFP,Oz,19,11,0.10736731772841895,0.0007999200079992001
VIS,tr,HRF,Oz,19,11,0.1125524687850072,0.0025997400259974
VIS,tr,TA,Oz,19,11,-0.04306433367415057,0.8552144785521448
