target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,19,-0.028292991146901245,
PDA,1,group_only,19,-0.04838282797377971,
PDA,1,pseudo_cal,19,0.05500432888048137,0.007999200079992
PDA,1,blend,19,0.0032555839564468773,0.019698030196980302
PDA,2,group_only,19,-0.028290488288783975,
PDA,2,pseudo_cal,19,0.016945298005512605,0.10568943105689431
PDA,2,blend,19,-0.0008769752530843099,0.09249075092490751
PDA,3,group_only,18,0.014932943117514641,
PDA,3,pseudo_cal,18,0.0646596018165784,0.22577742225777422
PDA,3,blend,18,0.044924735839340015,0.20037996200379962
GSR_CEN,0,group_only,19,0.039151500076797484,
GSR_CEN,1,group_only,19,0.03253237982774928,
GSR_CEN,1,pseudo_cal,19,0.08080640186109549,0.1085891410858914
GSR_CEN,1,blend,19,0.07793139062019874,0.029797020297970205
GSR_CEN,2,group_only,19,0.05556836800882677,
GSR_CEN,2,pseudo_cal,19,0.09627558029164833,0.12018798120187982
GSR_CEN,2,blend,19,0.08999730149773365,0.0324967503249675
GSR_CEN,3,group_only,18,0.08244567959274733,
GSR_CEN,3,pseudo_cal,18,0.10781337431855811,0.35936406359364065
GSR_CEN,3,blend,18,0.11578774617324915,0.1850814918508149
CEN,0,group_only,19,0.08621612247382442,
CEN,1,group_only,19,0.08351226088165357,
CEN,1,pseudo_cal,19,0.07110552499342564,0.6122387761223878
CEN,1,blend,19,0.11037583111467457,0.13608639136086392
CEN,2,group_only,19,0.09443380918973364,
CEN,2,pseudo_cal,19,0.0799438480655749,0.645035496450355
CEN,2,blend,19,0.11309395157578078,0.19958004199580043
CEN,3,group_only,18,0.13064508572431952,
CEN,3,pseudo_cal,18,0.12411110974333191,0.5382461753824618
CEN,3,blend,18,0.16881283879538778,0.10328967103289671
DMN,0,group_only,19,0.07142902439264319,
DMN,1,group_only,19,0.061702036889025,
DMN,1,pseudo_cal,19,-0.011572448769119661,0.9706029397060294
DMN,1,blend,19,0.03516119244150712,0.8821117888211178
DMN,2,group_only,19,0.04973030916386876,
DMN,2,pseudo_cal,19,-0.04817692826852129,0.9797020297970203
DMN,2,blend,19,0.003939455570978068,0.9358064193580642
DMN,3,group_only,18,0.040114430824034486,
DMN,3,pseudo_cal,18,-0.05643884859216134,0.938006199380062
DMN,3,blend,18,-0.013220484967758996,0.9261073892610739
GSR_PDA,0,group_only,19,-0.010182896698507079,
GSR_PDA,1,group_only,19,-0.03304833721651237,
GSR_PDA,1,pseudo_cal,19,0.07004866876435212,0.0052994700529947
GSR_PDA,1,blend,19,0.024033680264427464,0.009999000099990002
GSR_PDA,2,group_only,19,-0.013959540710520033,
GSR_PDA,2,pseudo_cal,19,0.034488521183176614,0.13188681131886812
GSR_PDA,2,blend,19,0.01941453725942055,0.10378962103789621
GSR_PDA,3,group_only,18,0.01003291767653406,
GSR_PDA,3,pseudo_cal,18,0.07183528710126613,0.18618138186181382
GSR_PDA,3,blend,18,0.050215688378158034,0.1586841315868413
GSR_DMN,0,group_only,19,0.00685147241807681,
GSR_DMN,1,group_only,19,0.021454740575199818,
GSR_DMN,1,pseudo_cal,19,0.0051392108344754436,0.6797320267973203
GSR_DMN,1,blend,19,0.008048767962859586,0.7284271572842715
GSR_DMN,2,group_only,19,-0.004879421855637993,
GSR_DMN,2,pseudo_cal,19,-0.05648199781939781,0.8484151584841516
GSR_DMN,2,blend,19,-0.049493042553837054,0.9151084891510849
GSR_DMN,3,group_only,18,0.026975680771402447,
GSR_DMN,3,pseudo_cal,18,-0.03258572804943768,0.8542145785421458
GSR_DMN,3,blend,18,-0.017569387881014958,0.9162083791620838
