target,resolution,common_ch,loso_fold_modal_ch,n,loso_mean_r,sign_flip_p
DMN,tr,O1,O1,19,0.1069939931780703,0.0007999200079992001
CEN,tr,CP6,CP6,19,0.11423120468428336,0.0013998600139986002
PDA,tr,Pz,Pz,19,0.15715875717742533,0.0017998200179982
GSR_DMN,tr,Cz,Cz,19,-0.022188852441955648,0.41255874412558746
GSR_CEN,tr,Pz,Pz,19,0.16561949621005798,0.0025997400259974
GSR_PDA,tr,Pz,Pz,19,0.1738214540461999,0.0013998600139986002
VIS,tr,Oz,Oz,19,0.04800623304505105,0.026597340265973404
DMN,hz4,O1,O1,19,0.09883088901730026,0.000999900009999
CEN,hz4,CP6,CP6,19,0.08534583652905668,0.009599040095990401
PDA,hz4,Pz,Pz,19,0.10895457351824146,0.010998900109989001
GSR_DMN,hz4,Cz,Cz,19,-0.038343293033380826,0.11938806119388061
GSR_CEN,hz4,Pz,Pz,19,0.13108216641319673,0.012398760123987601
GSR_PDA,hz4,POz,POz,19,0.0840420625873811,0.009799020097990201
VIS,hz4,Pz,Pz,19,0.07776009744628638,0.0017998200179982
