target,resolution,method,n,mean_r,sign_flip_p,mean_nmse
CEN,hz4,EFP,19,0.1767671475501182,0.0015998400159984002,1.0496944065490021
CEN,hz4,HRF,19,0.05811266212077113,0.027797220277972202,1.0582281553213444
CEN,hz4,TA,19,-0.006563000388734962,0.7521247875212479,1.0079265605844487
CEN,tr,EFP,19,0.16544713852912754,0.0037996200379962005,1.0424496507708891
CEN,tr,HRF,19,0.13794788197799834,0.0057994200579942,1.1602680708418995
CEN,tr,TA,19,0.009541127855127765,0.8333166683331666,1.0079249634951593
DMN,hz4,EFP,19,0.1370125335754871,0.001999800019998,1.0790965050557466
DMN,hz4,HRF,19,0.078308356201262,0.0047995200479952005,1.0564600189859843
DMN,hz4,TA,19,-0.000220940458694941,0.9823017698230176,1.0078563052260814
DMN,tr,EFP,19,0.13574632123899616,0.0007999200079992001,1.0421635904857331
DMN,tr,HRF,19,0.11809755560423878,0.012198780121987801,1.117423187558895
DMN,tr,TA,19,0.1371737662445159,0.0023997600239976003,0.973078095457526
GSR_CEN,hz4,EFP,19,0.17625684559512128,0.0013998600139986002,1.0635568024726094
GSR_CEN,hz4,HRF,19,0.026034799781739698,0.28557144285571445,1.074731850485198
GSR_CEN,hz4,TA,19,-0.1050667168039047,0.0047995200479952005,1.0292524478015932
GSR_CEN,tr,EFP,19,0.17033400672779328,0.0045995400459954,1.020028283539783
GSR_CEN,tr,HRF,19,0.0998151559800988,0.014998500149985002,1.1803131722040996
GSR_CEN,tr,TA,19,0.06548264254736458,0.205979402059794,0.9983197779930086
GSR_DMN,hz4,EFP,19,0.15632705188110685,0.0017998200179982,1.061627060966935
GSR_DMN,hz4,HRF,19,0.05392540553734606,0.001999800019998,1.0565394739579221
GSR_DMN,hz4,TA,19,-0.06680168744142038,0.006999300069993001,1.0208079434313664
GSR_DMN,tr,EFP,19,0.12533991648226186,0.012198780121987801,1.045414700325317
GSR_DMN,tr,HRF,19,0.1247850692163926,0.000999900009999,1.1038834471321026
GSR_DMN,tr,TA,19,-0.04520313571403945,0.20977902209779023,1.0223300385509217
GSR_PDA,hz4,EFP,19,0.1482252266481908,0.00019998000199980003,1.0990801223102606
GSR_PDA,hz4,HRF,19,0.07569196147109228,0.00039996000399960006,1.0521747943516557
GSR_PDA,hz4,TA,19,-0.031924408083724556,0.14078592140785923,1.0142765252401609
GSR_PDA,tr,EFP,19,0.1422094247327003,0.000999900009999,1.0451288937305443
GSR_PDA,tr,HRF,19,0.10907468271045649,0.00039996000399960006,1.109447757625507
GSR_PDA,tr,TA,19,0.0862633574508955,0.06479352064793521,0.9855338875074121
PDA,hz4,EFP,19,0.1716379985395733,0.00019998000199980003,1.0563379966984925
PDA,hz4,HRF,19,0.09620044289553915,0.00039996000399960006,1.032813216845334
PDA,hz4,TA,19,-0.013045682654725634,0.49175082491750827,1.0107189348019217
PDA,tr,EFP,19,0.17264232363503385,0.00019998000199980003,1.0183272842904614
PDA,tr,HRF,19,0.11298788266895524,0.0015998400159984002,1.1174374672138214
PDA,tr,TA,19,0.07336579501656576,0.12618738126187382,0.9865522051027366
VIS,hz4,EFP,19,0.07887283141855574,0.0025997400259974,1.0767132172589207
VIS,hz4,HRF,19,0.02106242163180241,0.2273772622737726,1.071678891843243
VIS,hz4,TA,19,-0.03036060999687199,0.101989801019898,1.0136309507374606
VIS,tr,EFP,19,0.07058196233761081,0.060193980601939805,1.0359484201894482
VIS,tr,HRF,19,0.09094374974267481,0.004399560043995601,1.1061360338380777
VIS,tr,TA,19,0.02802741014397006,0.25437456254374563,1.0098702858546973
