subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf001,DMN,tr,EFP,O1,0.1680850049577163,1.0151893330335455
dmnelf001,DMN,tr,HRF,O2,-0.0569200879446631,1.2898965789670154
dmnelf001,DMN,tr,TA,O2,0.1100344114659786,0.9908128420597614
dmnelf001,CEN,tr,EFP,FC1,0.3444022566350934,0.9159370052731918
dmnelf001,CEN,tr,HRF,FC1,0.124804772574879,1.1498829942925295
dmnelf001,CEN,tr,TA,O2,-0.1013838355149748,1.0701125357781467
dmnelf001,PDA,tr,EFP,POz,-0.0485376302277387,1.1189727991515073
dmnelf001,PDA,tr,HRF,F4,0.1751170030305092,1.0506266999636809
dmnelf001,PDA,tr,TA,P4,-0.1938166357829391,1.0306268110300807
dmnelf001,GSR_DMN,tr,EFP,Cz,0.3572683695568358,0.8724370086365211
dmnelf001,GSR_DMN,tr,HRF,TP9,0.0883595780522301,1.1402186418987597
dmnelf001,GSR_DMN,tr,TA,O2,0.2081452436201852,0.9618946294795804
dmnelf001,GSR_CEN,tr,EFP,FC1,0.227609485171968,0.9551889974852182
dmnelf001,GSR_CEN,tr,HRF,FC1,-0.1277404444924104,1.2928286367469726
dmnelf001,GSR_CEN,tr,TA,O2,0.1472036548015431,0.9916257814843156
dmnelf001,GSR_PDA,tr,EFP,POz,-0.2025857997387549,1.232002995633335
dmnelf001,GSR_PDA,tr,HRF,P4,-0.0112240397049668,1.165289869985786
dmnelf001,GSR_PDA,tr,TA,Oz,-0.1807649572272874,1.0728906527812816
dmnelf001,VIS,tr,EFP,Oz,0.1928243495800776,0.9860011493997396
dmnelf001,VIS,tr,HRF,O2,0.2567624278998949,0.9620703109953568
dmnelf001,VIS,tr,TA,O2,0.1474591413489361,0.9837834197957004
dmnelf001,DMN,hz4,EFP,O1,0.1010085737168344,1.1065457245012118
dmnelf001,DMN,hz4,HRF,O2,0.0789071128996084,1.0221198576549713
dmnelf001,DMN,hz4,TA,P3,0.112378507109455,0.9874124393461328
dmnelf001,CEN,hz4,EFP,FC1,0.3272255353937716,0.9353918447440428
dmnelf001,CEN,hz4,HRF,Cz,-0.0016519147510455,1.0449200125213347
dmnelf001,CEN,hz4,TA,Pz,-0.0075209357895786,1.0103362095649326
dmnelf001,PDA,hz4,EFP,O1,-0.0294851062559315,1.1520458469389856
dmnelf001,PDA,hz4,HRF,CP6,0.1427512511510609,0.9942458660756166
dmnelf001,PDA,hz4,TA,P3,0.0782744849570031,0.9943167562300034
dmnelf001,GSR_DMN,hz4,EFP,Cz,0.3353602148866589,0.8918614486026547
dmnelf001,GSR_DMN,hz4,HRF,Cz,0.0027649653239817,1.0762593865457266
dmnelf001,GSR_DMN,hz4,TA,P3,0.0232662973368566,1.0031358665774577
dmnelf001,GSR_CEN,hz4,EFP,FC1,0.2408039592142267,0.965295699674991
dmnelf001,GSR_CEN,hz4,HRF,CP6,0.0162228104604284,1.0440248095161668
dmnelf001,GSR_CEN,hz4,TA,Pz,-0.1247830175197113,1.0094008508987875
dmnelf001,GSR_PDA,hz4,EFP,POz,-0.0097250160341393,1.2747583911122926
dmnelf001,GSR_PDA,hz4,HRF,T7,0.1245951401876788,1.0010018692407172
dmnelf001,GSR_PDA,hz4,TA,P3,0.0261403004996459,1.0029003539654424
dmnelf001,VIS,hz4,EFP,O2,0.1256335992519958,1.053200258143264
dmnelf001,VIS,hz4,HRF,F7,-0.0132478253061264,1.064813726822819
dmnelf001,VIS,hz4,TA,P4,-0.0627314647272259,1.0140047871575528
dmnelf002,DMN,tr,EFP,CP6,0.2108531020975697,1.0188015154260928
dmnelf002,DMN,tr,HRF,FC1,0.1140704304643246,1.1066479423211153
dmnelf002,DMN,tr,TA,O1,0.1968349739418172,0.9691781950574572
dmnelf002,CEN,tr,EFP,CP1,0.1712807893254832,1.0272878682421898
dmnelf002,CEN,tr,HRF,Pz,0.1938463725312085,1.390147373917273
dmnelf002,CEN,tr,TA,O1,-0.0271901705303778,1.048629263049056
dmnelf002,PDA,tr,EFP,CP1,0.1732762559513043,1.0391795022569563
dmnelf002,PDA,tr,HRF,Pz,0.0917490953520024,1.1744837055188584
dmnelf002,PDA,tr,TA,O1,-0.1366089629882847,1.0473412425337871
dmnelf002,GSR_DMN,tr,EFP,Oz,0.3547679417023122,0.8748897658516727
dmnelf002,GSR_DMN,tr,HRF,Fp1,0.2386956384024215,0.9858817698565892
dmnelf002,GSR_DMN,tr,TA,P4,-0.2004858125880355,1.0226790706985296
dmnelf002,GSR_CEN,tr,EFP,T7,0.040242989067746,1.1982808893160617
dmnelf002,GSR_CEN,tr,HRF,P7,-0.0732447171604634,1.1305678396246317
dmnelf002,GSR_CEN,tr,TA,P4,0.0009211785521819,1.0324015552064478
dmnelf002,GSR_PDA,tr,EFP,T7,0.0392280730419488,1.202171264518065
dmnelf002,GSR_PDA,tr,HRF,P7,0.0262809444076482,1.126109752427182
dmnelf002,GSR_PDA,tr,TA,POz,0.0196001571633997,1.0214673028358203
dmnelf002,VIS,tr,EFP,O2,0.035367526708608,1.0646591548791344
dmnelf002,VIS,tr,HRF,Fp2,0.0167063623685277,1.1418957636934108
