subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf005,DMN,tr,EFP,FC1,0.1458051309727662,1.020605846978692
dmnelf005,DMN,tr,HRF,TP10,-0.08060300445041464,1.376014281264999
dmnelf005,DMN,tr,TA,P3,0.37520995773102217,0.861917011389184
dmnelf005,CEN,tr,EFP,Fz,0.40002957840571796,0.8911175592096103
dmnelf005,CEN,tr,HRF,FC6,0.2484639395454817,1.0480626641160504
dmnelf005,CEN,tr,TA,P3,0.4223484083717091,0.8385708904058036
dmnelf005,PDA,tr,EFP,CP6,0.3216535297628227,0.9382657168827008
dmnelf005,PDA,tr,HRF,FC1,0.005251892670878208,1.2330567883532848
dmnelf005,PDA,tr,TA,Pz,0.34750398322781817,0.8793165283031713
dmnelf005,GSR_DMN,tr,EFP,P4,0.32330400533342113,0.8965450577905774
dmnelf005,GSR_DMN,tr,HRF,TP9,0.0580882025776693,1.3892236366822115
dmnelf005,GSR_DMN,tr,TA,POz,0.33949348191867956,0.8854888719185827
dmnelf005,GSR_CEN,tr,EFP,Fz,0.5773943103368779,0.6933610670057011
dmnelf005,GSR_CEN,tr,HRF,FC6,0.22845020186768197,1.1423060082250012
dmnelf005,GSR_CEN,tr,TA,P3,0.3879382445802465,0.8623930928290017
dmnelf005,GSR_PDA,tr,EFP,P4,0.32645151326449545,0.9288086355307015
dmnelf005,GSR_PDA,tr,HRF,FC1,0.00044173302286391024,1.214944015485081
dmnelf005,GSR_PDA,tr,TA,Pz,0.3066278850983416,0.9063929779413327
dmnelf005,VIS,tr,EFP,Fp2,0.08277766493453086,1.0650240792077754
dmnelf005,VIS,tr,HRF,F8,0.10566512134852407,1.0468839448682945
dmnelf005,VIS,tr,TA,Pz,-0.030624706826147843,1.0501062270912231
dmnelf005,DMN,hz4,EFP,Fz,0.10254509149831258,1.225380460243258
dmnelf005,DMN,hz4,HRF,Fz,0.11278798133031881,1.0123805800697792
dmnelf005,DMN,hz4,TA,POz,0.09260866682907896,0.9928053777422345
dmnelf005,CEN,hz4,EFP,Fz,0.3762775133918766,0.9184065173742231
dmnelf005,CEN,hz4,HRF,Oz,-0.04749842812026918,1.0800295976063699
dmnelf005,CEN,hz4,TA,P3,0.06411289904476472,0.9995058077288608
dmnelf005,PDA,hz4,EFP,P4,0.2921655158243939,1.000990277388142
dmnelf005,PDA,hz4,HRF,TP10,0.043692356293788565,1.0537918266771977
dmnelf005,PDA,hz4,TA,P4,-0.058447265369210306,1.0100214786668795
dmnelf005,GSR_DMN,hz4,EFP,P4,0.19054900866337895,1.0477873790820595
dmnelf005,GSR_DMN,hz4,HRF,Oz,0.061026444872765075,1.0456351295608746
dmnelf005,GSR_DMN,hz4,TA,POz,-0.10523987421712945,1.0194348689829396
dmnelf005,GSR_CEN,hz4,EFP,Fz,0.5567477687895321,0.7024204834575554
dmnelf005,GSR_CEN,hz4,HRF,Pz,-0.018401711108014578,1.0406451376155177
dmnelf005,GSR_CEN,hz4,TA,P4,-0.1453250048988437,1.0169204816500452
dmnelf005,GSR_PDA,hz4,EFP,F3,0.31827520542047316,0.9768988545565875
dmnelf005,GSR_PDA,hz4,HRF,TP10,0.07283520773424774,1.0283632645457508
dmnelf005,GSR_PDA,hz4,TA,POz,-0.03714904683431785,1.0113433957791573
dmnelf005,VIS,hz4,EFP,T7,-0.01239233256101431,1.1787110761567534
dmnelf005,VIS,hz4,HRF,C4,0.08421856833098476,1.0351009996609264
dmnelf005,VIS,hz4,TA,P3,-0.05475282772298786,1.0056738584775937
