electrode,mean_r,p,fdr_sig
C3,0.1524431971991825,0.0018998100189981002,True
C4,0.13268525595400962,0.0007999200079992001,True
CP1,0.12493096142511684,0.0025997400259974,True
CP2,0.14968534057776806,0.00029997000299970003,True
CP5,0.1539949081231285,0.0011998800119988001,True
CP6,0.1761887432190307,0.0004999500049995,True
Cz,0.16952549963832136,9.999000099990002e-05,True
F3,0.1244167621205296,0.006399360063993601,True
F4,0.125921723115928,0.0027997200279972004,True
F7,0.12400142697803025,0.008399160083991601,True
F8,0.14078341090678914,0.0030996900309969004,True
FC1,0.09592278151986354,0.04129587041295871,True
FC2,0.12339891182266302,0.006899310068993101,True
FC5,0.1329439520890675,0.0040995900409959,True
FC6,0.09053654604759565,0.032896710328967106,True
Fp1,0.11037636135632697,0.012798720127987202,True
Fp2,0.11893002980780167,0.013098690130986902,True
Fz,0.14052048772046213,0.0005999400059994001,True
O1,0.1524202386480249,0.0005999400059994001,True
O2,0.14856082706077406,0.0027997200279972004,True
Oz,0.1561042634666923,0.0008999100089991,True
P3,0.11730666407310864,0.003999600039996,True
P4,0.12244249271176076,0.0051994800519948,True
P7,0.1409364799964133,0.0029997000299970002,True
P8,0.16904878227872983,0.0005999400059994001,True
POz,0.1339471165105859,0.006399360063993601,True
Pz,0.14975689062348452,0.001999800019998,True
T7,0.14756147474349804,0.0026997300269973002,True
T8,0.14006597824024705,0.0030996900309969004,True
TP10,0.13539448089265507,0.0016998300169983002,True
TP9,0.1407223168502659,0.0034996500349965005,True
