electrode,mean_r,p,fdr_sig
C3,0.09329062450189568,0.0086991300869913,True
C4,0.07577170612197887,0.0072992700729927005,True
CP1,0.1813630660842201,0.0004999500049995,True
CP2,0.14292956151302316,0.00019998000199980003,True
CP5,0.13672033349940635,0.000999900009999,True
CP6,0.09635058517188903,0.035996400359964,True
Cz,0.1702167569776944,0.00029997000299970003,True
F3,0.07871838865713864,0.030896910308969103,True
F4,0.07746897493776293,0.029797020297970205,True
F7,0.10549315183316028,0.0096990300969903,True
F8,0.11309033528312112,0.0004999500049995,True
FC1,0.11163909866134016,0.0112988701129887,True
FC2,0.10221643806288747,0.0045995400459954,True
FC5,0.12482022915664134,0.004299570042995701,True
FC6,0.068062745944995,0.026497350264973504,True
Fp1,0.10720746450884598,0.0007999200079992001,True
Fp2,0.11717433534124988,0.0032996700329967,True
Fz,0.1251302435980489,0.0012998700129987,True
O1,0.14964904126048637,0.000999900009999,True
O2,0.13958918477168805,0.0006999300069993001,True
Oz,0.14948483231448215,0.0005999400059994001,True
P3,0.12325415799745115,0.0012998700129987,True
P4,0.15160558135125277,0.0007999200079992001,True
P7,0.13102498723931633,0.0010998900109989002,True
P8,0.10301775848049005,0.0096990300969903,True
POz,0.1544033289106609,0.0004999500049995,True
Pz,0.20902002545242715,9.999000099990002e-05,True
T7,0.07778563078337776,0.025197480251974803,True
T8,0.07492098966083642,0.030996900309969003,True
TP10,0.06540076227842298,0.04659534046595341,True
TP9,0.09163800329956488,0.0093990600939906,True
