subject,target,resolution,electrode,r
dmnelf001,DMN,tr,Fp1,0.12801977430690595
dmnelf001,DMN,tr,Fp2,0.07073901516598018
dmnelf001,DMN,tr,F3,0.06937526845823203
dmnelf001,DMN,tr,F4,0.1790300194056887
dmnelf001,DMN,tr,C3,0.23059977816610974
dmnelf001,DMN,tr,C4,0.11918160162468595
dmnelf001,DMN,tr,P3,0.3137192385034331
dmnelf001,DMN,tr,P4,0.27188103790595963
dmnelf001,DMN,tr,O1,0.35120722936814813
dmnelf001,DMN,tr,O2,0.33649679260905246
dmnelf001,DMN,tr,F7,0.12330135106841818
dmnelf001,DMN,tr,F8,0.061835557128029295
dmnelf001,DMN,tr,T7,0.1104648781650439
dmnelf001,DMN,tr,T8,0.11098536101086731
dmnelf001,DMN,tr,P7,0.26245589732776
dmnelf001,DMN,tr,P8,0.1372950728613748
dmnelf001,DMN,tr,Fz,0.14620407180532083
dmnelf001,DMN,tr,Cz,0.24971765378969027
dmnelf001,DMN,tr,Pz,0.3652090218856378
dmnelf001,DMN,tr,Oz,0.2701615004912886
dmnelf001,DMN,tr,FC1,0.20772398082012328
dmnelf001,DMN,tr,FC2,0.27390792186041263
dmnelf001,DMN,tr,CP1,0.2955131998239321
dmnelf001,DMN,tr,CP2,0.24421176882286103
dmnelf001,DMN,tr,FC5,0.08784991996077193
dmnelf001,DMN,tr,FC6,0.08480699416204107
dmnelf001,DMN,tr,CP5,0.19575871042675896
dmnelf001,DMN,tr,CP6,0.11363338724473307
dmnelf001,DMN,tr,TP9,0.1977778842235749
dmnelf001,DMN,tr,TP10,0.07652171199924199
dmnelf001,DMN,tr,POz,0.1867907522914612
dmnelf002,DMN,tr,Fp1,0.2059840385417514
dmnelf002,DMN,tr,Fp2,0.06221674735593555
dmnelf002,DMN,tr,F3,0.11775427916982864
dmnelf002,DMN,tr,F4,0.22851135157386135
dmnelf002,DMN,tr,C3,0.23020451718989327
dmnelf002,DMN,tr,C4,0.24930386156662043
dmnelf002,DMN,tr,P3,0.1678816904540164
dmnelf002,DMN,tr,P4,0.05933578991261352
dmnelf002,DMN,tr,O1,0.16880839563481537
dmnelf002,DMN,tr,O2,0.16985159230670283
dmnelf002,DMN,tr,F7,0.14137466110636074
dmnelf002,DMN,tr,F8,0.17783420027796307
dmnelf002,DMN,tr,T7,0.26849513600976654
dmnelf002,DMN,tr,T8,0.07290628732174304
dmnelf002,DMN,tr,P7,0.1757252347080466
dmnelf002,DMN,tr,P8,0.13729831287985095
dmnelf002,DMN,tr,Fz,0.16723181955586516
dmnelf002,DMN,tr,Cz,0.16423190326569093
dmnelf002,DMN,tr,Pz,-0.012029717019854684
dmnelf002,DMN,tr,Oz,0.20598028624083878
dmnelf002,DMN,tr,FC1,0.15785318817919794
dmnelf002,DMN,tr,FC2,0.13339347944956303
dmnelf002,DMN,tr,CP1,0.2206565151541598
dmnelf002,DMN,tr,CP2,0.03544278035479363
dmnelf002,DMN,tr,FC5,0.21348704441960462
dmnelf002,DMN,tr,FC6,0.21712062876776458
dmnelf002,DMN,tr,CP5,0.1586213143298292
dmnelf002,DMN,tr,CP6,0.3262091698353979
dmnelf002,DMN,tr,TP9,0.14629655714689546
dmnelf002,DMN,tr,TP10,0.09474096261462654
dmnelf002,DMN,tr,POz,0.16711199264736587
dmnelf003,DMN,tr,Fp1,-0.08189394108916083
dmnelf003,DMN,tr,Fp2,0.054035319578991436
dmnelf003,DMN,tr,F3,-0.037780820566668934
dmnelf003,DMN,tr,F4,-0.06544825205002883
