subject,region,aca,peak_lag_sec,peak_r
dmnelf001,CEN,0.1772420800636075,10.0,0.0912633045855314
dmnelf004,CEN,0.0422520431536082,-6.0,-0.0406558389058389
dmnelf005,CEN,0.10372876600965641,4.0,-0.0517134303485341
dmnelf006,CEN,0.5039436947348438,6.0,-0.1685292674388522
dmnelf007,CEN,0.24445589661278622,2.0,-0.1330143650535892
dmnelf008,CEN,0.09918237051195689,10.0,0.0652197802648738
dmnelf009,CEN,0.05943445567641398,-10.0,-0.0980305966448501
dmnelf010,CEN,0.0660225269246523,6.0,-0.0510531191566678
dmnelf011,CEN,0.0666664843578958,-10.0,-0.0442205406641103
dmnelf012,CEN,0.025628119112873132,-4.0,0.0683639808833486
dmnelf013,CEN,0.16249661607693122,0.0,-0.1150872982240143
dmnelf014,CEN,0.129474082525103,4.0,-0.0910692058376977
dmnelf015,CEN,0.1014427375084376,6.0,-0.0451264602971013
dmnelf1001,CEN,0.15963372541567084,10.0,-0.0587480649661608
dmnelf1002,CEN,-0.14707188993500325,-8.0,-0.1328796056837403
dmnelf1003,CEN,-0.08985808108140195,-10.0,-0.0801761878819435
dmnelf001,DMN,0.04239748250828171,0.0,0.0741145492975491
dmnelf004,DMN,-0.5994321219899608,-6.0,-0.2236728874452556
dmnelf005,DMN,0.11549909636156849,6.0,0.0607689194821292
dmnelf006,DMN,0.4893834067745731,6.0,-0.1600469042108188
dmnelf007,DMN,0.2302486375396351,0.0,-0.1068609353026836
dmnelf008,DMN,-0.04492790105379993,-2.0,-0.0581379856628704
dmnelf009,DMN,0.0435851883602158,2.0,0.0589287657299656
dmnelf010,DMN,0.08893476527916178,-2.0,0.0953560262643157
dmnelf011,DMN,0.0011358991600790014,-8.0,0.01663869065871
dmnelf012,DMN,-0.03643497503663269,-10.0,0.0365202567194069
dmnelf013,DMN,0.04451418392269185,-6.0,-0.119757518465062
dmnelf014,DMN,0.2671899373170156,10.0,0.086290892824197
dmnelf015,DMN,0.39809389280543384,4.0,0.1406628271341115
dmnelf1001,DMN,0.09332557176327402,0.0,-0.0594005589261857
dmnelf1002,DMN,0.1460386654008935,6.0,-0.1265624218578354
dmnelf1003,DMN,-0.03863651016114028,-8.0,0.104044407207587
