subject,region,band_from_run1,lag_from_run1_sec,r_run1_to_run2,band_from_run2,lag_from_run2_sec,r_run2_to_run1,r_cv_mean,note
dmnelf001,DMN,2.0,-2.4,-0.004096053574498012,0.0,2.4,-0.05439146278544312,-0.029262279701451684,
dmnelf001,CEN,0.0,0.0,0.004215870044359296,5.0,9.6,-0.010001761133065707,-0.0028930917487179192,
dmnelf004,DMN,2.0,-3.5999999999999996,-0.10669926934703765,0.0,-3.5999999999999996,0.03233956035834901,-0.03736066785963657,
dmnelf004,CEN,5.0,-9.6,-0.08985186908163599,9.0,0.0,0.054100724522883406,-0.017968690559159103,
dmnelf005,DMN,2.0,3.5999999999999996,-0.09334239813872029,6.0,-9.6,-0.12217966858388082,-0.10778370459840327,
dmnelf005,CEN,1.0,6.0,-0.14784636265542533,3.0,3.5999999999999996,-0.15587965466143108,-0.1518655166127391,
dmnelf006,DMN,6.0,9.6,-0.09435277009254937,3.0,3.5999999999999996,-0.19952605390749967,-0.14735592185651952,
dmnelf006,CEN,7.0,8.4,-0.11974231589736103,3.0,3.5999999999999996,-0.1924676016239611,-0.1563168171214427,
dmnelf007,DMN,4.0,8.4,-0.07649831899211526,9.0,0.0,0.14599576411444054,0.0351846980492331,
dmnelf007,CEN,4.0,8.4,-0.07478064355993663,9.0,0.0,0.20066903774248043,0.06416624663747014,
dmnelf008,DMN,8.0,0.0,0.3391913159944706,9.0,0.0,0.32425726201398075,0.3317450732031887,
dmnelf008,CEN,6.0,3.5999999999999996,0.11486821137812887,9.0,0.0,0.1377155246803595,0.12630861849453592,
dmnelf009,DMN,9.0,0.0,0.14772058150234552,2.0,9.6,0.031997679495520945,0.09016345869626702,
dmnelf009,CEN,4.0,3.5999999999999996,-0.15959369365785883,8.0,8.4,-0.1092651153652441,-0.13451615440798437,
dmnelf010,DMN,0.0,9.6,0.04089266325568456,8.0,0.0,0.07818572547701963,0.05955997665779566,
dmnelf010,CEN,2.0,9.6,0.029573344384786194,8.0,0.0,0.08672427709576531,0.05819649286908372,
dmnelf011,DMN,2.0,0.0,0.08976113412227191,6.0,8.4,-0.1583928008625494,-0.034853041726087566,
dmnelf011,CEN,6.0,9.6,-0.13098563155771076,6.0,6.0,-0.11789502288138053,-0.1244457424615137,
dmnelf012,DMN,6.0,0.0,0.13590819785260513,2.0,6.0,-0.19051546420026597,-0.028051443123384746,
dmnelf012,CEN,4.0,6.0,-0.09509829147793977,3.0,2.4,-0.061541758704955,-0.07834221538034628,
dmnelf013,DMN,7.0,-3.5999999999999996,0.09840175008550903,4.0,0.0,-0.12226361668034567,-0.012077983415438358,
dmnelf013,CEN,2.0,6.0,0.12984529034468553,4.0,0.0,-0.23181273607673683,-0.052712004331970166,
dmnelf014,DMN,4.0,-3.5999999999999996,0.10514579531560685,0.0,8.4,-0.10174315819399204,0.0017197209352503458,
dmnelf014,CEN,9.0,6.0,0.06911648533445539,7.0,-8.4,0.02739966560716892,0.04827912948201812,
dmnelf015,DMN,3.0,2.4,0.05088551694047156,4.0,-9.6,0.011943009224604124,0.03142618945924573,
dmnelf015,CEN,6.0,6.0,-0.19593689999709588,1.0,6.0,-0.13755961032680608,-0.1668945157897378,
dmnelf1001,DMN,3.0,9.6,-0.06534364001052892,8.0,-6.0,0.06085258445251151,-0.002254503842397616,
dmnelf1001,CEN,2.0,3.5999999999999996,0.011919239237482481,6.0,-9.6,-0.04897938008102438,-0.018547272631666736,
dmnelf1002,DMN,,,,,,,,only 1 run available
dmnelf1002,CEN,,,,,,,,only 1 run available
dmnelf1003,DMN,6.0,6.0,-0.03894270608996037,3.0,6.0,-0.10352734914438232,-0.07130976868439477,
dmnelf1003,CEN,2.0,-9.6,0.07763467917472142,2.0,0.0,-0.004765537072740541,0.03649660466122693,
