subject,target,arm,r,n_train
dmnelf001,CEN,pooled_all,0.0068265028641288075,15
dmnelf001,CEN,own_group,0.041265351920154854,11
dmnelf001,DMN,pooled_all,0.10708458819291114,15
dmnelf001,DMN,own_group,0.1271980228958729,11
dmnelf004,CEN,pooled_all,-0.026173534358448693,15
dmnelf004,CEN,own_group,0.027343986085177477,3
dmnelf004,DMN,pooled_all,-0.02399380558107991,15
dmnelf004,DMN,own_group,-0.02593537534397238,3
dmnelf005,CEN,pooled_all,0.17633458130069096,15
dmnelf005,CEN,own_group,0.11496351468895277,11
dmnelf005,DMN,pooled_all,0.11156960883758532,15
dmnelf005,DMN,own_group,0.09566738431711572,11
dmnelf006,CEN,pooled_all,0.012643143051502584,15
dmnelf006,CEN,own_group,0.05151796322618508,11
dmnelf006,DMN,pooled_all,0.004979458480998189,15
dmnelf006,DMN,own_group,-0.012993556199186306,11
dmnelf007,CEN,pooled_all,0.008108512227196104,15
dmnelf007,CEN,own_group,0.10070447159538795,11
dmnelf007,DMN,pooled_all,0.032828165497752325,15
dmnelf007,DMN,own_group,0.06264534726691277,11
dmnelf008,CEN,pooled_all,-0.13541671474528524,15
dmnelf008,CEN,own_group,-0.12893221426721155,3
dmnelf008,DMN,pooled_all,-0.044788221954420795,15
dmnelf008,DMN,own_group,0.02730434690879702,3
dmnelf009,CEN,pooled_all,0.03327273197936489,15
dmnelf009,CEN,own_group,0.06172696498729532,11
dmnelf009,DMN,pooled_all,-0.03390955112567423,15
dmnelf009,DMN,own_group,0.004980719383628282,11
dmnelf010,CEN,pooled_all,0.04939298474594948,15
dmnelf010,CEN,own_group,0.07289190239816665,11
dmnelf010,DMN,pooled_all,0.04024575211186902,15
dmnelf010,DMN,own_group,0.07089228236084769,11
dmnelf011,CEN,pooled_all,0.11154149010659287,15
dmnelf011,CEN,own_group,0.08883919433561606,11
dmnelf011,DMN,pooled_all,0.014901466877934508,15
dmnelf011,DMN,own_group,0.022922955407404536,11
dmnelf012,CEN,pooled_all,0.009421096453626421,15
dmnelf012,CEN,own_group,-0.10485237755503747,3
dmnelf012,DMN,pooled_all,0.1286451896513207,15
dmnelf012,DMN,own_group,0.0017581569196637047,3
dmnelf013,CEN,pooled_all,0.04606755032460828,15
dmnelf013,CEN,own_group,0.028211044937618154,11
dmnelf013,DMN,pooled_all,0.07539333426743723,15
dmnelf013,DMN,own_group,0.060323098753846886,11
dmnelf014,CEN,pooled_all,0.04306274420140275,15
dmnelf014,CEN,own_group,0.07466951732159076,11
dmnelf014,DMN,pooled_all,-0.0047622291312044325,15
dmnelf014,DMN,own_group,-0.07305145630463333,11
dmnelf015,CEN,pooled_all,0.027246099785695737,15
dmnelf015,CEN,own_group,-0.001313299553459068,11
dmnelf015,DMN,pooled_all,0.014635763511136716,15
dmnelf015,DMN,own_group,0.04247721573528197,11
dmnelf1001,CEN,pooled_all,-0.06404486647991267,15
dmnelf1001,CEN,own_group,-0.09110786134355303,11
dmnelf1001,DMN,pooled_all,0.006986700145681674,15
dmnelf1001,DMN,own_group,-0.058687614629780886,11
dmnelf1002,CEN,pooled_all,-0.21138580678993366,15
dmnelf1002,CEN,own_group,-0.23788861911184053,11
dmnelf1002,DMN,pooled_all,-0.03378816865633331,15
dmnelf1002,DMN,own_group,-0.04174031276779372,11
dmnelf1003,CEN,pooled_all,-0.03453548882367851,15
dmnelf1003,CEN,own_group,-0.0607481537949467,3
dmnelf1003,DMN,pooled_all,0.060199126506367835,15
dmnelf1003,DMN,own_group,0.013745742469896446,3
