subject,group,aca_dmn,aca_cen
dmnelf001,canonical,0.0423974825082817,0.1772420800636075
dmnelf005,canonical,0.1154990963615684,0.1037287660096564
dmnelf006,canonical,0.4893834067745731,0.5039436947348438
dmnelf007,canonical,0.2302486375396351,0.2444558966127862
dmnelf009,canonical,0.0435851883602158,0.0594344556764139
dmnelf010,canonical,0.0889347652791617,0.0660225269246523
dmnelf011,canonical,0.001135899160079,0.0666664843578958
dmnelf013,canonical,0.0445141839226918,0.1624966160769312
dmnelf014,canonical,0.2671899373170156,0.129474082525103
dmnelf015,canonical,0.3980938928054338,0.1014427375084376
dmnelf1001,canonical,0.093325571763274,0.1596337254156708
dmnelf1002,canonical,0.1460386654008935,-0.1470718899350032
dmnelf004,noncanonical,-0.5994321219899608,0.0422520431536082
dmnelf008,noncanonical,-0.0449279010537999,0.0991823705119568
dmnelf012,noncanonical,-0.0364349750366326,0.0256281191128731
dmnelf1003,noncanonical,-0.0386365101611402,-0.0898580810814019
