subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf001,DMN,-10.0,-8,0.02452778729656314,2,684
dmnelf001,DMN,-8.0,-7,0.04453205869763565,2,686
dmnelf001,DMN,-6.0,-5,0.016392721044337515,2,690
dmnelf001,DMN,-4.0,-3,0.051041018024915945,2,694
dmnelf001,DMN,-2.0,-2,0.0513764154491347,2,696
dmnelf001,DMN,0.0,0,0.07411454929754918,2,700
dmnelf001,DMN,2.0,2,0.03585855528513142,2,696
dmnelf001,DMN,4.0,3,0.004652370608332229,2,694
dmnelf001,DMN,6.0,5,0.02166151006432502,2,690
dmnelf001,DMN,8.0,7,0.041322781214181176,2,686
dmnelf001,DMN,10.0,8,0.052657716551349744,2,684
dmnelf001,CEN,-10.0,-8,-0.012090080372110588,2,684
dmnelf001,CEN,-8.0,-7,-0.024875811116922074,2,686
dmnelf001,CEN,-6.0,-5,-0.016891835169762295,2,690
dmnelf001,CEN,-4.0,-3,0.033527668675250415,2,694
dmnelf001,CEN,-2.0,-2,0.044883827796298216,2,696
dmnelf001,CEN,0.0,0,0.07606407958209076,2,700
dmnelf001,CEN,2.0,2,0.05119917669197197,2,696
dmnelf001,CEN,4.0,3,0.009320154892203707,2,694
dmnelf001,CEN,6.0,5,0.023706175158909697,2,690
dmnelf001,CEN,8.0,7,0.05795841228324352,2,686
dmnelf001,CEN,10.0,8,0.09126330458553142,2,684
dmnelf004,DMN,-10.0,-8,-0.1227512492161848,2,684
dmnelf004,DMN,-8.0,-7,-0.14684675328027275,2,686
dmnelf004,DMN,-6.0,-5,-0.22367288744525568,2,690
dmnelf004,DMN,-4.0,-3,-0.207824581896717,2,694
dmnelf004,DMN,-2.0,-2,-0.16950837527210671,2,696
dmnelf004,DMN,0.0,0,-0.1362936332505061,2,700
dmnelf004,DMN,2.0,2,-0.07022371810362779,2,696
dmnelf004,DMN,4.0,3,-0.024472924420478864,2,694
dmnelf004,DMN,6.0,5,0.022229693388257622,2,690
dmnelf004,DMN,8.0,7,-0.013952387293710743,2,686
dmnelf004,DMN,10.0,8,-0.0039993686639952265,2,684
dmnelf004,CEN,-10.0,-8,-0.01243336201757143,2,684
dmnelf004,CEN,-8.0,-7,-0.022801929127253814,2,686
dmnelf004,CEN,-6.0,-5,-0.04065583890583898,2,690
dmnelf004,CEN,-4.0,-3,-0.021759186823899955,2,694
dmnelf004,CEN,-2.0,-2,-0.005822018080883465,2,696
dmnelf004,CEN,0.0,0,-0.027187222397022485,2,700
dmnelf004,CEN,2.0,2,-0.035745468622150056,2,696
dmnelf004,CEN,4.0,3,-0.03518566401496042,2,694
dmnelf004,CEN,6.0,5,-0.02415949550382798,2,690
dmnelf004,CEN,8.0,7,-0.022428140469579534,2,686
dmnelf004,CEN,10.0,8,0.001018387101515468,2,684
dmnelf005,DMN,-10.0,-8,-0.021027411502220036,2,684
dmnelf005,DMN,-8.0,-7,-0.028779133645163508,2,686
dmnelf005,DMN,-6.0,-5,-0.0068914816080388455,2,690
