subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf006,DMN,-10.0,-8,-0.017705754466766973,2,684
dmnelf006,DMN,-8.0,-7,-0.03501996160539367,2,686
dmnelf006,DMN,-6.0,-5,-0.0619142738693808,2,690
dmnelf006,DMN,-4.0,-3,-0.09634808539409949,2,694
dmnelf006,DMN,-2.0,-2,-0.11968895228596377,2,696
dmnelf006,DMN,0.0,0,-0.12603335444793926,2,700
dmnelf006,DMN,2.0,2,-0.11753742064532319,2,696
dmnelf006,DMN,4.0,3,-0.14067399202534203,2,694
dmnelf006,DMN,6.0,5,-0.16004690421081882,2,690
dmnelf006,DMN,8.0,7,-0.148714548600104,2,686
dmnelf006,DMN,10.0,8,-0.12705421446665036,2,684
dmnelf006,CEN,-10.0,-8,-0.031920023288565386,2,684
dmnelf006,CEN,-8.0,-7,-0.03782317603367613,2,686
dmnelf006,CEN,-6.0,-5,-0.030050563288513497,2,690
dmnelf006,CEN,-4.0,-3,-0.08231782461317173,2,694
dmnelf006,CEN,-2.0,-2,-0.10668505570803416,2,696
dmnelf006,CEN,0.0,0,-0.10729560788946609,2,700
dmnelf006,CEN,2.0,2,-0.10718717139520008,2,696
dmnelf006,CEN,4.0,3,-0.13532653165785602,2,694
dmnelf006,CEN,6.0,5,-0.1685292674388522,2,690
dmnelf006,CEN,8.0,7,-0.14643886689792857,2,686
dmnelf006,CEN,10.0,8,-0.12796289238750175,2,684
