subject,band,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf010,0,DMN,-10.0,-8,-0.060564558116673495,2,684
dmnelf010,0,DMN,-8.0,-7,-0.03786157940518969,2,686
dmnelf010,0,DMN,-6.0,-5,-0.08195807035248615,2,690
dmnelf010,0,DMN,-4.0,-3,-0.09565949189369291,2,694
dmnelf010,0,DMN,-2.0,-2,-0.10416231606211314,2,696
dmnelf010,0,DMN,0.0,0,0.012678769198894808,2,700
dmnelf010,0,DMN,2.0,2,0.018563843642736753,2,696
dmnelf010,0,DMN,4.0,3,-0.010933817180185674,2,694
dmnelf010,0,DMN,6.0,5,-0.04350158937196748,2,690
dmnelf010,0,DMN,8.0,7,-0.07168647637631408,2,686
dmnelf010,0,DMN,10.0,8,-0.07557278726580935,2,684
dmnelf010,0,CEN,-10.0,-8,-0.129165747034732,2,684
dmnelf010,0,CEN,-8.0,-7,-0.10288179769707632,2,686
dmnelf010,0,CEN,-6.0,-5,-0.13420405450795564,2,690
dmnelf010,0,CEN,-4.0,-3,-0.10734619962922007,2,694
dmnelf010,0,CEN,-2.0,-2,-0.11070652707216448,2,696
dmnelf010,0,CEN,0.0,0,-0.0010929537097362743,2,700
dmnelf010,0,CEN,2.0,2,0.015666748318542242,2,696
dmnelf010,0,CEN,4.0,3,-0.003182084305224307,2,694
dmnelf010,0,CEN,6.0,5,-0.01320594032283997,2,690
dmnelf010,0,CEN,8.0,7,-0.006393708715794382,2,686
dmnelf010,0,CEN,10.0,8,-0.008307931609948202,2,684
dmnelf010,1,DMN,-10.0,-8,-0.018446328679958143,2,684
dmnelf010,1,DMN,-8.0,-7,-0.010606209602890371,2,686
dmnelf010,1,DMN,-6.0,-5,-0.07911690010274779,2,690
dmnelf010,1,DMN,-4.0,-3,-0.1153760305819789,2,694
dmnelf010,1,DMN,-2.0,-2,-0.09609346466258133,2,696
dmnelf010,1,DMN,0.0,0,0.03558978583532338,2,700
dmnelf010,1,DMN,2.0,2,0.059002367173320094,2,696
dmnelf010,1,DMN,4.0,3,0.0561048783592652,2,694
dmnelf010,1,DMN,6.0,5,0.002898186494192278,2,690
dmnelf010,1,DMN,8.0,7,-0.06808592857405851,2,686
dmnelf010,1,DMN,10.0,8,-0.06353077978329545,2,684
