# time_sec,pda_true,pda_predicted
0.000000,0.276360,0.044588
1.200000,0.303073,0.231732
2.400000,0.280705,0.144056
3.600000,0.099213,-0.074233
4.800000,0.121822,0.022044
6.000000,0.112943,0.045523
7.200000,0.129731,-0.092039
8.400000,0.044298,0.181777
9.600000,0.129035,-0.032981
10.800000,0.054350,0.151364
12.000000,0.119891,0.123289
13.200000,0.019053,0.052985
14.400000,0.014506,0.077540
15.600000,0.089858,0.148023
16.800000,0.290958,0.074277
18.000000,0.280636,0.179723
19.200000,0.164160,0.073577
20.400000,0.121299,-0.102804
21.600000,0.136520,-0.035545
22.800000,0.077440,0.092999
24.000000,-0.018187,0.152184
25.200000,-0.068767,0.055868
26.400000,0.005845,0.060121
27.600000,-0.000315,-0.003886
28.800000,0.027404,0.155479
30.000000,0.081728,0.030535
31.200000,0.015000,0.200790
32.400000,-0.112622,0.045180
33.600000,-0.049140,0.151818
34.800000,-0.073189,0.189565
36.000000,-0.122131,0.001883
37.200000,-0.208350,0.052448
38.400000,-0.193824,0.090545
39.600000,-0.173744,0.042603
40.800000,-0.216911,-0.040164
42.000000,-0.236582,-0.044120
43.200000,-0.248296,0.003729
44.400000,-0.128420,0.001077
45.600000,0.027983,0.149184
46.800000,0.213466,-0.071761
48.000000,0.304152,-0.042674
49.200000,0.171954,0.066158
50.400000,-0.065779,-0.073648
51.600000,-0.157176,0.016772
52.800000,-0.125891,0.009359
54.000000,-0.154204,0.033623
55.200000,-0.291624,-0.074927
56.400000,-0.262025,-0.062091
57.600000,-0.201287,0.065261
58.800000,-0.310774,0.039806
