# time_sec,pda_predicted
0.000000,0.044588
1.200000,0.231732
2.400000,0.144056
3.600000,-0.074233
4.800000,0.022044
6.000000,0.045523
7.200000,-0.092039
8.400000,0.181777
9.600000,-0.032981
10.800000,0.151364
12.000000,0.123289
13.200000,0.052985
14.400000,0.077540
15.600000,0.148023
16.800000,0.074277
18.000000,0.179723
19.200000,0.073577
20.400000,-0.102804
21.600000,-0.035545
22.800000,0.092999
24.000000,0.152184
25.200000,0.055868
26.400000,0.060121
27.600000,-0.003886
28.800000,0.155479
30.000000,0.030535
31.200000,0.200790
32.400000,0.045180
33.600000,0.151818
34.800000,0.189565
36.000000,0.001883
37.200000,0.052448
38.400000,0.090545
39.600000,0.042603
40.800000,-0.040164
42.000000,-0.044120
43.200000,0.003729
44.400000,0.001077
45.600000,0.149184
46.800000,-0.071761
48.000000,-0.042674
49.200000,0.066158
50.400000,-0.073648
51.600000,0.016772
52.800000,0.009359
54.000000,0.033623
55.200000,-0.074927
56.400000,-0.062091
57.600000,0.065261
58.800000,0.039806
