# time_sec,pda_true
0.000000,0.276360
1.200000,0.303073
2.400000,0.280705
3.600000,0.099213
4.800000,0.121822
6.000000,0.112943
7.200000,0.129731
8.400000,0.044298
9.600000,0.129035
10.800000,0.054350
12.000000,0.119891
13.200000,0.019053
14.400000,0.014506
15.600000,0.089858
16.800000,0.290958
18.000000,0.280636
19.200000,0.164160
20.400000,0.121299
21.600000,0.136520
22.800000,0.077440
24.000000,-0.018187
25.200000,-0.068767
26.400000,0.005845
27.600000,-0.000315
28.800000,0.027404
30.000000,0.081728
31.200000,0.015000
32.400000,-0.112622
33.600000,-0.049140
34.800000,-0.073189
36.000000,-0.122131
37.200000,-0.208350
38.400000,-0.193824
39.600000,-0.173744
40.800000,-0.216911
42.000000,-0.236582
43.200000,-0.248296
44.400000,-0.128420
45.600000,0.027983
46.800000,0.213466
48.000000,0.304152
49.200000,0.171954
50.400000,-0.065779
51.600000,-0.157176
52.800000,-0.125891
54.000000,-0.154204
55.200000,-0.291624
56.400000,-0.262025
57.600000,-0.201287
58.800000,-0.310774
