subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,0.09236545,0.5234935907150254,0.10588235294117646,0.4642751077428794,0.34886330643932817,0.29878097772598267,0.5008,-0.0040529966,400
dmnelf004,-0.0679517,0.6391550294587002,-0.060168067226890755,0.6780921362007897,0.8763296719081979,0.8268603682518005,0.4368,-0.017427564,400
dmnelf005,0.5319712,7.013089049681643e-05,0.6045138055222088,3.334651620920529e-06,0.15257983377166845,0.12728771567344666,0.8704000000000001,0.19287562,400
dmnelf006,0.23897621,0.09464439029395427,0.43039615846338536,0.0018096263181727335,0.36061481484586494,0.3102017641067505,0.6960000000000001,-0.18750918,400
dmnelf007,0.16377422,0.25576330800792496,0.2134453781512605,0.1366654425633772,0.33129067576082716,0.24530252814292908,0.5871999999999999,-0.10001564,400
dmnelf008,-0.2460392,0.08500747522946414,-0.28403361344537814,0.04560809403522806,0.6882988017135935,0.5202253460884094,0.32,-0.093854904,400
dmnelf009,0.25324517,0.07598503724471044,0.39255702280912363,0.004806121749176095,0.40358195465963553,0.3030562400817871,0.7759999999999999,0.012412608,400
dmnelf010,-0.5070049,0.0001716724466738367,-0.6251620648259303,1.2138881379123811e-06,0.5229530654893971,0.43001219630241394,0.176,-0.45515954,400
dmnelf011,0.3419907,0.01506267820758625,0.34597839135654257,0.013851564396048281,0.2557522061542732,0.21968141198158264,0.7328,-0.5691079,400
dmnelf012,0.31845984,0.02420042963197185,0.4159903961584634,0.00265960545660794,0.5224089409453729,0.4522845447063446,0.6624,0.053631485,400
dmnelf013,0.06220561,0.6678137675234715,0.17426170468187277,0.22614969415113212,0.12966373438413528,0.09524794667959213,0.6064,-1.1370804,400
dmnelf1001,-0.13087922,0.3649605378349015,-0.027515006002400956,0.8495635659967954,0.4419159267578079,0.3383278548717499,0.4512,-0.11594105,400
dmnelf1002,0.27514726,0.053127452038776675,0.2912364945978392,0.04017136724439466,0.2301873169809443,0.18771769106388092,0.7216,-0.11060262,400
dmnelf1003,-0.45119733,0.001006778023458935,-0.3572148859543817,0.010876626008250952,0.33283569273035196,0.2544005513191223,0.3952,-0.29509532,350
