subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,0.58934593,6.7033975600201565e-06,0.47975990396158463,0.00042275804708244143,0.3317635,0.28111276,0.7056,0.09196371,400
dmnelf004,0.18253742,0.2045197230121379,0.17675870348139258,0.21946335817354692,0.86116046,0.8155442,0.5056,0.017490923,400
dmnelf005,-0.23118372,0.10623786928814688,-0.2622328931572629,0.06581108856687731,0.18469808,0.16156206,0.256,-0.18269002,400
dmnelf006,0.5263916,8.618813077729361e-05,0.584249699879952,8.409532175008195e-06,0.28717974,0.22721325,0.8768,0.24689174,400
dmnelf007,0.2840292,0.04561156451442984,0.37690276110444176,0.00697597342878712,0.3051066,0.20320898,0.7216,0.06699574,400
dmnelf008,0.50282544,0.00019810273745774284,0.37546218487394956,0.007212958182491153,0.6349172,0.456913,0.7200000000000001,0.069235384,400
dmnelf009,-0.05974189,0.6802496555695082,0.12134453781512604,0.40122156027298317,0.4284983,0.34142223,0.552,-0.11329496,400
dmnelf010,0.5623888,2.1327543892814102e-05,0.5837695078031212,8.58944654984457e-06,0.4308133,0.33421275,0.7727999999999999,0.012440205,400
dmnelf011,0.14289549,0.3221940963083901,0.020120048019207682,0.8896984685014657,0.20491943,0.16789123,0.5168,-0.0073498487,400
dmnelf012,0.3432545,0.014669413991741636,0.4435534213685474,0.0012542283811843068,0.52332914,0.4568367,0.6912,0.050294578,400
dmnelf013,0.6608723,1.7585232868279366e-07,0.6908523409363745,2.8127582307495235e-08,0.0873209,0.06616543,0.8752,0.030784726,400
dmnelf014,0.55863523,2.485931665926803e-05,0.587611044417767,7.244469458345227e-06,0.47280127,0.38216794,0.8128,0.15719104,400
dmnelf015,-0.07676731,0.5961949096311844,-0.20201680672268904,0.1594577554373012,0.8703059,0.7451676,0.3792,-0.014610171,400
dmnelf1001,-0.544178,4.410041567908267e-05,-0.607875150060024,2.8425945948148573e-06,0.481341,0.36690083,0.2304,-0.32393813,400
dmnelf1002,0.3199279,0.023518579295309643,0.25935174069627853,0.06894662692349265,0.22414704,0.18597509,0.6112,-0.053081155,400
dmnelf1003,-0.3512192,0.012387203150889894,-0.3884273709483793,0.00531162990707193,0.33365276,0.27319065,0.27840000000000004,-0.30146158,350
