subject,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,mae,roc_auc,r2,n_timepoints
dmnelf001,-0.09057389827930871,0.531614688971774,0.0003361344537815126,0.9981515336582548,0.35347477548184614,0.3038106713003733,0.4159999999999999,-0.03077263424187815,400
dmnelf004,0.09294103649534732,0.5208979235733684,0.13498199279711884,0.34998804081011176,0.8663310397270813,0.8160446665436027,0.5631999999999999,0.005657069536387116,400
dmnelf005,0.6294534553111184,9.748572749857985e-07,0.6572388955582233,2.165682617445481e-07,0.14258138971255627,0.11689049147577447,0.8944,0.2951903078772956,400
dmnelf006,0.3843136776751864,0.00586080298932939,0.5894357743097238,6.676423608937024e-06,0.3346031186879643,0.28916256898167453,0.7552,-0.022374037650190415,400
dmnelf007,0.23784461515799432,0.09626422927742476,0.32494597839135647,0.021308552630070282,0.32239067073288213,0.23491886733607817,0.6384000000000001,-0.041706455187138,400
dmnelf008,-0.2354073448326663,0.09982589441619825,-0.14180072028811525,0.3259535839553248,0.6767588960575682,0.5013496585617858,0.3824,-0.05748357077634303,400
dmnelf009,0.4244590648041834,0.0021251509448576467,0.5091476590636254,0.00015940611616323418,0.39447246378808126,0.3082888068775223,0.7856,0.056492345464592475,400
dmnelf010,-0.6550086528116135,2.457606228745692e-07,-0.703625450180072,1.2034111423706387e-08,0.5189885312514209,0.419782720790668,0.1296,-0.4331798455784004,400
dmnelf011,0.291220756873507,0.04018263805267354,0.23620648259303723,0.09864704831462265,0.24723963386909092,0.21184893194670706,0.6736,-0.466392474346625,400
dmnelf012,0.5437591856087223,4.4821352774935176e-05,0.5998079231692677,4.157174300874548e-06,0.5164505632411752,0.442135853940113,0.8416,0.07509611072713851,400
dmnelf013,0.28301705510894465,0.046421589970967916,0.28720288115246095,0.043146258409119315,0.09639516229347225,0.07196211828934876,0.6896,-0.18112069852989365,400
dmnelf1001,-0.2985947215935105,0.03517874615168088,-0.22698679471788716,0.11291806888043797,0.44140091394725095,0.33052742897363546,0.3744,-0.11334152476267678,400
dmnelf1002,0.33144683602342473,0.018708118692462212,0.34933973589435774,0.012896300579777692,0.2219552512386435,0.1794736054234884,0.736,-0.03258719757752937,400
dmnelf1003,-0.4009156134805578,0.003910289006215315,-0.3127490996398559,0.02701270322802994,0.3180459074336255,0.2512409919796681,0.4064,-0.18255559461722215,350
