state,band,frontal,posterior,whole
1,delta,0.013744748,0.014688622,0.014271419
1,theta,0.010907292,0.011080893,0.01094244
1,alpha,0.0069564385,0.008527895,0.007446444
1,beta,0.0041200537,0.0049186624,0.0043704743
2,delta,0.035085324,0.031459358,0.034920588
2,theta,0.020343427,0.019933945,0.0206077
2,alpha,0.012754536,0.014210416,0.013372532
2,beta,0.006881711,0.0073944214,0.007410603
3,delta,0.004049675,0.0037414122,0.0044482825
3,theta,0.007110908,0.0070666578,0.0071687726
3,alpha,0.0034720683,0.0036382861,0.003200838
3,beta,0.0006970794,0.00076904154,0.0007442934
4,delta,0.014315864,0.015463422,0.014652492
4,theta,0.011367703,0.010957617,0.0111104855
4,alpha,0.0081853205,0.008767951,0.00859776
4,beta,0.0038442337,0.0040287715,0.0040552565
5,delta,0.0066365283,0.005643589,0.0067983824
5,theta,0.004590995,0.004127918,0.004435035
5,alpha,0.0034215034,0.005027301,0.0036102468
5,beta,0.00068413286,0.000899764,0.00077922834
6,delta,0.0070005045,0.006687996,0.006790476
6,theta,0.0044950736,0.0043624677,0.0047867163
6,alpha,0.0029727556,0.0035252438,0.003032206
6,beta,0.0011512794,0.0011676707,0.0012321239
7,delta,0.009106199,0.009608286,0.009555545
7,theta,0.0046745613,0.005878644,0.005161991
7,alpha,0.0029189503,0.0037883322,0.0033855496
7,beta,0.0016459659,0.0019981468,0.0019070437
8,delta,0.008316717,0.007925521,0.008485072
8,theta,0.0050605806,0.004409392,0.0049300096
8,alpha,0.003064373,0.0043286365,0.0032069252
8,beta,0.0010429532,0.0012041705,0.00115182
9,delta,0.021112738,0.016719598,0.01931598
9,theta,0.019299462,0.016510345,0.017771764
9,alpha,0.014154465,0.012506795,0.013288867
9,beta,0.007207651,0.005951278,0.006668399
10,delta,0.03243025,0.027715554,0.03193305
10,theta,0.02805657,0.024308365,0.026923724
10,alpha,0.022390367,0.027390616,0.023803009
10,beta,0.010752469,0.010259666,0.010463889
11,delta,0.00516448,0.00546391,0.00516417
11,theta,0.0039314185,0.0043111555,0.004179354
11,alpha,0.0028564709,0.0032317059,0.0031755215
11,beta,0.0015813322,0.0013685599,0.0016709202
12,delta,0.88780206,0.61736095,0.7854238
12,theta,0.3027692,0.23578613,0.2782952
12,alpha,0.1601113,0.13675207,0.15883487
12,beta,0.035265908,0.028489556,0.03456843
