target,method,n_train,n_test,n_features,mean_r,sign_flip_p
PDA,ridge,16,19,155,0.05443614898574384,0.0105989401059894
PDA,elasticnet,16,19,155,0.05108263124215534,0.030396960303969604
RAW_DMN,ridge,16,19,155,0.08065964269561486,0.0006999300069993001
RAW_DMN,elasticnet,16,19,155,0.1178240140696181,0.00019998000199980003
RAW_CEN,ridge,16,19,155,0.07034680958245264,9.999000099990002e-05
RAW_CEN,elasticnet,16,19,155,0.10762159538216674,9.999000099990002e-05
GSR_DMN,ridge,16,19,155,0.060231110566206024,0.012198780121987801
GSR_DMN,elasticnet,16,19,155,0.05349697441397152,0.031196880311968805
GSR_CEN,ridge,16,19,155,-0.014965577993250209,0.7795220477952205
GSR_CEN,elasticnet,16,19,155,-0.006369467284705725,0.5948405159484051
GSR_PDA,ridge,16,19,155,0.03987150832373955,0.037696230376962306
GSR_PDA,elasticnet,16,19,155,0.046642991802015116,0.04509549045095491
