target,method,n_train,n_test,n_features,mean_r,sign_flip_p
PDA,ridge,16,11,155,-0.021446459334159104,0.7442255774422558
PDA,elasticnet,16,11,155,0.013308889479462209,0.31126887311268875
RAW_DMN,ridge,16,11,155,0.1928378995403575,0.0007999200079992001
RAW_DMN,elasticnet,16,11,155,0.22541731009184904,0.00039996000399960006
RAW_CEN,ridge,16,11,155,0.10265507157755677,0.006899310068993101
RAW_CEN,elasticnet,16,11,155,0.15367097906254384,0.0008999100089991
GSR_DMN,ridge,16,11,155,0.0531922961321083,0.074992500749925
GSR_DMN,elasticnet,16,11,155,0.06884782567658715,0.0420957904209579
GSR_CEN,ridge,16,11,155,0.007095648399178662,0.42915708429157085
GSR_CEN,elasticnet,16,11,155,0.014687561385937088,0.32766723327667235
GSR_PDA,ridge,16,11,155,0.0011585373485403531,0.48325167483251674
GSR_PDA,elasticnet,16,11,155,0.03454092376345857,0.1110888911108889
