subject,target,model,oof_r
dmnelf001,PDA,ridge,-0.10989655304189051
dmnelf001,PDA,elasticnet,0.06506461929533977
dmnelf001,RAW_DMN,ridge,-0.05535904782647214
dmnelf001,RAW_DMN,elasticnet,-0.08195410175494824
dmnelf001,RAW_CEN,ridge,-0.09625183526794
dmnelf001,RAW_CEN,elasticnet,-0.10316639935931535
dmnelf001,GSR_DMN,ridge,0.0355898778201352
dmnelf001,GSR_DMN,elasticnet,0.049850950692917895
dmnelf001,GSR_CEN,ridge,-0.027986588611117122
dmnelf001,GSR_CEN,elasticnet,-0.14223578919539284
dmnelf001,GSR_PDA,ridge,-0.1094243461663325
dmnelf001,GSR_PDA,elasticnet,-0.0652891579418494
dmnelf004,PDA,ridge,0.05093542973141808
dmnelf004,PDA,elasticnet,0.0004700569927207827
dmnelf004,RAW_DMN,ridge,0.0859522638885125
dmnelf004,RAW_DMN,elasticnet,0.030624645602112574
dmnelf004,RAW_CEN,ridge,-0.06098594581412985
dmnelf004,RAW_CEN,elasticnet,-0.028016825702460904
dmnelf004,GSR_DMN,ridge,0.1210956613587447
dmnelf004,GSR_DMN,elasticnet,0.06265303896111662
dmnelf004,GSR_CEN,ridge,0.038249266757692885
dmnelf004,GSR_CEN,elasticnet,0.07174359187168404
dmnelf004,GSR_PDA,ridge,0.0632544450788831
dmnelf004,GSR_PDA,elasticnet,0.10690445384497667
dmnelf005,PDA,ridge,0.3835178606471634
dmnelf005,PDA,elasticnet,0.3120484957211797
dmnelf005,RAW_DMN,ridge,0.2811782384796434
dmnelf005,RAW_DMN,elasticnet,0.30886314254551045
dmnelf005,RAW_CEN,ridge,0.35601351192725567
dmnelf005,RAW_CEN,elasticnet,0.4701536644784296
dmnelf005,GSR_DMN,ridge,0.0713261240172745
dmnelf005,GSR_DMN,elasticnet,0.10220330229643343
dmnelf005,GSR_CEN,ridge,0.29757220554927494
dmnelf005,GSR_CEN,elasticnet,0.43861963577347557
dmnelf005,GSR_PDA,ridge,0.3719865091461305
dmnelf005,GSR_PDA,elasticnet,0.31152127339093977
dmnelf006,PDA,ridge,-0.03217726454339185
dmnelf006,PDA,elasticnet,0.023575325295188163
dmnelf006,RAW_DMN,ridge,-0.058263614100260264
dmnelf006,RAW_DMN,elasticnet,0.14745405674211137
dmnelf006,RAW_CEN,ridge,-0.11537413894889298
