target,model,n,mean_oof_r,sign_flip_p
PDA,ridge,16,0.12860128178999491,0.012098790120987902
PDA,elasticnet,16,0.1441946103918677,0.005699430056994301
RAW_DMN,ridge,16,0.14690972933148277,0.0007999200079992001
RAW_DMN,elasticnet,16,0.21512133045568943,0.000999900009999
RAW_CEN,ridge,16,0.09061830681895075,0.015498450154984501
RAW_CEN,elasticnet,16,0.1831873089908984,0.0016998300169983002
GSR_DMN,ridge,16,0.1373306103473054,0.00039996000399960006
GSR_DMN,elasticnet,16,0.0780602906133082,0.06359364063593641
GSR_CEN,ridge,16,0.16835595556209304,0.0007999200079992001
GSR_CEN,elasticnet,16,0.11444671564260119,0.055094490550944904
GSR_PDA,ridge,16,0.13157959819913048,0.0052994700529947
GSR_PDA,elasticnet,16,0.1516153103721286,0.0058994100589941
