cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
dmnelf,dmnelf1002,1,2000,raw,1,fb,0.9954817152812917,0.9977357423602995,0.9988672295957554
dmnelf,dmnelf1002,1,2000,raw,1,full,0.9957358099489443,0.9978633494324258,0.9989311034462917
dmnelf,dmnelf1002,1,2000,raw,3,fb,0.997795424396021,0.9988964958188121,0.9994480956101783
dmnelf,dmnelf1002,1,2000,raw,3,full,0.99756385700596,0.9987804429953536,0.9993900354693125
dmnelf,dmnelf1002,1,2000,raw,5,fb,0.9984909797304864,0.9992449201498437,0.999622388779805
dmnelf,dmnelf1002,1,2000,raw,5,full,0.998389326352111,0.9991940140859192,0.9995969258085577
dmnelf,dmnelf1002,1,2000,gsr,1,fb,0.994914756192797,0.9974508966904893,0.998724635067389
dmnelf,dmnelf1002,1,2000,gsr,1,full,0.9954512793560437,0.9977204551717123,0.9988595773038932
dmnelf,dmnelf1002,1,2000,gsr,3,fb,0.9975470910459333,0.9987720394852957,0.9993858311409541
dmnelf,dmnelf1002,1,2000,gsr,3,full,0.9973635868055064,0.9986800534404905,0.9993398087940311
dmnelf,dmnelf1002,1,2000,gsr,5,fb,0.997957443334099,0.9989776775913242,0.9994887080859514
dmnelf,dmnelf1002,1,2000,gsr,5,full,0.9979455832726886,0.9989717353943414,0.9994857354631638
dmnelf,dmnelf1002,2,2000,raw,1,fb,0.9906243963406292,0.9952901191824002,0.9976422801698013
dmnelf,dmnelf1002,2,2000,raw,1,full,0.9921081752424,0.9960384557145648,0.9980172622327556
dmnelf,dmnelf1002,2,2000,raw,3,fb,0.9944310424973226,0.9972077462775026,0.9986028971906213
dmnelf,dmnelf1002,2,2000,raw,3,full,0.9951267735922203,0.9975574352104927,0.9987779709277196
dmnelf,dmnelf1002,2,2000,raw,5,fb,0.9958845929192861,0.9979380535852053,0.9989684947911046
dmnelf,dmnelf1002,2,2000,raw,5,full,0.9959072220102818,0.9979494147099703,0.998974181202883
dmnelf,dmnelf1002,2,2000,gsr,1,fb,0.990253484343031,0.9951028772296378,0.99754843352573
dmnelf,dmnelf1002,2,2000,gsr,1,full,0.9914261015372435,0.9956945937104379,0.9978449747883876
dmnelf,dmnelf1002,2,2000,gsr,3,fb,0.9939626874276454,0.9969722038379047,0.9984849542371206
dmnelf,dmnelf1002,2,2000,gsr,3,full,0.9947135405730883,0.9973497651069271,0.9986740034199985
dmnelf,dmnelf1002,2,2000,gsr,5,fb,0.9949742488497876,0.9974807939736015,0.9987396026861063
dmnelf,dmnelf1002,2,2000,gsr,5,full,0.9953061721590848,0.9976475651173694,0.9988230900001108
dmnelf,dmnelf1002,3,2000,raw,1,fb,0.9900391527570541,0.9949946476032164,0.99749418424531
dmnelf,dmnelf1002,3,2000,raw,1,full,0.9916857903431183,0.9958255415100142,0.9979105879336155
dmnelf,dmnelf1002,3,2000,raw,3,fb,0.9956514119664753,0.9978209681272745,0.9989098898936152
dmnelf,dmnelf1002,3,2000,raw,3,full,0.9958545152551236,0.997922952443081,0.9989609363949529
dmnelf,dmnelf1002,3,2000,raw,5,fb,0.9968087679162733,0.9984018338986678,0.9992005974270971
dmnelf,dmnelf1002,3,2000,raw,5,full,0.9967114166456768,0.9983530001747334,0.9991761607317968
dmnelf,dmnelf1002,3,2000,gsr,1,fb,0.9893818780014437,0.994662602431453,0.9973277307041317
dmnelf,dmnelf1002,3,2000,gsr,1,full,0.9915949276159202,0.99577972796198,0.9978876329336785
dmnelf,dmnelf1002,3,2000,gsr,3,fb,0.9956851126870774,0.9978378917167384,0.9989183608867835
dmnelf,dmnelf1002,3,2000,gsr,3,full,0.9957198553405212,0.9978553379383257,0.998927093404882
dmnelf,dmnelf1002,3,2000,gsr,5,fb,0.9963805353728111,0.9981869866175023,0.999093082058675
dmnelf,dmnelf1002,3,2000,gsr,5,full,0.9960841909739608,0.9980382545767629,0.9990186457603095
dmnelf,dmnelf1002,4,2000,raw,1,fb,0.9903885356508844,0.9951710612390698,0.997582608729257
dmnelf,dmnelf1002,4,2000,raw,1,full,0.9910486605030746,0.9955042085738559,0.9977495720740029
dmnelf,dmnelf1002,4,2000,raw,3,fb,0.9958488301884907,0.9979200980812173,0.9989595077285252
dmnelf,dmnelf1002,4,2000,raw,3,full,0.9955278700992717,0.9977589238578232,0.9988788334216634
dmnelf,dmnelf1002,4,2000,raw,5,fb,0.9966384606962494,0.9983164006053562,0.9991578456907378
dmnelf,dmnelf1002,4,2000,raw,5,full,0.995947767650635,0.9979697703441734,0.9989843694193485
dmnelf,dmnelf1002,4,2000,gsr,1,fb,0.9898616902298927,0.9949050178613489,0.9974492557826432
dmnelf,dmnelf1002,4,2000,gsr,1,full,0.9903981925468672,0.9951759364085603,0.997585052217885
dmnelf,dmnelf1002,4,2000,gsr,3,fb,0.9955451944064343,0.9977676248044631,0.9988831887685682
dmnelf,dmnelf1002,4,2000,gsr,3,full,0.9947401030336569,0.9973631166494604,0.9986806880326967
dmnelf,dmnelf1002,4,2000,gsr,5,fb,0.9961251702875189,0.9980588242810831,0.999028940662423
dmnelf,dmnelf1002,4,2000,gsr,5,full,0.9960569100354013,0.99802456034957,0.9990117918971577
