cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd_nf2,rtbpd010,1,2000,raw,1,fb,0.9893146141258019,0.9946286093721309,0.9973106884878608
rtbpd_nf2,rtbpd010,1,2000,raw,1,full,0.988465679286684,0.9941993865755563,0.997095475155492
rtbpd_nf2,rtbpd010,1,2000,raw,3,fb,0.994407800471862,0.9971960601403509,0.9985970459301143
rtbpd_nf2,rtbpd010,1,2000,raw,3,full,0.9938293654865433,0.9969051341001035,0.9984513679193912
rtbpd_nf2,rtbpd010,1,2000,raw,5,fb,0.9958047575958824,0.9978979695342689,0.9989484318693678
rtbpd_nf2,rtbpd010,1,2000,raw,5,full,0.9947955454894577,0.9973909834908593,0.9986946397627552
rtbpd_nf2,rtbpd010,1,2000,gsr,1,fb,0.988442644067201,0.9941877348248982,0.9970896322923523
rtbpd_nf2,rtbpd010,1,2000,gsr,1,full,0.9880144689181799,0.9939711047031049,0.9969809951564297
rtbpd_nf2,rtbpd010,1,2000,gsr,3,fb,0.9941661387095917,0.997074535979142,0.9985361966294172
rtbpd_nf2,rtbpd010,1,2000,gsr,3,full,0.9934258590599369,0.996702089064319,0.998349682758661
rtbpd_nf2,rtbpd010,1,2000,gsr,5,fb,0.9952078534500268,0.997598171768577,0.9987983639196537
rtbpd_nf2,rtbpd010,1,2000,gsr,5,full,0.9943180005862596,0.997150906017962,0.9985744368938962
rtbpd_nf2,rtbpd010,2,2000,raw,1,fb,0.9886089152798074,0.9942718326199449,0.9971318030330518
rtbpd_nf2,rtbpd010,2,2000,raw,1,full,0.9904634033455854,0.995208856069202,0.9976015517576152
rtbpd_nf2,rtbpd010,2,2000,raw,3,fb,0.9938747111564612,0.9969279469721615,0.9984627919818352
rtbpd_nf2,rtbpd010,2,2000,raw,3,full,0.9943204238193033,0.997152124546857,0.9985750470279422
rtbpd_nf2,rtbpd010,2,2000,raw,5,fb,0.9939961329562155,0.9969890277395456,0.9984933789162278
rtbpd_nf2,rtbpd010,2,2000,raw,5,full,0.9949850412807826,0.997486217382363,0.9987423178089346
rtbpd_nf2,rtbpd010,2,2000,gsr,1,fb,0.9890666570091468,0.994503279740613,0.9972478527129618
rtbpd_nf2,rtbpd010,2,2000,gsr,1,full,0.9902012210288036,0.9950764883130103,0.9975352065531373
rtbpd_nf2,rtbpd010,2,2000,gsr,3,fb,0.9933126660866582,0.9966451154266377,0.998321148442042
rtbpd_nf2,rtbpd010,2,2000,gsr,3,full,0.9943146165421133,0.9971492043378068,0.9985735848387973
rtbpd_nf2,rtbpd010,2,2000,gsr,5,fb,0.9934666641875962,0.9967226260013401,0.998359968148433
rtbpd_nf2,rtbpd010,2,2000,gsr,5,full,0.9946399600034356,0.9973127781935366,0.998655485236794
rtbpd_nf2,rtbpd010,3,2000,raw,1,fb,0.9897818663000134,0.9948646965413415,0.9974290433616526
rtbpd_nf2,rtbpd010,3,2000,raw,1,full,0.9919120912481516,0.9959396256554773,0.997967747803243
rtbpd_nf2,rtbpd010,3,2000,raw,3,fb,0.9934331820930553,0.9967057747578729,0.9983515286500406
rtbpd_nf2,rtbpd010,3,2000,raw,3,full,0.9952733744763848,0.9976310887600274,0.9988148420803664
rtbpd_nf2,rtbpd010,3,2000,raw,5,fb,0.9940363283859618,0.9970092462563781,0.9985035033771179
rtbpd_nf2,rtbpd010,3,2000,raw,5,full,0.9955385149993407,0.9977642701621016,0.9988815095706305
rtbpd_nf2,rtbpd010,3,2000,gsr,1,fb,0.9877114323052534,0.993817730534208,0.9969040728847525
rtbpd_nf2,rtbpd010,3,2000,gsr,1,full,0.9912377064994121,0.9955995743391219,0.9977973613610741
rtbpd_nf2,rtbpd010,3,2000,gsr,3,fb,0.9918264833131274,0.9958964715273405,0.9979461265656281
rtbpd_nf2,rtbpd010,3,2000,gsr,3,full,0.9943266395811042,0.9971552501449374,0.9985766120558489
rtbpd_nf2,rtbpd010,3,2000,gsr,5,fb,0.9918434419095021,0.9959050204856068,0.9979504098328769
rtbpd_nf2,rtbpd010,3,2000,gsr,5,full,0.995281364018623,0.9976351024640087,0.9988168513115949
rtbpd_nf2,rtbpd010,4,2000,raw,1,fb,0.991566262628278,0.9957652740308063,0.997880390643491
rtbpd_nf2,rtbpd010,4,2000,raw,1,full,0.9912501691833175,0.9956058606035066,0.9978005114267614
rtbpd_nf2,rtbpd010,4,2000,raw,3,fb,0.9949670735074975,0.9974771881905531,0.9987377975177234
rtbpd_nf2,rtbpd010,4,2000,raw,3,full,0.9949141079457285,0.9974505709122943,0.9987244719702698
rtbpd_nf2,rtbpd010,4,2000,raw,5,fb,0.9955254743699357,0.9977577206166827,0.9988782311256376
rtbpd_nf2,rtbpd010,4,2000,raw,5,full,0.9953356671306832,0.997662381850757,0.9988305070685201
rtbpd_nf2,rtbpd010,4,2000,gsr,1,fb,0.9910673781598295,0.9955136516533026,0.9977543042519549
rtbpd_nf2,rtbpd010,4,2000,gsr,1,full,0.9907841180060919,0.9953707275889169,0.9976826788056996
rtbpd_nf2,rtbpd010,4,2000,gsr,3,fb,0.9944423957444609,0.9972134546139826,0.9986057553479164
rtbpd_nf2,rtbpd010,4,2000,gsr,3,full,0.9937473280306114,0.9968638593860512,0.9984306983391742
rtbpd_nf2,rtbpd010,4,2000,gsr,5,fb,0.9946731968904965,0.9973294857935588,0.9986638502487005
rtbpd_nf2,rtbpd010,4,2000,gsr,5,full,0.9949425647775358,0.9974648717653543,0.9987316315033555
rtbpd_nf2,rtbpd010,5,2000,raw,1,fb,0.9913754210331004,0.9956690341380103,0.9978321673197403
rtbpd_nf2,rtbpd010,5,2000,raw,1,full,0.9906330512371969,0.9952944874712185,0.9976444694735788
rtbpd_nf2,rtbpd010,5,2000,raw,3,fb,0.994659823817459,0.9973227634513032,0.9986604845748646
rtbpd_nf2,rtbpd010,5,2000,raw,3,full,0.9947122957541222,0.9973491393936192,0.9986736901478978
rtbpd_nf2,rtbpd010,5,2000,raw,5,fb,0.9956855396787071,0.9978381061367076,0.9989184682128505
rtbpd_nf2,rtbpd010,5,2000,raw,5,full,0.995625511199785,0.997807961075029,0.9989033792489788
rtbpd_nf2,rtbpd010,5,2000,gsr,1,fb,0.9906934258842662,0.9953249586326434,0.9976597409100175
rtbpd_nf2,rtbpd010,5,2000,gsr,1,full,0.9907244433609863,0.995340612474043,0.9976675861598607
rtbpd_nf2,rtbpd010,5,2000,gsr,3,fb,0.9939026777615301,0.9969420161242197,0.9984698373632624
rtbpd_nf2,rtbpd010,5,2000,gsr,3,full,0.9943707204712069,0.997177415677531,0.9985877105580315
rtbpd_nf2,rtbpd010,5,2000,gsr,5,fb,0.9954602165485472,0.9977249441438101,0.9988618243499999
rtbpd_nf2,rtbpd010,5,2000,gsr,5,full,0.9951280205231062,0.9975580617249733,0.9987782845681885
