cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd,rtbpd034,1,2000,raw,1,fb,0.9819032291716691,0.9908689937218103,0.9954240270969001
rtbpd,rtbpd034,1,2000,raw,1,full,0.9844758601022524,0.9921772090001904,0.9960809249253749
rtbpd,rtbpd034,1,2000,raw,3,fb,0.9876906271970103,0.9938071988494769,0.9968987906751
rtbpd,rtbpd034,1,2000,raw,3,full,0.9895335184795122,0.9947392283551539,0.997366145583032
rtbpd,rtbpd034,1,2000,raw,5,fb,0.991129507500785,0.9955449947048653,0.9977700109267994
rtbpd,rtbpd034,1,2000,raw,5,full,0.9920487736631536,0.9960085182441467,0.9980022636468049
rtbpd,rtbpd034,1,2000,gsr,1,fb,0.9774407504375104,0.9885916938054916,0.9942794847554141
rtbpd,rtbpd034,1,2000,gsr,1,full,0.9805150316953304,0.9901616660349251,0.9950686740295491
rtbpd,rtbpd034,1,2000,gsr,3,fb,0.9815939646818844,0.990711500112451,0.9953449151487392
rtbpd,rtbpd034,1,2000,gsr,3,full,0.9841018636402354,0.9919872378272977,0.9959855610536218
rtbpd,rtbpd034,1,2000,gsr,5,fb,0.9847128580073242,0.9922975548170608,0.9961413327520653
rtbpd,rtbpd034,1,2000,gsr,5,full,0.9862839059073306,0.9930945953637962,0.9965413164358998
rtbpd,rtbpd034,2,2000,raw,1,fb,0.9808006916428299,0.9903072992461212,0.9951418488065513
rtbpd,rtbpd034,2,2000,raw,1,full,0.9811585572416106,0.9904896845890908,0.9952334824497671
rtbpd,rtbpd034,2,2000,raw,3,fb,0.988767593047819,0.994352076637086,0.9971720396386403
rtbpd,rtbpd034,2,2000,raw,3,full,0.987907661237322,0.9939170520852304,0.9969538866393122
rtbpd,rtbpd034,2,2000,raw,5,fb,0.9909136671304739,0.9954360990034177,0.9977154398942705
rtbpd,rtbpd034,2,2000,raw,5,full,0.9896885991072878,0.9948175805513794,0.9974054243643251
rtbpd,rtbpd034,2,2000,gsr,1,fb,0.9787528723987161,0.9892623642408023,0.9946166921185278
rtbpd,rtbpd034,2,2000,gsr,1,full,0.9797061715468695,0.989749070470759,0.9948613322824237
rtbpd,rtbpd034,2,2000,gsr,3,fb,0.9866414309936752,0.993275802669814,0.9966322303988638
rtbpd,rtbpd034,2,2000,gsr,3,full,0.9867677124278467,0.9933397913156222,0.9966643323183699
rtbpd,rtbpd034,2,2000,gsr,5,fb,0.9885364973438164,0.994235206308008,0.9971134370311173
rtbpd,rtbpd034,2,2000,gsr,5,full,0.9878113720113818,0.9938683176078799,0.9969294446488577
rtbpd,rtbpd034,3,2000,raw,1,fb,0.9842176148974581,0.9920460412285185,0.9960150808238389
rtbpd,rtbpd034,3,2000,raw,1,full,0.985614948319833,0.9927553669494988,0.9963710990135648
rtbpd,rtbpd034,3,2000,raw,3,fb,0.9922869888202102,0.9961285641962871,0.9980624049608757
