subject,target,ttype,mode,window,r
rtbpd030,CEN,orig,best,fb,0.10650109808446571
rtbpd030,CEN,orig,frontal,fb,0.3106967284998466
rtbpd030,CEN,orig,all,fb,0.28083568849131296
rtbpd030,CEN,orig,epoc,fb,0.18637601266713036
rtbpd030,CEN,orig,epoc_afproxy,fb,0.28125830330100754
rtbpd030,DMN,orig,best,fb,0.12705457078225377
rtbpd030,DMN,orig,frontal,fb,0.3485435999550838
rtbpd030,DMN,orig,all,fb,0.32287759363257373
rtbpd030,DMN,orig,epoc,fb,0.19787363106568412
rtbpd030,DMN,orig,epoc_afproxy,fb,0.3075331119761052
rtbpd030,PDA,orig,best,fb,0.09583987061838029
rtbpd030,PDA,orig,frontal,fb,0.39946023438467193
rtbpd030,PDA,orig,all,fb,0.3201923234613992
rtbpd030,PDA,orig,epoc,fb,0.26295568985554235
rtbpd030,PDA,orig,epoc_afproxy,fb,0.2986819907311701
rtbpd030,CEN,clean,best,fb,0.008881580636950142
rtbpd030,CEN,clean,frontal,fb,-0.02242952820207705
rtbpd030,CEN,clean,all,fb,0.03863363982643117
rtbpd030,CEN,clean,epoc,fb,-0.0265138844127576
rtbpd030,CEN,clean,epoc_afproxy,fb,-0.027371627940004837
rtbpd030,DMN,clean,best,fb,0.06950739185586349
rtbpd030,DMN,clean,frontal,fb,0.06637310821503163
rtbpd030,DMN,clean,all,fb,0.05219159003193109
rtbpd030,DMN,clean,epoc,fb,0.09998014427601565
rtbpd030,DMN,clean,epoc_afproxy,fb,0.10372037370968835
rtbpd030,PDA,clean,best,fb,0.11044352240752593
rtbpd030,PDA,clean,frontal,fb,0.07781187596220665
rtbpd030,PDA,clean,all,fb,0.05316750890559242
rtbpd030,PDA,clean,epoc,fb,0.037074756056664396
rtbpd030,PDA,clean,epoc_afproxy,fb,0.0787822592035635
