subject,target,ttype,mode,window,r
rtbpd003,CEN,orig,best,fb,0.2354179828347445
rtbpd003,CEN,orig,frontal,fb,0.28010241403210695
rtbpd003,CEN,orig,all,fb,0.32558533350045665
rtbpd003,CEN,orig,epoc,fb,0.26918980157260514
rtbpd003,CEN,orig,epoc_afproxy,fb,0.27581633467847666
rtbpd003,DMN,orig,best,fb,0.45343825454006453
rtbpd003,DMN,orig,frontal,fb,0.4046065860624266
rtbpd003,DMN,orig,all,fb,0.37781357484687295
rtbpd003,DMN,orig,epoc,fb,0.383674058891223
rtbpd003,DMN,orig,epoc_afproxy,fb,0.35868608924052636
rtbpd003,PDA,orig,best,fb,0.12777200395839738
rtbpd003,PDA,orig,frontal,fb,0.1975101613407392
rtbpd003,PDA,orig,all,fb,0.13423359370508153
rtbpd003,PDA,orig,epoc,fb,0.11261497080274094
rtbpd003,PDA,orig,epoc_afproxy,fb,0.13972158021245518
rtbpd003,CEN,clean,best,fb,0.04428872540880663
rtbpd003,CEN,clean,frontal,fb,0.0670151838321159
rtbpd003,CEN,clean,all,fb,0.15237546324097345
rtbpd003,CEN,clean,epoc,fb,0.08176604565346189
rtbpd003,CEN,clean,epoc_afproxy,fb,0.09692188672869213
rtbpd003,DMN,clean,best,fb,0.14090393158587927
rtbpd003,DMN,clean,frontal,fb,0.1601642007218311
rtbpd003,DMN,clean,all,fb,0.16239687935654895
rtbpd003,DMN,clean,epoc,fb,0.13801792878362368
rtbpd003,DMN,clean,epoc_afproxy,fb,0.12818780227448764
rtbpd003,PDA,clean,best,fb,0.08752647649038788
rtbpd003,PDA,clean,frontal,fb,0.07965732221649241
rtbpd003,PDA,clean,all,fb,0.05124153699544903
rtbpd003,PDA,clean,epoc,fb,-0.016410904063655134
rtbpd003,PDA,clean,epoc_afproxy,fb,-0.014677283679955546
