target,resolution,method,electrode,n_train,n_test,mean_r,sign_flip_p
DMN,tr,EFP,O1,17,19,0.09701544857860245,0.00039996000399960006
DMN,tr,HRF,O1,17,19,0.15514795797525516,0.00029997000299970003
DMN,tr,TA,O1,17,19,0.027512494017943985,0.14608539146085392
CEN,tr,EFP,Cz,17,19,0.13813554226023603,0.0012998700129987
CEN,tr,HRF,Cz,17,19,0.1677030257244886,0.00029997000299970003
CEN,tr,TA,Cz,17,19,0.06104349820634733,0.0093990600939906
PDA,tr,EFP,Pz,17,19,0.06720837977204312,0.031796820317968204
PDA,tr,HRF,Pz,17,19,0.03274023131636987,0.19638036196380362
PDA,tr,TA,Pz,17,19,-0.021175349349653105,0.7424257574242575
GSR_DMN,tr,EFP,Cz,17,19,0.044867714797933334,0.0023997600239976003
GSR_DMN,tr,HRF,Cz,17,19,0.03272615689443285,0.08609139086091391
GSR_DMN,tr,TA,Cz,17,19,0.018542084933309,0.24377562243775622
GSR_CEN,tr,EFP,Pz,17,19,0.09793635717529547,0.009599040095990401
GSR_CEN,tr,HRF,Pz,17,19,-0.007298320195763401,0.6048395160483951
GSR_CEN,tr,TA,Pz,17,19,-0.008421779258575082,0.6001399860013998
GSR_PDA,tr,EFP,Pz,17,19,0.06412496845546452,0.0273972602739726
GSR_PDA,tr,HRF,Pz,17,19,0.029169537620925487,0.18758124187581243
GSR_PDA,tr,TA,Pz,17,19,-0.026751335456269742,0.8194180581941806
VIS,tr,EFP,Oz,17,19,0.14478003992199276,9.999000099990002e-05
VIS,tr,HRF,Oz,17,19,0.15319415664655417,9.999000099990002e-05
VIS,tr,TA,Oz,17,19,-0.03861449195967882,0.9074092590740926
