target,resolution,method,electrode,n_train,n_test,mean_r,sign_flip_p
DMN,tr,EFP,O1,17,11,0.0874318580467244,0.008599140085991401
DMN,tr,HRF,O1,17,11,0.1815144567483997,0.00039996000399960006
DMN,tr,TA,O1,17,11,0.08079644959280546,0.0504949505049495
CEN,tr,EFP,Cz,17,11,0.1130595392568579,0.0045995400459954
CEN,tr,HRF,Cz,17,11,0.1765573363775551,0.00039996000399960006
CEN,tr,TA,Cz,17,11,0.0909675081118575,0.012998700129987
PDA,tr,EFP,Pz,17,11,0.15271970188921785,0.0040995900409959
PDA,tr,HRF,Pz,17,11,0.12549743903858854,0.019198080191980802
PDA,tr,TA,Pz,17,11,-0.019785604976613334,0.7278272172782722
GSR_DMN,tr,EFP,Cz,17,11,0.028110294065592702,0.15228477152284772
GSR_DMN,tr,HRF,Cz,17,11,0.04216268932471256,0.06059394060593941
GSR_DMN,tr,TA,Cz,17,11,0.005324327841388799,0.4263573642635736
GSR_CEN,tr,EFP,Pz,17,11,0.11748613043669466,0.006999300069993001
GSR_CEN,tr,HRF,Pz,17,11,0.07350918287018877,0.0221977802219778
GSR_CEN,tr,TA,Pz,17,11,-0.011366517175834728,0.662933706629337
GSR_PDA,tr,EFP,Pz,17,11,0.13629288491307756,0.004199580041995801
GSR_PDA,tr,HRF,Pz,17,11,0.10652012068788701,0.023997600239976002
GSR_PDA,tr,TA,Pz,17,11,-0.002591729448547636,0.5218478152184781
VIS,tr,EFP,Oz,17,11,0.12097323999615085,0.00039996000399960006
VIS,tr,HRF,Oz,17,11,0.11154975935406145,0.0025997400259974
VIS,tr,TA,Oz,17,11,-0.043064333674150586,0.8552144785521448
