session,target,subject,scheme,r
nf1,CEN,rtbpd002,transfer,0.17410767746934497
nf1,CEN,rtbpd002,cal1,0.1955535848546508
nf1,CEN,rtbpd002,dmnelf+cal1,0.1651313617591767
nf1,CEN,rtbpd002,within_loro,0.29036139263358174
nf1,CEN,rtbpd003,transfer,0.033506563957293185
nf1,CEN,rtbpd003,cal1,0.016574436314943784
nf1,CEN,rtbpd003,dmnelf+cal1,-0.021340936852328674
nf1,CEN,rtbpd003,within_loro,0.05496086692082116
nf1,CEN,rtbpd004,transfer,-0.046648896268348894
nf1,CEN,rtbpd004,cal1,0.07966571561281917
nf1,CEN,rtbpd004,dmnelf+cal1,-0.05104538200625947
nf1,CEN,rtbpd004,within_loro,0.01020131657078758
nf1,CEN,rtbpd009,transfer,0.0384327769934375
nf1,CEN,rtbpd009,cal1,0.11856066932058681
nf1,CEN,rtbpd009,dmnelf+cal1,0.046769268439928985
nf1,CEN,rtbpd009,within_loro,0.07411527889936369
nf1,CEN,rtbpd010,transfer,0.13331693098858338
nf1,CEN,rtbpd010,cal1,0.08261796923626558
nf1,CEN,rtbpd010,dmnelf+cal1,0.09935537631015529
nf1,CEN,rtbpd010,within_loro,-0.028161484297747643
nf1,CEN,rtbpd011,transfer,-0.028513412587411656
nf1,CEN,rtbpd011,cal1,0.05503646463786073
nf1,CEN,rtbpd011,dmnelf+cal1,-0.04104160438704463
nf1,CEN,rtbpd011,within_loro,0.09285907949547118
nf1,CEN,rtbpd012,transfer,0.019751198768284153
nf1,CEN,rtbpd012,cal1,-0.06254563124149992
nf1,CEN,rtbpd012,dmnelf+cal1,-0.011744025823065316
nf1,CEN,rtbpd012,within_loro,-0.043130475704096935
nf1,CEN,rtbpd013,transfer,0.12947894375249883
nf1,CEN,rtbpd013,cal1,0.14260835060016025
nf1,CEN,rtbpd013,dmnelf+cal1,0.14607825851593934
nf1,CEN,rtbpd013,within_loro,0.1083152325686375
nf1,CEN,rtbpd015,transfer,-0.00744651841960691
nf1,CEN,rtbpd015,cal1,0.026455557264165597
nf1,CEN,rtbpd015,dmnelf+cal1,0.001424930459266652
nf1,CEN,rtbpd015,within_loro,-0.033526543548925876
nf1,CEN,rtbpd018,transfer,0.07686923809376654
nf1,CEN,rtbpd018,cal1,0.0070449377732650295
nf1,CEN,rtbpd018,dmnelf+cal1,0.0985030335700779
nf1,CEN,rtbpd018,within_loro,0.1699474791774569
nf1,CEN,rtbpd020,transfer,-0.021982204720014206
nf1,CEN,rtbpd020,cal1,0.009649335043540659
nf1,CEN,rtbpd020,dmnelf+cal1,-0.016104686951412026
nf1,CEN,rtbpd020,within_loro,-0.05892694356130366
nf1,CEN,rtbpd021,transfer,0.016232971067236673
nf1,CEN,rtbpd021,cal1,-0.007933997543717014
nf1,CEN,rtbpd021,dmnelf+cal1,0.043725610473139616
nf1,CEN,rtbpd021,within_loro,-0.05265788013393125
nf1,CEN,rtbpd022,transfer,-0.0002969731421364856
nf1,CEN,rtbpd022,cal1,0.17810558055108092
nf1,CEN,rtbpd022,dmnelf+cal1,0.04217171831941891
nf1,CEN,rtbpd022,within_loro,0.09066121984188986
nf1,CEN,rtbpd024,transfer,0.03471283654110544
nf1,CEN,rtbpd024,cal1,0.036187756938013876
nf1,CEN,rtbpd024,dmnelf+cal1,0.05203282237759688
nf1,CEN,rtbpd024,within_loro,-0.020628116404460967
nf1,CEN,rtbpd026,transfer,0.004114313821149575
nf1,CEN,rtbpd026,cal1,-6.663123908542956e-05
nf1,CEN,rtbpd026,dmnelf+cal1,0.012537141316702497
nf1,CEN,rtbpd026,within_loro,-0.034702724807367434
nf1,CEN,rtbpd030,transfer,0.008403981501876294
nf1,CEN,rtbpd030,cal1,0.11011743418855574
nf1,CEN,rtbpd030,dmnelf+cal1,0.013911416757887174
nf1,CEN,rtbpd030,within_loro,0.027107189676583054
nf1,CEN,rtbpd034,transfer,-0.1032420633169294
nf1,CEN,rtbpd034,cal1,-0.0774424379052916
nf1,CEN,rtbpd034,dmnelf+cal1,-0.1643464122558963
nf1,CEN,rtbpd034,within_loro,0.08489852541602799
nf1,CEN,rtbpd038,transfer,0.09578922461211864
nf1,CEN,rtbpd038,cal1,-0.021698808121237537
nf1,CEN,rtbpd038,dmnelf+cal1,0.13756232056527304
nf1,CEN,rtbpd038,within_loro,0.14518648173620408
nf1,CEN,rtbpd040,transfer,-0.13415219514089616
nf1,CEN,rtbpd040,cal1,0.07152337208946374
nf1,CEN,rtbpd040,dmnelf+cal1,-0.16725343089274874
nf1,CEN,rtbpd040,within_loro,0.07043760910023257
nf2,CEN,rtbpd002,transfer,0.023115826306698943
nf2,CEN,rtbpd002,cal1,0.01600461697374659
nf2,CEN,rtbpd002,dmnelf+cal1,0.04676447911942793
nf2,CEN,rtbpd002,within_loro,0.012022764991230244
nf2,CEN,rtbpd003,transfer,0.37042382313987054
nf2,CEN,rtbpd003,cal1,0.14452453187948217
nf2,CEN,rtbpd003,dmnelf+cal1,0.4084942737374334
nf2,CEN,rtbpd003,within_loro,0.3542427480659762
nf2,CEN,rtbpd009,transfer,0.07357313927915218
nf2,CEN,rtbpd009,cal1,0.09509324350647173
nf2,CEN,rtbpd009,dmnelf+cal1,0.07256708582581312
nf2,CEN,rtbpd009,within_loro,0.07065819529301118
nf2,CEN,rtbpd010,transfer,0.13745132655024292
nf2,CEN,rtbpd010,cal1,0.1625468190431886
nf2,CEN,rtbpd010,dmnelf+cal1,0.1444223740377073
nf2,CEN,rtbpd010,within_loro,0.08423767763480944
nf2,CEN,rtbpd011,transfer,0.02721812080803199
nf2,CEN,rtbpd011,cal1,0.006555472131958537
nf2,CEN,rtbpd011,dmnelf+cal1,0.02861309040772186
nf2,CEN,rtbpd011,within_loro,-0.09256076729778734
nf2,CEN,rtbpd015,transfer,0.16338958883157495
nf2,CEN,rtbpd015,cal1,-0.10021784056126307
nf2,CEN,rtbpd015,dmnelf+cal1,0.23108228886127016
nf2,CEN,rtbpd015,within_loro,0.03332802876608072
nf2,CEN,rtbpd022,transfer,0.15247450893806888
nf2,CEN,rtbpd022,cal1,0.15033633596600118
nf2,CEN,rtbpd022,dmnelf+cal1,0.14175992656513248
nf2,CEN,rtbpd022,within_loro,0.10785383961734811
nf2,CEN,rtbpd026,transfer,-0.026127896285356868
nf2,CEN,rtbpd026,cal1,0.027329358803491653
nf2,CEN,rtbpd026,dmnelf+cal1,-0.03432708991828316
nf2,CEN,rtbpd026,within_loro,0.09595753085375583
nf2,CEN,rtbpd027,transfer,-0.00512520215915389
nf2,CEN,rtbpd027,cal1,0.02621433084467309
nf2,CEN,rtbpd027,dmnelf+cal1,-0.0462195259890554
nf2,CEN,rtbpd027,within_loro,-0.039968746124197
nf2,CEN,rtbpd028,transfer,0.08702533229549418
nf2,CEN,rtbpd028,cal1,0.07060187177213109
nf2,CEN,rtbpd028,dmnelf+cal1,0.04476429642001027
nf2,CEN,rtbpd028,within_loro,0.08664088225798414
nf2,CEN,rtbpd030,transfer,0.14280517455554084
nf2,CEN,rtbpd030,cal1,-0.007813317989789435
nf2,CEN,rtbpd030,dmnelf+cal1,0.150272724019328
nf2,CEN,rtbpd030,within_loro,0.08490215345280845
nf1,DMN,rtbpd002,transfer,0.06626755867106826
nf1,DMN,rtbpd002,cal1,0.00740193292152605
nf1,DMN,rtbpd002,dmnelf+cal1,0.04645378322474821
nf1,DMN,rtbpd002,within_loro,-0.06096569926691463
nf1,DMN,rtbpd003,transfer,0.09804027359324353
nf1,DMN,rtbpd003,cal1,-0.06304385670257268
nf1,DMN,rtbpd003,dmnelf+cal1,0.15393413551915727
nf1,DMN,rtbpd003,within_loro,0.01941257783170214
nf1,DMN,rtbpd004,transfer,0.09011018446084246
nf1,DMN,rtbpd004,cal1,-0.021147236858951743
nf1,DMN,rtbpd004,dmnelf+cal1,0.0766208560938159
nf1,DMN,rtbpd004,within_loro,-0.0620643544445154
nf1,DMN,rtbpd009,transfer,0.11648481403889203
nf1,DMN,rtbpd009,cal1,0.001276497479177692
nf1,DMN,rtbpd009,dmnelf+cal1,0.11680343470057535
nf1,DMN,rtbpd009,within_loro,0.0007494456827796301
nf1,DMN,rtbpd010,transfer,-0.0594060303266027
