session,target,subject,scheme,r
nf1,CEN,rtbpd002,transfer,0.10933360157790775
nf1,CEN,rtbpd002,cal1,0.27218449691562935
nf1,CEN,rtbpd002,dmnelf+cal1,0.12683882216867914
nf1,CEN,rtbpd002,within_loro,0.3330431081235694
nf1,CEN,rtbpd003,transfer,0.03499478086796972
nf1,CEN,rtbpd003,cal1,0.0742062671575853
nf1,CEN,rtbpd003,dmnelf+cal1,0.029374136561148796
nf1,CEN,rtbpd003,within_loro,0.1336932221128385
nf1,CEN,rtbpd004,transfer,0.01645032496031345
nf1,CEN,rtbpd004,cal1,0.017731350787824864
nf1,CEN,rtbpd004,dmnelf+cal1,0.046575936374010043
nf1,CEN,rtbpd004,within_loro,0.013932729550557847
nf1,CEN,rtbpd009,transfer,0.11043233780601266
nf1,CEN,rtbpd009,cal1,0.1169145822363667
nf1,CEN,rtbpd009,dmnelf+cal1,0.10354038159219832
nf1,CEN,rtbpd009,within_loro,-0.022825715104546927
nf1,CEN,rtbpd010,transfer,0.27949417004713795
nf1,CEN,rtbpd010,cal1,0.2714096010350287
nf1,CEN,rtbpd010,dmnelf+cal1,0.2606472713533613
nf1,CEN,rtbpd010,within_loro,0.3799766824143468
nf1,CEN,rtbpd011,transfer,0.019500387271891947
nf1,CEN,rtbpd011,cal1,0.1227606552868935
nf1,CEN,rtbpd011,dmnelf+cal1,0.05053080194739221
nf1,CEN,rtbpd011,within_loro,0.13644063455906089
nf1,CEN,rtbpd012,transfer,0.056159139900390447
nf1,CEN,rtbpd012,cal1,0.08580752183037299
nf1,CEN,rtbpd012,dmnelf+cal1,0.07710126457912188
nf1,CEN,rtbpd012,within_loro,0.15357029825745563
nf1,CEN,rtbpd013,transfer,0.08109586898186107
nf1,CEN,rtbpd013,cal1,-0.00010577774108215705
nf1,CEN,rtbpd013,dmnelf+cal1,0.10720208247053392
nf1,CEN,rtbpd013,within_loro,0.05453152435079023
nf1,CEN,rtbpd015,transfer,0.15424782753495397
nf1,CEN,rtbpd015,cal1,-0.021251180060343544
nf1,CEN,rtbpd015,dmnelf+cal1,0.17719940855450736
nf1,CEN,rtbpd015,within_loro,0.03489235376584555
nf1,CEN,rtbpd018,transfer,0.12010892801249978
