subject,target,electrode,n_cal_runs,method,r,n_test_runs
rtbpd002,PDA,Pz,0,group_only,0.40515685944177543,5
rtbpd002,PDA,Pz,1,group_only,0.4317096291674388,4
rtbpd002,PDA,Pz,1,pseudo_cal,0.2870269676676387,4
rtbpd002,PDA,Pz,1,blend,0.39977243445543553,4
rtbpd002,PDA,Pz,2,group_only,0.45895796640229103,3
rtbpd002,PDA,Pz,2,pseudo_cal,0.43924680747114364,3
rtbpd002,PDA,Pz,2,blend,0.49384108708718294,3
rtbpd002,PDA,Pz,3,group_only,0.48404223438360894,2
rtbpd002,PDA,Pz,3,pseudo_cal,0.44160621515229065,2
rtbpd002,PDA,Pz,3,blend,0.5130742844936169,2
rtbpd002,GSR_CEN,Pz,0,group_only,0.440594628644257,5
rtbpd002,GSR_CEN,Pz,1,group_only,0.41808482594511354,4
rtbpd002,GSR_CEN,Pz,1,pseudo_cal,0.3120253920359526,4
rtbpd002,GSR_CEN,Pz,1,blend,0.3929757537944413,4
rtbpd002,GSR_CEN,Pz,2,group_only,0.36583390735894505,3
rtbpd002,GSR_CEN,Pz,2,pseudo_cal,0.32183310162241996,3
rtbpd002,GSR_CEN,Pz,2,blend,0.3631367290850194,3
rtbpd002,GSR_CEN,Pz,3,group_only,0.3402218575585376,2
rtbpd002,GSR_CEN,Pz,3,pseudo_cal,0.25422775284335675,2
rtbpd002,GSR_CEN,Pz,3,blend,0.31937693117522475,2
rtbpd002,CEN,Cz,0,group_only,0.33100427910283753,5
rtbpd002,CEN,Cz,1,group_only,0.3244617145768467,4
rtbpd002,CEN,Cz,1,pseudo_cal,0.14966045014884072,4
rtbpd002,CEN,Cz,1,blend,0.2684963041685442,4
rtbpd002,CEN,Cz,2,group_only,0.4540537438024538,3
rtbpd002,CEN,Cz,2,pseudo_cal,0.07975244915933176,3
rtbpd002,CEN,Cz,2,blend,0.3337415169342937,3
rtbpd002,CEN,Cz,3,group_only,0.3902487607878682,2
rtbpd002,CEN,Cz,3,pseudo_cal,0.1633898783707596,2
rtbpd002,CEN,Cz,3,blend,0.33014231118394494,2
rtbpd002,DMN,O1,0,group_only,-0.00957954762899255,5
rtbpd002,DMN,O1,1,group_only,-0.023689072782725366,4
rtbpd002,DMN,O1,1,pseudo_cal,0.06831975431968333,4
rtbpd002,DMN,O1,1,blend,0.036546281664205635,4
rtbpd002,DMN,O1,2,group_only,0.04264207050024785,3
rtbpd002,DMN,O1,2,pseudo_cal,0.030173953419679485,3
rtbpd002,DMN,O1,2,blend,0.0532497535802669,3
rtbpd002,DMN,O1,3,group_only,0.08701803930716329,2
rtbpd002,DMN,O1,3,pseudo_cal,0.2751675270559061,2
rtbpd002,DMN,O1,3,blend,0.2703204852317616,2
rtbpd002,GSR_PDA,Pz,0,group_only,0.35183848569040305,5
rtbpd002,GSR_PDA,Pz,1,group_only,0.3785127782189782,4
rtbpd002,GSR_PDA,Pz,1,pseudo_cal,0.30806779161269027,4
rtbpd002,GSR_PDA,Pz,1,blend,0.38643261881554747,4
rtbpd002,GSR_PDA,Pz,2,group_only,0.37490334702055794,3
rtbpd002,GSR_PDA,Pz,2,pseudo_cal,0.3654613247104945,3
rtbpd002,GSR_PDA,Pz,2,blend,0.40684318003519937,3
rtbpd002,GSR_PDA,Pz,3,group_only,0.4727639510999808,2
rtbpd002,GSR_PDA,Pz,3,pseudo_cal,0.4165297653693243,2
rtbpd002,GSR_PDA,Pz,3,blend,0.49262100265110703,2
rtbpd002,GSR_DMN,Cz,0,group_only,0.009996131203863931,5
rtbpd002,GSR_DMN,Cz,1,group_only,-0.03329655415886609,4
rtbpd002,GSR_DMN,Cz,1,pseudo_cal,0.2178931467027491,4
rtbpd002,GSR_DMN,Cz,1,blend,0.12311445099368498,4
rtbpd002,GSR_DMN,Cz,2,group_only,0.040949798479356196,3
rtbpd002,GSR_DMN,Cz,2,pseudo_cal,0.23431246271141173,3
rtbpd002,GSR_DMN,Cz,2,blend,0.19406883686476636,3
rtbpd002,GSR_DMN,Cz,3,group_only,0.09422602922874955,2
rtbpd002,GSR_DMN,Cz,3,pseudo_cal,0.3001558433094286,2
rtbpd002,GSR_DMN,Cz,3,blend,0.2874429905355392,2
rtbpd003,PDA,Pz,0,group_only,0.000939815897747251,5
rtbpd003,PDA,Pz,1,group_only,0.018571356379625675,4
rtbpd003,PDA,Pz,1,pseudo_cal,-0.12822277073686572,4
rtbpd003,PDA,Pz,1,blend,-0.07396395322284655,4
rtbpd003,PDA,Pz,2,group_only,0.07033656001277906,3
rtbpd003,PDA,Pz,2,pseudo_cal,-0.05157184450761938,3
rtbpd003,PDA,Pz,2,blend,0.011586242961005907,3
rtbpd003,PDA,Pz,3,group_only,0.06752579046916736,2
rtbpd003,PDA,Pz,3,pseudo_cal,-0.028573227605077495,2
rtbpd003,PDA,Pz,3,blend,0.023052704140792597,2
rtbpd003,GSR_CEN,Pz,0,group_only,0.052798524197572916,5
rtbpd003,GSR_CEN,Pz,1,group_only,0.0303938527062462,4
rtbpd003,GSR_CEN,Pz,1,pseudo_cal,0.14758727424759957,4
rtbpd003,GSR_CEN,Pz,1,blend,0.09751385518304907,4
rtbpd003,GSR_CEN,Pz,2,group_only,0.023378473814313547,3
rtbpd003,GSR_CEN,Pz,2,pseudo_cal,0.13868839749493264,3
rtbpd003,GSR_CEN,Pz,2,blend,0.0926282116762307,3
rtbpd003,GSR_CEN,Pz,3,group_only,0.09798565278549146,2
rtbpd003,GSR_CEN,Pz,3,pseudo_cal,0.1604343106307554,2
rtbpd003,GSR_CEN,Pz,3,blend,0.1475140373147814,2
rtbpd003,CEN,Cz,0,group_only,0.04617466437730608,5
rtbpd003,CEN,Cz,1,group_only,0.08759111746839163,4
rtbpd003,CEN,Cz,1,pseudo_cal,0.17030401438133375,4
rtbpd003,CEN,Cz,1,blend,0.16559725941657072,4
rtbpd003,CEN,Cz,2,group_only,0.05208870579306184,3
rtbpd003,CEN,Cz,2,pseudo_cal,0.1183620273085504,3
rtbpd003,CEN,Cz,2,blend,0.10360552202488599,3
rtbpd003,CEN,Cz,3,group_only,0.002284747833039696,2
rtbpd003,CEN,Cz,3,pseudo_cal,0.08752524242033048,2
rtbpd003,CEN,Cz,3,blend,0.05331458953788582,2
rtbpd003,DMN,O1,0,group_only,0.12004659875430557,5
rtbpd003,DMN,O1,1,group_only,0.09509095739080951,4
rtbpd003,DMN,O1,1,pseudo_cal,-0.03987626834710569,4
rtbpd003,DMN,O1,1,blend,0.054251562101954476,4
rtbpd003,DMN,O1,2,group_only,0.10070752197322654,3
rtbpd003,DMN,O1,2,pseudo_cal,-0.15662708242483556,3
rtbpd003,DMN,O1,2,blend,-0.05155044768827547,3
rtbpd003,DMN,O1,3,group_only,0.10469319117671946,2
rtbpd003,DMN,O1,3,pseudo_cal,-0.14265513050012552,2
rtbpd003,DMN,O1,3,blend,-0.03275343588172205,2
rtbpd003,GSR_PDA,Pz,0,group_only,-0.020953129417828013,5
rtbpd003,GSR_PDA,Pz,1,group_only,-0.011370187149714588,4
rtbpd003,GSR_PDA,Pz,1,pseudo_cal,-0.1298667567270424,4
rtbpd003,GSR_PDA,Pz,1,blend,-0.09384080262323151,4
rtbpd003,GSR_PDA,Pz,2,group_only,0.020094556308937903,3
rtbpd003,GSR_PDA,Pz,2,pseudo_cal,-0.053632115542927135,3
rtbpd003,GSR_PDA,Pz,2,blend,-0.020467178267673546,3
rtbpd003,GSR_PDA,Pz,3,group_only,0.009621996224868996,2
rtbpd003,GSR_PDA,Pz,3,pseudo_cal,-0.024430749987990046,2
rtbpd003,GSR_PDA,Pz,3,blend,-0.008707369045370141,2
rtbpd003,GSR_DMN,Cz,0,group_only,0.05939888262167682,5
rtbpd003,GSR_DMN,Cz,1,group_only,0.016386548811374517,4
rtbpd003,GSR_DMN,Cz,1,pseudo_cal,-0.17005903750510665,4
rtbpd003,GSR_DMN,Cz,1,blend,-0.15324604328607264,4
rtbpd003,GSR_DMN,Cz,2,group_only,-0.06447410017897484,3
rtbpd003,GSR_DMN,Cz,2,pseudo_cal,-0.16287146312488568,3
rtbpd003,GSR_DMN,Cz,2,blend,-0.1915691155269618,3
rtbpd003,GSR_DMN,Cz,3,group_only,0.0031015099710770136,2
rtbpd003,GSR_DMN,Cz,3,pseudo_cal,-0.22974681425216517,2
rtbpd003,GSR_DMN,Cz,3,blend,-0.17478795567608116,2
rtbpd004,PDA,Pz,0,group_only,0.0647511532068745,4
rtbpd004,PDA,Pz,1,group_only,0.015764946240518385,3
rtbpd004,PDA,Pz,1,pseudo_cal,-0.040594342388285604,3
rtbpd004,PDA,Pz,1,blend,-0.014981410886220951,3
rtbpd004,PDA,Pz,2,group_only,-0.05217533885071232,2
rtbpd004,PDA,Pz,2,pseudo_cal,-0.025407749556729933,2
rtbpd004,PDA,Pz,2,blend,-0.04109678337989894,2
rtbpd004,PDA,Pz,3,group_only,-0.17571552818051797,1
rtbpd004,PDA,Pz,3,pseudo_cal,-0.06874634056893753,1
rtbpd004,PDA,Pz,3,blend,-0.12669463773816977,1
rtbpd004,GSR_CEN,Pz,0,group_only,0.07513705295098808,4
rtbpd004,GSR_CEN,Pz,1,group_only,-0.03773610987692252,3
rtbpd004,GSR_CEN,Pz,1,pseudo_cal,0.02300833991801068,3
rtbpd004,GSR_CEN,Pz,1,blend,-0.009077256910054376,3
rtbpd004,GSR_CEN,Pz,2,group_only,-0.19379001978106972,2
rtbpd004,GSR_CEN,Pz,2,pseudo_cal,-0.1242777336200389,2
rtbpd004,GSR_CEN,Pz,2,blend,-0.16545804559549554,2
rtbpd004,GSR_CEN,Pz,3,group_only,-0.3427029945620363,1
rtbpd004,GSR_CEN,Pz,3,pseudo_cal,-0.1492665289485631,1
rtbpd004,GSR_CEN,Pz,3,blend,-0.25503063175432056,1
rtbpd004,CEN,Cz,0,group_only,-0.13943964076413662,4
rtbpd004,CEN,Cz,1,group_only,-0.17915103732200163,3
rtbpd004,CEN,Cz,1,pseudo_cal,-0.34577396088702317,3
rtbpd004,CEN,Cz,1,blend,-0.3005393687983113,3
rtbpd004,CEN,Cz,2,group_only,-0.1511747360343132,2
