target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,19,0.09836096757827308,
PDA,1,group_only,19,0.10888196917212664,
PDA,1,pseudo_cal,19,0.07399857702782729,0.9037096290370963
PDA,1,blend,19,0.11859206730443866,0.28817118288171184
PDA,2,group_only,19,0.11695072786915818,
PDA,2,pseudo_cal,19,0.052256321278191374,0.9776022397760225
PDA,2,blend,19,0.10496907197776316,0.7347265273472653
PDA,3,group_only,19,0.09912279928566778,
PDA,3,pseudo_cal,19,0.04732374905876974,0.9109089091090891
PDA,3,blend,19,0.09330537333543704,0.6108389161083891
GSR_CEN,0,group_only,19,0.1290193266785702,
GSR_CEN,1,group_only,19,0.11933856307557547,
GSR_CEN,1,pseudo_cal,19,0.09762603929538663,0.7001299870012999
GSR_CEN,1,blend,19,0.14120231621495472,0.15148485151484853
GSR_CEN,2,group_only,19,0.11095598562530294,
GSR_CEN,2,pseudo_cal,19,0.06660737188083066,0.9414058594140586
GSR_CEN,2,blend,19,0.1107422090399256,0.5098490150984901
GSR_CEN,3,group_only,19,0.0962787833620654,
GSR_CEN,3,pseudo_cal,19,0.07141871269427492,0.6767323267673233
GSR_CEN,3,blend,19,0.1075296588286854,0.3163683631636836
CEN,0,group_only,19,0.164751708607881,
CEN,1,group_only,19,0.15616636447498097,
CEN,1,pseudo_cal,19,0.08931471429777527,0.9696030396960303
CEN,1,blend,19,0.15562079560610043,0.5122487751224878
CEN,2,group_only,19,0.1635803719596057,
CEN,2,pseudo_cal,19,0.08394508344689604,0.989001099890011
CEN,2,blend,19,0.15119417235624227,0.7485251474852515
CEN,3,group_only,19,0.1256464500411306,
CEN,3,pseudo_cal,19,0.06591416448723493,0.9129087091290871
CEN,3,blend,19,0.1204944924397935,0.607039296070393
DMN,0,group_only,19,0.11220563400040884,
DMN,1,group_only,19,0.11207852701772912,
DMN,1,pseudo_cal,19,-0.02370565925799679,0.9957004299570043
DMN,1,blend,19,0.059530572674319535,0.9552044795520448
DMN,2,group_only,19,0.12242916069313176,
DMN,2,pseudo_cal,19,-0.03554650247464917,0.9986001399860014
DMN,2,blend,19,0.0589137909972494,0.9856014398560144
DMN,3,group_only,19,0.10282560277778553,
DMN,3,pseudo_cal,19,-0.016318411018839327,0.9933006699330067
DMN,3,blend,19,0.061822216431555256,0.9459054094590541
GSR_PDA,0,group_only,19,0.09854956061813917,
GSR_PDA,1,group_only,19,0.11046362531445351,
GSR_PDA,1,pseudo_cal,19,0.07825116047226333,0.9003099690030997
GSR_PDA,1,blend,19,0.1225506139225404,0.22957704229577042
GSR_PDA,2,group_only,19,0.11216841112326167,
GSR_PDA,2,pseudo_cal,19,0.049147696828772076,0.9863013698630136
GSR_PDA,2,blend,19,0.10168832306425457,0.7549245075492451
GSR_PDA,3,group_only,19,0.11162586682212364,
GSR_PDA,3,pseudo_cal,19,0.046067618741263354,0.9375062493750624
GSR_PDA,3,blend,19,0.10345489448608482,0.6536346365363463
GSR_DMN,0,group_only,19,0.07735485609704307,
GSR_DMN,1,group_only,19,0.07981612027019985,
GSR_DMN,1,pseudo_cal,19,0.018741340342571213,0.9847015298470153
GSR_DMN,1,blend,19,0.06534489796542342,0.806019398060194
GSR_DMN,2,group_only,19,0.08987624176855216,
GSR_DMN,2,pseudo_cal,19,0.011842934471368914,0.9877012298770123
GSR_DMN,2,blend,19,0.06743830367135807,0.8381161883811619
GSR_DMN,3,group_only,19,0.12367505159843388,
GSR_DMN,3,pseudo_cal,19,0.008185186734077709,0.9971002899710029
GSR_DMN,3,blend,19,0.0917300176537807,0.9662033796620338
