subject,target,electrode,n_cal_runs,method,r,n_test_runs
rtbpd002,PDA,Pz,0,group_only,0.13906737324809776,3
rtbpd002,PDA,Pz,1,group_only,0.26880322516218047,2
rtbpd002,PDA,Pz,1,pseudo_cal,-0.2060177121801296,2
rtbpd002,PDA,Pz,1,blend,0.04751243211986901,2
rtbpd002,PDA,Pz,2,group_only,0.23029836204677112,1
rtbpd002,PDA,Pz,2,pseudo_cal,0.11154617193028918,1
rtbpd002,PDA,Pz,2,blend,0.23090008783954907,1
rtbpd002,GSR_CEN,Pz,0,group_only,0.03134528304133367,3
rtbpd002,GSR_CEN,Pz,1,group_only,0.23091020567969403,2
rtbpd002,GSR_CEN,Pz,1,pseudo_cal,-0.07433524224536567,2
rtbpd002,GSR_CEN,Pz,1,blend,0.11310597234989561,2
rtbpd002,GSR_CEN,Pz,2,group_only,0.1482705671838204,1
rtbpd002,GSR_CEN,Pz,2,pseudo_cal,0.11030426226005575,1
rtbpd002,GSR_CEN,Pz,2,blend,0.15597838529104052,1
rtbpd002,CEN,Cz,0,group_only,0.0019189781680209904,3
rtbpd002,CEN,Cz,1,group_only,0.006671604300307853,2
rtbpd002,CEN,Cz,1,pseudo_cal,-0.018845595413360925,2
rtbpd002,CEN,Cz,1,blend,-0.007909273144662256,2
rtbpd002,CEN,Cz,2,group_only,0.032966571606047025,1
rtbpd002,CEN,Cz,2,pseudo_cal,0.06672501125685117,1
rtbpd002,CEN,Cz,2,blend,0.053839286178552104,1
rtbpd002,DMN,O1,0,group_only,-0.07942945050166521,3
rtbpd002,DMN,O1,1,group_only,-0.032805874494074204,2
rtbpd002,DMN,O1,1,pseudo_cal,-0.07705306133609548,2
rtbpd002,DMN,O1,1,blend,-0.07516792811757135,2
rtbpd002,DMN,O1,2,group_only,0.16538319240102264,1
rtbpd002,DMN,O1,2,pseudo_cal,0.05285922954533456,1
rtbpd002,DMN,O1,2,blend,0.15877490498497324,1
rtbpd002,GSR_PDA,Pz,0,group_only,0.11890642366547555,3
rtbpd002,GSR_PDA,Pz,1,group_only,0.26830281384048815,2
