target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,11,0.1527197018892183,
PDA,1,group_only,11,0.1612781842750659,
PDA,1,pseudo_cal,11,0.10747362961337141,0.823017698230177
PDA,1,blend,11,0.16532424980864197,0.48125187481251874
PDA,2,group_only,11,0.15947622759860944,
PDA,2,pseudo_cal,11,0.1201284283725752,0.8322167783221678
PDA,2,blend,11,0.16900672266943662,0.3561643835616438
PDA,3,group_only,10,0.16438468710468657,
PDA,3,pseudo_cal,10,0.13757321775414058,0.6407359264073592
PDA,3,blend,10,0.18545137127459577,0.31286871312868714
GSR_CEN,0,group_only,11,0.11748613043669474,
GSR_CEN,1,group_only,11,0.11930524626840108,
GSR_CEN,1,pseudo_cal,11,0.08564481155914806,0.8044195580441956
GSR_CEN,1,blend,11,0.11270941785332607,0.652034796520348
GSR_CEN,2,group_only,11,0.12765663730952417,
GSR_CEN,2,pseudo_cal,11,0.08992235873724376,0.9361063893610639
GSR_CEN,2,blend,11,0.1209356740275685,0.6668333166683331
GSR_CEN,3,group_only,10,0.15425489337142206,
GSR_CEN,3,pseudo_cal,10,0.03601823670119229,0.9727027297270273
GSR_CEN,3,blend,10,0.10970308744239562,0.8798120187981202
CEN,0,group_only,11,0.11305953925685688,
CEN,1,group_only,11,0.11297701019266722,
CEN,1,pseudo_cal,11,0.06973627631558497,0.8717128287171283
CEN,1,blend,11,0.10895713614527977,0.5849415058494151
CEN,2,group_only,11,0.14377226114727806,
CEN,2,pseudo_cal,11,0.0834158072162145,0.8857114288571143
CEN,2,blend,11,0.13237601483690495,0.696030396960304
CEN,3,group_only,10,0.1253987649043295,
CEN,3,pseudo_cal,10,0.050062816109433174,0.8867113288671132
CEN,3,blend,10,0.10160539622983449,0.7963203679632037
DMN,0,group_only,11,0.08743185804672403,
DMN,1,group_only,11,0.08331967966485164,
DMN,1,pseudo_cal,11,-0.027949003964184274,0.9472052794720528
DMN,1,blend,11,0.04041958842974385,0.8617138286171383
DMN,2,group_only,11,0.08948629633707865,
DMN,2,pseudo_cal,11,-0.013635732219967738,0.8808119188081192
DMN,2,blend,11,0.05353846467204992,0.7581241875812419
DMN,3,group_only,10,0.07065460057795324,
DMN,3,pseudo_cal,10,0.05871254314818249,0.5533446655334466
DMN,3,blend,10,0.09343754017075687,0.35726427357264273
GSR_PDA,0,group_only,11,0.1362928849130776,
GSR_PDA,1,group_only,11,0.14548981143637305,
GSR_PDA,1,pseudo_cal,11,0.10892407623551473,0.7059294070592941
GSR_PDA,1,blend,11,0.15583058684960913,0.38676132386761325
GSR_PDA,2,group_only,11,0.14076592744142447,
GSR_PDA,2,pseudo_cal,11,0.11437277930293423,0.7644235576442355
GSR_PDA,2,blend,11,0.15536459483410694,0.28997100289971
GSR_PDA,3,group_only,10,0.15148126666331124,
GSR_PDA,3,pseudo_cal,10,0.12150023914922625,0.655034496550345
GSR_PDA,3,blend,10,0.16847539172496773,0.34556544345565443
GSR_DMN,0,group_only,11,0.028110294065592692,
GSR_DMN,1,group_only,11,0.014153270478354523,
GSR_DMN,1,pseudo_cal,11,0.02489694497555309,0.39986001399860016
GSR_DMN,1,blend,11,0.03006514362848918,0.23657634236576341
GSR_DMN,2,group_only,11,0.012153438445452318,
GSR_DMN,2,pseudo_cal,11,0.054941887493442754,0.24017598240175983
GSR_DMN,2,blend,11,0.036931157903552614,0.28177182281771823
GSR_DMN,3,group_only,10,-0.002686987581418392,
GSR_DMN,3,pseudo_cal,10,0.10055650805127514,0.09599040095990401
GSR_DMN,3,blend,10,0.0738315777160051,0.08919108089191082
