subject,target,electrode,n_cal_runs,method,r,n_test_runs
dmnelf001,PDA,Pz,0,group_only,-0.017496629923526557,4
dmnelf001,PDA,Pz,1,group_only,-0.02041631771282441,3
dmnelf001,PDA,Pz,1,pseudo_cal,-0.17106111951819536,3
dmnelf001,PDA,Pz,1,blend,-0.14959451643384383,3
dmnelf001,PDA,Pz,2,group_only,-0.07018473924136066,2
dmnelf001,PDA,Pz,2,pseudo_cal,-0.11221039297421281,2
dmnelf001,PDA,Pz,2,blend,-0.12379927233469248,2
dmnelf001,PDA,Pz,3,group_only,-0.2762432115617527,1
dmnelf001,PDA,Pz,3,pseudo_cal,-0.1814966680908472,1
dmnelf001,PDA,Pz,3,blend,-0.30947100386839715,1
dmnelf001,GSR_CEN,Pz,0,group_only,0.02698575370991867,4
dmnelf001,GSR_CEN,Pz,1,group_only,0.012212728873092087,3
dmnelf001,GSR_CEN,Pz,1,pseudo_cal,0.27318969742656457,3
dmnelf001,GSR_CEN,Pz,1,blend,0.20047380865940176,3
dmnelf001,GSR_CEN,Pz,2,group_only,-0.020498742040748995,2
dmnelf001,GSR_CEN,Pz,2,pseudo_cal,0.3487347383517533,2
dmnelf001,GSR_CEN,Pz,2,blend,0.20148273348284582,2
dmnelf001,GSR_CEN,Pz,3,group_only,-0.03447606547096202,1
dmnelf001,GSR_CEN,Pz,3,pseudo_cal,0.3873133233075466,1
dmnelf001,GSR_CEN,Pz,3,blend,0.21443822594287357,1
dmnelf001,CEN,Cz,0,group_only,0.16314883267933353,4
dmnelf001,CEN,Cz,1,group_only,0.20085453229692402,3
dmnelf001,CEN,Cz,1,pseudo_cal,0.16607302045905117,3
dmnelf001,CEN,Cz,1,blend,0.2165442995685601,3
dmnelf001,CEN,Cz,2,group_only,0.29082389020604393,2
dmnelf001,CEN,Cz,2,pseudo_cal,0.1427900887456587,2
dmnelf001,CEN,Cz,2,blend,0.2687475498336737,2
dmnelf001,CEN,Cz,3,group_only,0.4294853896008842,1
dmnelf001,CEN,Cz,3,pseudo_cal,0.15755731872277332,1
dmnelf001,CEN,Cz,3,blend,0.35039423586640905,1
dmnelf001,DMN,O1,0,group_only,0.2495881728941372,4
dmnelf001,DMN,O1,1,group_only,0.2837431993776202,3
dmnelf001,DMN,O1,1,pseudo_cal,-0.3410270202773503,3
dmnelf001,DMN,O1,1,blend,-0.055548110852037196,3
dmnelf001,DMN,O1,2,group_only,0.2710199396246771,2
dmnelf001,DMN,O1,2,pseudo_cal,-0.01775647658348411,2
dmnelf001,DMN,O1,2,blend,0.22690132228167775,2
dmnelf001,DMN,O1,3,group_only,0.08188093501620555,1
dmnelf001,DMN,O1,3,pseudo_cal,-0.3736062115991204,1
dmnelf001,DMN,O1,3,blend,-0.27017964483475,1
dmnelf001,GSR_PDA,Pz,0,group_only,-0.049566362458528086,4
dmnelf001,GSR_PDA,Pz,1,group_only,-0.05002271936807113,3
dmnelf001,GSR_PDA,Pz,1,pseudo_cal,-0.14946532430486256,3
dmnelf001,GSR_PDA,Pz,1,blend,-0.1568690089643859,3
dmnelf001,GSR_PDA,Pz,2,group_only,-0.08398382351324044,2
dmnelf001,GSR_PDA,Pz,2,pseudo_cal,-0.09217375178925992,2
dmnelf001,GSR_PDA,Pz,2,blend,-0.12019817984900813,2
dmnelf001,GSR_PDA,Pz,3,group_only,-0.28174677988142866,1
dmnelf001,GSR_PDA,Pz,3,pseudo_cal,-0.12028177820041877,1
dmnelf001,GSR_PDA,Pz,3,blend,-0.27266870207202176,1
dmnelf001,GSR_DMN,Cz,0,group_only,-0.08021332595640222,4
dmnelf001,GSR_DMN,Cz,1,group_only,-0.07135908539549365,3
dmnelf001,GSR_DMN,Cz,1,pseudo_cal,-0.3715312275392037,3
dmnelf001,GSR_DMN,Cz,1,blend,-0.2880912598145913,3
dmnelf001,GSR_DMN,Cz,2,group_only,-0.17685850206703907,2
dmnelf001,GSR_DMN,Cz,2,pseudo_cal,-0.2479295273984243,2
dmnelf001,GSR_DMN,Cz,2,blend,-0.2687264141256524,2
dmnelf001,GSR_DMN,Cz,3,group_only,-0.2188737421142564,1
dmnelf001,GSR_DMN,Cz,3,pseudo_cal,-0.1935235759656097,1
dmnelf001,GSR_DMN,Cz,3,blend,-0.2782693633034745,1
dmnelf004,PDA,Pz,0,group_only,0.2116663162282507,4
dmnelf004,PDA,Pz,1,group_only,0.16769940452415172,3
dmnelf004,PDA,Pz,1,pseudo_cal,-0.0007546614335058107,3
dmnelf004,PDA,Pz,1,blend,0.12158927401910194,3
dmnelf004,PDA,Pz,2,group_only,0.06650232247291483,2
dmnelf004,PDA,Pz,2,pseudo_cal,0.16651535047327576,2
dmnelf004,PDA,Pz,2,blend,0.12825258330037598,2
dmnelf004,PDA,Pz,3,group_only,-0.12197164623603901,1
