subject,target,electrode,n_cal_runs,method,r,n_test_runs
dmnelf001,PDA,Fz,0,group_only,-0.0037546153294109952,4
dmnelf001,PDA,Fz,1,group_only,0.012358469286750131,3
dmnelf001,PDA,Fz,1,pseudo_cal,-5.765891176232225e-06,3
dmnelf001,PDA,Fz,1,blend,0.0075673048323866374,3
dmnelf001,PDA,Fz,2,group_only,-0.04220470902168856,2
dmnelf001,PDA,Fz,2,pseudo_cal,0.03182048268260217,2
dmnelf001,PDA,Fz,2,blend,-0.0064091612784927705,2
dmnelf001,PDA,Fz,3,group_only,0.04475189868760712,1
dmnelf001,PDA,Fz,3,pseudo_cal,0.17404092033445934,1
dmnelf001,PDA,Fz,3,blend,0.1250760059906095,1
dmnelf001,GSR_CEN,Fp2,0,group_only,0.04783339774370146,4
dmnelf001,GSR_CEN,Fp2,1,group_only,0.003334775970879148,3
dmnelf001,GSR_CEN,Fp2,1,pseudo_cal,-0.0529573044427946,3
dmnelf001,GSR_CEN,Fp2,1,blend,-0.033903042164024906,3
dmnelf001,GSR_CEN,Fp2,2,group_only,0.052733083908588205,2
dmnelf001,GSR_CEN,Fp2,2,pseudo_cal,-0.12834538604832862,2
dmnelf001,GSR_CEN,Fp2,2,blend,-0.05144955022542217,2
dmnelf001,GSR_CEN,Fp2,3,group_only,-0.09070270275888387,1
dmnelf001,GSR_CEN,Fp2,3,pseudo_cal,0.10007145326396757,1
dmnelf001,GSR_CEN,Fp2,3,blend,0.007872607003346094,1
dmnelf001,CEN,Fz,0,group_only,0.048282051568782416,4
dmnelf001,CEN,Fz,1,group_only,0.042109198441450335,3
dmnelf001,CEN,Fz,1,pseudo_cal,-0.0006789023326169261,3
dmnelf001,CEN,Fz,1,blend,0.02429622152918542,3
dmnelf001,CEN,Fz,2,group_only,0.031736753755914573,2
dmnelf001,CEN,Fz,2,pseudo_cal,0.08811065863164126,2
dmnelf001,CEN,Fz,2,blend,0.07191698687057124,2
dmnelf001,CEN,Fz,3,group_only,0.11022028444445865,1
dmnelf001,CEN,Fz,3,pseudo_cal,0.2975528928883219,1
dmnelf001,CEN,Fz,3,blend,0.23754729300823937,1
dmnelf001,DMN,FC5,0,group_only,0.11431599187268898,4
dmnelf001,DMN,FC5,1,group_only,0.12119728186550777,3
