target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,17,0.018329702692111663,
PDA,1,group_only,17,0.0007687193964184579,
PDA,1,pseudo_cal,17,0.11308162270092849,0.0086991300869913
PDA,1,blend,17,0.0747387171751416,0.0026997300269973002
PDA,2,group_only,17,0.0414388950019929,
PDA,2,pseudo_cal,17,0.04959901377141736,0.43025697430256976
PDA,2,blend,17,0.06486654330442977,0.1922807719228077
PDA,3,group_only,16,0.07844100494113113,
PDA,3,pseudo_cal,16,0.048726755746343026,0.6368363163683631
PDA,3,blend,16,0.0829436185688001,0.459054094590541
GSR_CEN,0,group_only,17,0.022757707375593288,
GSR_CEN,1,group_only,17,0.021897017039640653,
GSR_CEN,1,pseudo_cal,17,0.12237143133601762,0.021897810218978103
GSR_CEN,1,blend,17,0.09179976249489064,0.0115988401159884
GSR_CEN,2,group_only,17,0.06872081038194808,
GSR_CEN,2,pseudo_cal,17,0.11122300161442088,0.16528347165283472
GSR_CEN,2,blend,17,0.119811956250252,0.048295170482951705
GSR_CEN,3,group_only,16,0.09276934702380282,
GSR_CEN,3,pseudo_cal,16,0.08769983374235339,0.5238476152384761
GSR_CEN,3,blend,16,0.12342004984873095,0.2703729627037296
CEN,0,group_only,17,0.08906245978269897,
CEN,1,group_only,17,0.10103913615931764,
CEN,1,pseudo_cal,17,0.12064884987062123,0.33526647335266474
CEN,1,blend,17,0.13981974812659648,0.10058994100589941
CEN,2,group_only,17,0.12947125364904644,
CEN,2,pseudo_cal,17,0.1441815274296069,0.3631636836316368
CEN,2,blend,17,0.17867115057976515,0.049095090490950906
CEN,3,group_only,16,0.16308200752415553,
CEN,3,pseudo_cal,16,0.1494562088811164,0.5756424357564244
CEN,3,blend,16,0.21020656117376416,0.12018798120187982
DMN,0,group_only,17,0.03556294381322141,
DMN,1,group_only,17,0.033078725942702634,
DMN,1,pseudo_cal,17,-0.015850158033777654,0.823917608239176
DMN,1,blend,17,0.007373355891852394,0.7786221377862214
DMN,2,group_only,17,0.030421543699799984,
DMN,2,pseudo_cal,17,-0.08752360134827822,0.9804019598040196
DMN,2,blend,17,-0.04610611083229544,0.9864013598640136
DMN,3,group_only,16,0.03965022830153385,
DMN,3,pseudo_cal,16,-0.09088119277342255,0.9704029597040296
DMN,3,blend,16,-0.040054222968897144,0.9765023497650235
GSR_PDA,0,group_only,17,0.010983481800839242,
GSR_PDA,1,group_only,17,-0.0014596692863300782,
GSR_PDA,1,pseudo_cal,17,0.1072434999892249,0.007799220077992201
GSR_PDA,1,blend,17,0.06918446630429853,0.0035996400359964
GSR_PDA,2,group_only,17,0.03657924842362964,
GSR_PDA,2,pseudo_cal,17,0.04448179115365041,0.42195780421957807
GSR_PDA,2,blend,17,0.057609684535609544,0.2014798520147985
GSR_PDA,3,group_only,16,0.06835496830273126,
GSR_PDA,3,pseudo_cal,16,0.05650351389976334,0.555044495550445
GSR_PDA,3,blend,16,0.07791381304059211,0.41375862413758624
GSR_DMN,0,group_only,17,0.010798185058243632,
GSR_DMN,1,group_only,17,0.013879785819156722,
GSR_DMN,1,pseudo_cal,17,0.04010296691463017,0.2612738726127387
GSR_DMN,1,blend,17,0.03364615234590077,0.198980101989801
GSR_DMN,2,group_only,17,0.00011735021970302021,
GSR_DMN,2,pseudo_cal,17,-0.03845738454029487,0.8094190580941906
GSR_DMN,2,blend,17,-0.03618008949631492,0.8999100089991001
GSR_DMN,3,group_only,16,0.04500537937693965,
GSR_DMN,3,pseudo_cal,16,-0.031575716495933645,0.9298070192980702
GSR_DMN,3,blend,16,0.0015719333487664716,0.9299070092990701
