target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,17,0.018701295608497103,
PDA,1,group_only,17,0.014560481980466675,
PDA,1,pseudo_cal,17,0.05054884272603271,0.10948905109489052
PDA,1,blend,17,0.04665317955748809,0.023797620237976203
PDA,2,group_only,17,0.04170470729460853,
PDA,2,pseudo_cal,17,0.020504916317806647,0.6564343565643436
PDA,2,blend,17,0.04333661547795652,0.4744525547445255
PDA,3,group_only,16,0.0927294693081857,
PDA,3,pseudo_cal,16,0.015331620445837742,0.8309169083091691
PDA,3,blend,16,0.07237965490404988,0.7039296070392961
GSR_CEN,0,group_only,17,0.05580061553130393,
GSR_CEN,1,group_only,17,0.049476585122540884,
GSR_CEN,1,pseudo_cal,17,-0.011304152726895885,0.8246175382461753
GSR_CEN,1,blend,17,0.016024414157265465,0.841915808419158
GSR_CEN,2,group_only,17,0.08785513802554286,
GSR_CEN,2,pseudo_cal,17,0.056558685602277246,0.6951304869513049
GSR_CEN,2,blend,17,0.08297832184191084,0.5666433356664333
GSR_CEN,3,group_only,16,0.07115293809072123,
GSR_CEN,3,pseudo_cal,16,0.017954415186925015,0.7141285871412859
GSR_CEN,3,blend,16,0.06246892477381657,0.5743425657434257
CEN,0,group_only,17,0.07934923564733898,
CEN,1,group_only,17,0.09442785177142549,
CEN,1,pseudo_cal,17,0.06985133245595072,0.7231276872312768
CEN,1,blend,17,0.11006735579876983,0.29727027297270275
CEN,2,group_only,17,0.11935587747530887,
CEN,2,pseudo_cal,17,0.09644213022415282,0.689031096890311
CEN,2,blend,17,0.13304866866627302,0.35736426357364265
CEN,3,group_only,16,0.09573339837619219,
CEN,3,pseudo_cal,16,0.095656698686686,0.5034496550344966
CEN,3,blend,16,0.13277856881690248,0.2308769123087691
DMN,0,group_only,17,0.06825579088688309,
DMN,1,group_only,17,0.046424476948891014,
DMN,1,pseudo_cal,17,0.07479483284865533,0.23347665233476653
DMN,1,blend,17,0.08383121891331033,0.053594640535946404
DMN,2,group_only,17,0.03751744517698868,
DMN,2,pseudo_cal,17,-0.03356306482732071,0.9331066893310669
DMN,2,blend,17,-0.008111730278787792,0.9268073192680731
DMN,3,group_only,16,0.04558047559699839,
DMN,3,pseudo_cal,16,0.0307995855564157,0.616938306169383
DMN,3,blend,16,0.04760480532443477,0.47185281471852814
GSR_PDA,0,group_only,17,0.03168693077356198,
GSR_PDA,1,group_only,17,0.025896236347480645,
GSR_PDA,1,pseudo_cal,17,0.030375132890157336,0.46725327467253275
GSR_PDA,1,blend,17,0.03941664560350171,0.3040695930406959
GSR_PDA,2,group_only,17,0.014738799178867001,
GSR_PDA,2,pseudo_cal,17,-0.011061881242222982,0.6756324367563243
GSR_PDA,2,blend,17,0.013314581397609482,0.5138486151384861
GSR_PDA,3,group_only,16,0.04245834996767757,
GSR_PDA,3,pseudo_cal,16,0.0020533019306801514,0.6634336566343366
GSR_PDA,3,blend,16,0.036258796756611346,0.5557444255574443
GSR_DMN,0,group_only,17,0.01703665151260228,
GSR_DMN,1,group_only,17,0.023807630147726855,
GSR_DMN,1,pseudo_cal,17,0.06436306728226952,0.14288571142885712
GSR_DMN,1,blend,17,0.05630994344046862,0.10088991100889912
GSR_DMN,2,group_only,17,0.0022719214978153507,
GSR_DMN,2,pseudo_cal,17,0.010031513245569623,0.4316568343165683
GSR_DMN,2,blend,17,0.007608686029277584,0.42425757424257576
GSR_DMN,3,group_only,16,0.03653958557066217,
GSR_DMN,3,pseudo_cal,16,0.04965891921880036,0.40345965403459655
GSR_DMN,3,blend,16,0.05426046427519302,0.2756724327567243
