target,n_cal_runs,method,n,mean_r,gain_p
PDA,0,group_only,17,0.10599703087274695,
PDA,1,group_only,17,0.11718022223074186,
PDA,1,pseudo_cal,17,0.05693262854754916,0.7755224477552245
PDA,1,blend,17,0.10484739710321958,0.6176382361763824
PDA,2,group_only,17,0.10583798804722726,
PDA,2,pseudo_cal,17,0.0242658976760191,0.9483051694830517
PDA,2,blend,17,0.08319532805423906,0.8458154184581542
PDA,3,group_only,16,0.08584539925976659,
PDA,3,pseudo_cal,16,0.010271918204167441,0.7991200879912009
PDA,3,blend,16,0.04757121790320816,0.8344165583441656
GSR_CEN,0,group_only,17,0.10892875456742415,
GSR_CEN,1,group_only,17,0.1181571567274608,
GSR_CEN,1,pseudo_cal,17,0.047739080182349035,0.8495150484951505
GSR_CEN,1,blend,17,0.0978861176638125,0.7246275372462754
GSR_CEN,2,group_only,17,0.12523862613001455,
GSR_CEN,2,pseudo_cal,17,0.09834260141386011,0.668933106689331
GSR_CEN,2,blend,17,0.12847270133580876,0.46285371462853714
GSR_CEN,3,group_only,16,0.10448771723790642,
GSR_CEN,3,pseudo_cal,16,0.0219617254328021,0.821017898210179
GSR_CEN,3,blend,16,0.07331239959196478,0.7623237676232377
CEN,0,group_only,17,0.09986097878162423,
CEN,1,group_only,17,0.11867858913178692,
CEN,1,pseudo_cal,17,0.04654548705809928,0.913008699130087
CEN,1,blend,17,0.10804648268080552,0.642035796420358
CEN,2,group_only,17,0.1379527973674224,
CEN,2,pseudo_cal,17,0.05012060741656245,0.945005499450055
CEN,2,blend,17,0.12408638303995284,0.6754324567543246
CEN,3,group_only,16,0.10024130627558903,
CEN,3,pseudo_cal,16,-0.002979887819574638,0.9475052494750525
CEN,3,blend,16,0.06441363290404978,0.8738126187381262
DMN,0,group_only,17,0.08234465329786105,
DMN,1,group_only,17,0.08116133273035926,
DMN,1,pseudo_cal,17,0.028888048867383692,0.8436156384361564
DMN,1,blend,17,0.07479226617548308,0.5773422657734226
DMN,2,group_only,17,0.07397879454859702,
DMN,2,pseudo_cal,17,0.002038189537625763,0.9011098890110989
DMN,2,blend,17,0.052726145099126695,0.7407259274072593
DMN,3,group_only,16,0.04163631829503904,
DMN,3,pseudo_cal,16,-0.02909643961367658,0.8620137986201379
DMN,3,blend,16,-0.0040579908430415975,0.859014098590141
GSR_PDA,0,group_only,17,0.10302707772581998,
GSR_PDA,1,group_only,17,0.11517713288874792,
GSR_PDA,1,pseudo_cal,17,0.04346235091658369,0.8376162383761624
GSR_PDA,1,blend,17,0.0979116443068266,0.6822317768223177
GSR_PDA,2,group_only,17,0.09945840923034227,
GSR_PDA,2,pseudo_cal,17,0.033631227240736104,0.9011098890110989
GSR_PDA,2,blend,17,0.08501867244060306,0.7379262073792621
GSR_PDA,3,group_only,16,0.08253124205316979,
GSR_PDA,3,pseudo_cal,16,0.017919603398971362,0.7499250074992501
GSR_PDA,3,blend,16,0.05018642950105532,0.7769223077692231
GSR_DMN,0,group_only,17,-0.01859198841981564,
GSR_DMN,1,group_only,17,-0.024683115540489554,
GSR_DMN,1,pseudo_cal,17,0.014522273752882692,0.20217978202179782
GSR_DMN,1,blend,17,-0.007566215444502223,0.27087291270872915
GSR_DMN,2,group_only,17,-0.03704626477858589,
GSR_DMN,2,pseudo_cal,17,-0.003153431694761481,0.24917508249175083
GSR_DMN,2,blend,17,-0.02923573406099502,0.42005799420057993
GSR_DMN,3,group_only,16,-0.045387173969912695,
GSR_DMN,3,pseudo_cal,16,0.0005634272572579389,0.21327867213278673
GSR_DMN,3,blend,16,-0.026989798999695273,0.32286771322867713
