target,ch_idx,ch_name,dmnelf_loso_r,nf1_r,nf2_r
CEN,0,Fp1,0.05332223146639445,0.024918903584556146,0.03219939863927265
CEN,1,Fp2,0.012756684403412825,0.041067476916195375,0.05388283937967511
CEN,2,F3,0.05241473708758902,0.05947452697916058,0.08064767304860575
CEN,3,F4,0.053552935408330476,0.05251841097382801,0.07865859171373468
CEN,4,C3,0.018469178854835025,0.041228716208434144,0.04550545483646339
CEN,5,C4,0.03164689758870836,0.04028474317962932,0.07464708771186337
CEN,6,P3,0.023759981496612473,0.045066736373513015,0.07238658794522274
CEN,7,P4,0.04519064703402331,0.05834072289027708,0.08727486797713543
CEN,8,O1,0.018131232514523404,0.030663648745080267,0.07574390557940186
CEN,9,O2,0.030949445681495734,0.03521207373157604,0.05736159459290035
CEN,10,F7,0.047068814286231817,0.03833062553489903,0.05489219895918722
CEN,11,F8,0.02198395684796485,0.032921066577564405,0.0763412673561275
CEN,12,T7,0.020792872788288307,0.05275139514986182,0.05444624886191281
CEN,13,T8,0.02067553358302317,0.04786748036097663,0.050365190285070804
CEN,14,P7,0.03341159010853487,0.04378518143172686,0.07403610980559439
CEN,15,P8,0.045414786054110944,0.0652819794711719,0.0651106389450563
CEN,16,Fz,0.05688852151052842,0.04520347021444153,0.08014087652924787
CEN,17,Cz,0.03764587271473563,0.042235919334569494,0.08611056626668127
CEN,18,Pz,0.06753119896595984,0.022233389156386923,0.10420215838728769
CEN,19,Oz,0.03664655809527807,0.017133180199113796,0.05581149431810261
CEN,20,FC1,0.05164667618058015,0.050698833497470376,0.09403294823041176
CEN,21,FC2,0.046984127238678654,0.05113654576487881,0.0624538763713121
CEN,22,CP1,0.033968297692109246,0.029138887777212602,0.07922914265118944
CEN,23,CP2,0.02451670672397417,0.03237968487950444,0.08707351965063331
CEN,24,FC5,0.026649450828417964,0.04304521318053198,0.06328559119559853
CEN,25,FC6,-0.0033294280794908906,0.03406187192823563,0.051636141610327126
CEN,26,CP5,0.017401928385531583,0.041111008882756414,0.06115929097846966
CEN,27,CP6,0.010499490023854441,0.05283585590552326,0.046925332821097857
CEN,28,TP9,0.031882550514376586,0.040815660804350826,0.07272782942675936
CEN,29,TP10,0.03362841994851201,0.054845802189627445,0.05790148560266963
CEN,30,POz,0.05745747598079548,0.0338816717376512,0.08827621854855751
DMN,0,Fp1,-0.0010940142277130246,0.0050821916724501145,0.038815137802715484
DMN,1,Fp2,0.006959416691529764,0.0031900070628406024,0.015086026653330264
DMN,2,F3,0.010925646917684247,0.025989573874687647,0.05364419082614089
DMN,3,F4,0.011105494526159089,0.03839785504545908,0.049467085744696535
DMN,4,C3,0.013610917326405314,0.04314817400371921,0.019624734582006146
DMN,5,C4,0.01175551337021126,0.03883515318723946,0.03865318999021356
DMN,6,P3,0.012998039851626371,0.04012668991898469,0.028047878817597193
DMN,7,P4,0.038206894983855474,0.03471989014044529,0.04098099893882949
DMN,8,O1,0.030934131952973468,0.032514708506609355,0.014644292584396206
DMN,9,O2,0.005732457647529574,0.031621942460122086,0.03909139861076367
DMN,10,F7,0.03938160046370646,0.041840743316661565,0.04635578250696655
DMN,11,F8,0.02365988441844985,0.04974082034140186,0.06143784650804471
DMN,12,T7,0.035802604827635205,0.052754690517811204,0.0503648667107742
DMN,13,T8,0.038929026350448384,0.042535201249086274,0.046554603837282334
DMN,14,P7,0.026475279257415545,0.04070350128609559,0.037323363948668045
DMN,15,P8,0.02870829323779901,0.05744945541357089,0.054626467406522924
DMN,16,Fz,0.003200018859572357,0.024563763687079743,0.0647500036855386
DMN,17,Cz,-0.020023498575628955,0.02647754961340624,0.0333259630077343
DMN,18,Pz,-0.007657876724735675,0.010518990194952288,0.05586858251034506
DMN,19,Oz,-0.006104508226231823,0.023566011589037515,0.030811474342977617
DMN,20,FC1,0.01254696390709272,0.03363927175524088,0.051011743307789355
DMN,21,FC2,0.023153446301224706,0.0227954583547261,0.03113314505608007
DMN,22,CP1,0.004776463475634587,0.029182471408730343,0.054657903375244545
DMN,23,CP2,0.0003448476728630982,0.015648994309282974,0.016430699556528393
DMN,24,FC5,0.029913278612381636,0.05001595261403149,0.057193089081647636
DMN,25,FC6,0.017476333687120146,0.031786098786609054,0.04801587217216014
DMN,26,CP5,0.0193241492147025,0.03678151201807706,0.04896292157790158
DMN,27,CP6,0.02678563771792326,0.0414517427379691,0.04545274889700408
DMN,28,TP9,0.021552911235841327,0.04180560422064705,0.04907959994793292
DMN,29,TP10,0.01781624536436503,0.04410878736110346,0.0521884672001129
DMN,30,POz,-0.007742957293260015,-0.013649382416990588,0.025496128234358803
PDA,0,Fp1,0.08031195237092834,-0.005258441257409244,0.017770708040378513
PDA,1,Fp2,0.011828119369172661,0.01265130937623006,0.014270895997991447
PDA,2,F3,0.05649117144310643,0.014174410879526742,0.03685378175519337
PDA,3,F4,0.03881849507718429,0.016293975671007245,0.030382248769138018
PDA,4,C3,0.0078717321300592,0.025685914686845345,0.014705796838934072
PDA,5,C4,0.03472313604338348,0.00023449128666855955,0.01617089773955901
PDA,6,P3,0.016444553297616425,0.015148183092214808,0.020087464431102858
PDA,7,P4,0.04585064637383122,0.008382419023003365,0.0057178086255159416
PDA,8,O1,0.03828107935844718,-0.006868676117941749,0.007279566653571066
PDA,9,O2,0.06229415634522056,-0.009452137396909014,-0.016013213182732137
PDA,10,F7,0.00832199215681912,-0.002303164358129814,0.019276482360291006
PDA,11,F8,0.01578664872353072,0.021513684487808462,0.015234292107369464
PDA,12,T7,0.016739899652602638,0.01840807908593976,-0.00961384035399761
PDA,13,T8,0.014626897663475646,0.013857279245610657,-0.008517934550736114
PDA,14,P7,0.03883685637857669,0.02017264790080189,0.020700243228925677
PDA,15,P8,0.03979575024909578,0.017221565663482877,0.013968426053635054
PDA,16,Fz,0.049738235956924726,0.01105731838784651,0.011523883035986247
PDA,17,Cz,0.0309371054960545,0.012671195225812094,0.024184681860111443
PDA,18,Pz,0.059065885265213176,-0.006879123847810764,0.043166172692895105
PDA,19,Oz,0.033328253415522355,-0.016822037387809956,0.002781222321786904
PDA,20,FC1,0.058754689918751477,0.01917165878166656,0.02049122867089712
PDA,21,FC2,0.04684514863210071,0.023746044333313093,0.005090487605187019
PDA,22,CP1,0.02863860541043278,0.012607645211523378,0.06432194960512666
PDA,23,CP2,0.03491280519583634,0.009594318435690457,0.03359294971958252
PDA,24,FC5,0.015219357504450874,0.013694291829548774,0.014861731137230052
PDA,25,FC6,0.009452298639212056,0.008729251382161065,-0.009890456840828387
PDA,26,CP5,0.008574897752196414,0.024456223992145372,0.003265798122001499
PDA,27,CP6,0.007839040860066995,0.004833422420701145,0.00131290169818529
PDA,28,TP9,0.04028111718052399,0.022661960131808333,0.015933332189563568
PDA,29,TP10,0.02688705998316093,0.01693614290817403,0.00930026021558113
PDA,30,POz,0.056834279321185045,0.003944578611015152,0.016676882217816446
