session,target,mode,subject,r
nf1,CEN,best,rtbpd002,0.23484249443903538
nf1,CEN,all,rtbpd002,0.2505988897467186
nf1,CEN,best,rtbpd003,0.07490535413515716
nf1,CEN,all,rtbpd003,0.08101991196153124
nf1,CEN,best,rtbpd004,-0.25594390143332707
nf1,CEN,all,rtbpd004,-0.030357181573217942
nf1,CEN,best,rtbpd009,0.07093310297269345
nf1,CEN,all,rtbpd009,0.06570589734189405
nf1,CEN,best,rtbpd010,0.1884338913006821
nf1,CEN,all,rtbpd010,0.2976606503938896
nf1,CEN,best,rtbpd011,-0.13401270684260294
nf1,CEN,all,rtbpd011,-0.026237186599829092
nf1,CEN,best,rtbpd012,0.18678479133155831
nf1,CEN,all,rtbpd012,0.31703157855070546
nf1,CEN,best,rtbpd013,0.18326994008183078
nf1,CEN,all,rtbpd013,0.18867227333052347
nf1,CEN,best,rtbpd015,0.17834635357785764
nf1,CEN,all,rtbpd015,0.11871420570046888
nf1,CEN,best,rtbpd018,0.08727277127887917
nf1,CEN,all,rtbpd018,0.25161098526678505
nf1,CEN,best,rtbpd020,0.23084424811211793
nf1,CEN,all,rtbpd020,0.10106594647742524
nf1,CEN,best,rtbpd021,0.32662121643927
nf1,CEN,all,rtbpd021,0.31839733132961806
nf1,CEN,best,rtbpd022,0.03933105923581397
nf1,CEN,all,rtbpd022,-0.04126606914380146
nf1,CEN,best,rtbpd024,0.1630831240949282
nf1,CEN,all,rtbpd024,0.09517628868990788
nf1,CEN,best,rtbpd026,0.004991245427660456
nf1,CEN,all,rtbpd026,0.056733600342831585
nf1,CEN,best,rtbpd030,0.07801496479499392
nf1,CEN,all,rtbpd030,0.012458129977244051
nf1,CEN,best,rtbpd034,0.028790183206676888
nf1,CEN,all,rtbpd034,0.2693145835769748
nf1,CEN,best,rtbpd038,0.28632840664490417
nf1,CEN,all,rtbpd038,0.3402740693359218
nf1,CEN,best,rtbpd040,0.28787742396316524
nf1,CEN,all,rtbpd040,0.13072956160233284
nf2,CEN,best,rtbpd002,-0.033292704418042315
nf2,CEN,all,rtbpd002,-0.10154440320711279
nf2,CEN,best,rtbpd003,0.1680140350704718
nf2,CEN,all,rtbpd003,0.27923244985900464
nf2,CEN,best,rtbpd009,0.23693132447204657
nf2,CEN,all,rtbpd009,0.140512124223425
nf2,CEN,best,rtbpd010,0.31698339915923934
nf2,CEN,all,rtbpd010,0.3037238010560842
nf2,CEN,best,rtbpd011,0.1658856931712701
nf2,CEN,all,rtbpd011,0.1149333993439477
nf2,CEN,best,rtbpd015,0.0886969283094122
nf2,CEN,all,rtbpd015,0.13405622715277318
nf2,CEN,best,rtbpd022,0.19173316912305444
nf2,CEN,all,rtbpd022,0.24913545696249229
nf2,CEN,best,rtbpd026,0.019153440058390758
nf2,CEN,all,rtbpd026,0.09774885182488789
nf2,CEN,best,rtbpd027,-0.049625127120984706
nf2,CEN,all,rtbpd027,0.04484882570248979
nf2,CEN,best,rtbpd028,-0.10549079095794439
nf2,CEN,all,rtbpd028,0.0692462473612741
nf2,CEN,best,rtbpd030,0.011916784770014543
nf2,CEN,all,rtbpd030,0.11398105974720636
nf1,DMN,best,rtbpd002,0.1552994235686104
nf1,DMN,all,rtbpd002,-0.024818762481568477
nf1,DMN,best,rtbpd003,0.04466975145099016
nf1,DMN,all,rtbpd003,0.07779290858506195
nf1,DMN,best,rtbpd004,0.1477041013433968
nf1,DMN,all,rtbpd004,0.2085460373324045
nf1,DMN,best,rtbpd009,0.11398076944262757
nf1,DMN,all,rtbpd009,0.11658822429157618
nf1,DMN,best,rtbpd010,0.10164936800002354
nf1,DMN,all,rtbpd010,-0.012603189959279108
nf1,DMN,best,rtbpd011,0.0036572451860016615
nf1,DMN,all,rtbpd011,0.09070904685020965
nf1,DMN,best,rtbpd012,0.2512390253489967
nf1,DMN,all,rtbpd012,0.21467131942706238
nf1,DMN,best,rtbpd013,0.23965482755947423
nf1,DMN,all,rtbpd013,0.07419823658646818
nf1,DMN,best,rtbpd015,0.013396984076877987
nf1,DMN,all,rtbpd015,-0.03939368291893601
nf1,DMN,best,rtbpd018,0.21723453278215832
nf1,DMN,all,rtbpd018,0.17219356480864823
nf1,DMN,best,rtbpd020,0.09792131345723831
nf1,DMN,all,rtbpd020,0.12448316623343302
nf1,DMN,best,rtbpd021,0.28537036441006136
nf1,DMN,all,rtbpd021,0.2650967564696357
nf1,DMN,best,rtbpd022,-0.03580940375946399
nf1,DMN,all,rtbpd022,0.1234341451131574
nf1,DMN,best,rtbpd024,-0.04652469575512206
nf1,DMN,all,rtbpd024,0.14626460762574187
nf1,DMN,best,rtbpd026,-0.0062006905229337415
nf1,DMN,all,rtbpd026,-0.011847604567882085
nf1,DMN,best,rtbpd030,0.28660416204142447
nf1,DMN,all,rtbpd030,-0.016435569917454925
nf1,DMN,best,rtbpd034,0.17825132076466538
nf1,DMN,all,rtbpd034,0.20073527428119947
nf1,DMN,best,rtbpd038,0.319609657570591
nf1,DMN,all,rtbpd038,0.23837584718139634
nf1,DMN,best,rtbpd040,-0.005396179117875585
nf1,DMN,all,rtbpd040,0.05635509410100347
nf2,DMN,best,rtbpd002,-0.043630606290413335
nf2,DMN,all,rtbpd002,-0.18392574753833135
nf2,DMN,best,rtbpd003,0.15697654904329278
nf2,DMN,all,rtbpd003,0.18511607795061702
nf2,DMN,best,rtbpd009,0.4265563139618077
nf2,DMN,all,rtbpd009,0.23346163272636808
nf2,DMN,best,rtbpd010,0.24935722539406213
nf2,DMN,all,rtbpd010,0.06651346982011842
nf2,DMN,best,rtbpd011,0.12057955278054179
nf2,DMN,all,rtbpd011,0.11515326546937227
nf2,DMN,best,rtbpd015,0.1819222372294989
nf2,DMN,all,rtbpd015,0.030334743478346787
nf2,DMN,best,rtbpd022,0.0700088594719341
nf2,DMN,all,rtbpd022,0.19496712123048848
nf2,DMN,best,rtbpd026,0.07396998012172668
nf2,DMN,all,rtbpd026,0.03342411122694843
nf2,DMN,best,rtbpd027,0.07137898069504206
nf2,DMN,all,rtbpd027,0.11948291371539796
nf2,DMN,best,rtbpd028,0.27502458642224137
nf2,DMN,all,rtbpd028,-0.150100448978504
nf2,DMN,best,rtbpd030,0.05909813739214034
nf2,DMN,all,rtbpd030,0.052281762758999886
nf1,PDA,best,rtbpd002,0.26681282834503794
nf1,PDA,all,rtbpd002,0.20274181049303583
nf1,PDA,best,rtbpd003,-0.05108653936887679
nf1,PDA,all,rtbpd003,0.08340415498950118
nf1,PDA,best,rtbpd004,0.0758766991370575
nf1,PDA,all,rtbpd004,0.04385792081106964
nf1,PDA,best,rtbpd009,0.10000205872888725
nf1,PDA,all,rtbpd009,0.009383833051492818
nf1,PDA,best,rtbpd010,0.24812887409043322
nf1,PDA,all,rtbpd010,0.0554973892917219
nf1,PDA,best,rtbpd011,0.02898326739962092
nf1,PDA,all,rtbpd011,0.1900434160713191
nf1,PDA,best,rtbpd012,-0.09848473773633361
nf1,PDA,all,rtbpd012,-0.15570354351821306
nf1,PDA,best,rtbpd013,-0.170563875251775
nf1,PDA,all,rtbpd013,0.053946888942238494
nf1,PDA,best,rtbpd015,0.1179299581493761
nf1,PDA,all,rtbpd015,0.12069706194818683
nf1,PDA,best,rtbpd018,-0.04379476833791563
nf1,PDA,all,rtbpd018,-0.045950003260888016
nf1,PDA,best,rtbpd020,0.22437377190960608
