session,target,mode,subject,r
nf1,CEN,best,rtbpd002,0.17410767746934497
nf1,CEN,all,rtbpd002,0.11774996242944948
nf1,CEN,best,rtbpd003,0.033506563957293185
nf1,CEN,all,rtbpd003,0.0432192027622582
nf1,CEN,best,rtbpd004,-0.046648896268348894
nf1,CEN,all,rtbpd004,0.021495130818865987
nf1,CEN,best,rtbpd009,0.0384327769934375
nf1,CEN,all,rtbpd009,0.11905880609626901
nf1,CEN,best,rtbpd010,0.13331693098858338
nf1,CEN,all,rtbpd010,0.27749155477924997
nf1,CEN,best,rtbpd011,-0.028513412587411656
nf1,CEN,all,rtbpd011,0.017742993523954365
nf1,CEN,best,rtbpd012,0.019751198768284153
nf1,CEN,all,rtbpd012,0.060293787140481836
nf1,CEN,best,rtbpd013,0.12947894375249883
nf1,CEN,all,rtbpd013,0.0846758018009999
nf1,CEN,best,rtbpd015,-0.00744651841960691
nf1,CEN,all,rtbpd015,0.1541391229719018
nf1,CEN,best,rtbpd018,0.07686923809376654
nf1,CEN,all,rtbpd018,0.1143224995660796
nf1,CEN,best,rtbpd020,-0.021982204720014206
nf1,CEN,all,rtbpd020,0.00875305232337256
nf1,CEN,best,rtbpd021,0.016232971067236673
nf1,CEN,all,rtbpd021,0.008661808752178883
nf1,CEN,best,rtbpd022,-0.0002969731421364856
nf1,CEN,all,rtbpd022,0.054573210524457585
nf1,CEN,best,rtbpd024,0.03471283654110544
nf1,CEN,all,rtbpd024,0.016696088966534163
nf1,CEN,best,rtbpd026,0.004114313821149575
nf1,CEN,all,rtbpd026,0.01966168105641878
nf1,CEN,best,rtbpd030,0.008403981501876294
nf1,CEN,all,rtbpd030,0.10767347229920944
nf1,CEN,best,rtbpd034,-0.1032420633169294
nf1,CEN,all,rtbpd034,-0.013260288544538245
nf1,CEN,best,rtbpd038,0.09578922461211864
nf1,CEN,all,rtbpd038,0.11141394638088152
nf1,CEN,best,rtbpd040,-0.13415219514089616
nf1,CEN,all,rtbpd040,-0.0636075736171452
nf2,CEN,best,rtbpd002,0.023115826306698943
nf2,CEN,all,rtbpd002,0.016269616426189664
nf2,CEN,best,rtbpd003,0.37042382313987054
nf2,CEN,all,rtbpd003,0.26931821011574086
nf2,CEN,best,rtbpd009,0.07357313927915218
nf2,CEN,all,rtbpd009,0.06417372023368327
nf2,CEN,best,rtbpd010,0.13745132655024292
nf2,CEN,all,rtbpd010,0.173066653294817
nf2,CEN,best,rtbpd011,0.02721812080803199
nf2,CEN,all,rtbpd011,0.007333455335025017
nf2,CEN,best,rtbpd015,0.16338958883157495
nf2,CEN,all,rtbpd015,0.17094113317525558
nf2,CEN,best,rtbpd022,0.15247450893806888
nf2,CEN,all,rtbpd022,0.21418132946243867
nf2,CEN,best,rtbpd026,-0.026127896285356868
nf2,CEN,all,rtbpd026,0.02479548773480429
nf2,CEN,best,rtbpd027,-0.00512520215915389
nf2,CEN,all,rtbpd027,0.05352176151821493
nf2,CEN,best,rtbpd028,0.08702533229549418
nf2,CEN,all,rtbpd028,0.045571788622579504
nf2,CEN,best,rtbpd030,0.14280517455554084
nf2,CEN,all,rtbpd030,0.10252347468312754
nf1,DMN,best,rtbpd002,0.06626755867106826
nf1,DMN,all,rtbpd002,-0.11538904532398282
nf1,DMN,best,rtbpd003,0.09804027359324353
nf1,DMN,all,rtbpd003,0.07069371641840236
nf1,DMN,best,rtbpd004,0.09011018446084246
nf1,DMN,all,rtbpd004,0.21092199746681908
nf1,DMN,best,rtbpd009,0.11648481403889203
nf1,DMN,all,rtbpd009,0.08181601873834256
nf1,DMN,best,rtbpd010,-0.0594060303266027
nf1,DMN,all,rtbpd010,0.01903050887961666
nf1,DMN,best,rtbpd011,-0.007445570895736387
nf1,DMN,all,rtbpd011,0.05917709080987527
nf1,DMN,best,rtbpd012,0.10986583647247292
nf1,DMN,all,rtbpd012,0.06625833493967559
nf1,DMN,best,rtbpd013,0.07069993739251303
nf1,DMN,all,rtbpd013,-0.025164365666658372
nf1,DMN,best,rtbpd015,-0.08433972907744894
nf1,DMN,all,rtbpd015,-0.0744913214270314
nf1,DMN,best,rtbpd018,0.03718546553100106
nf1,DMN,all,rtbpd018,0.03263343612230927
nf1,DMN,best,rtbpd020,-0.02011788058195291
nf1,DMN,all,rtbpd020,0.04166909018663041
nf1,DMN,best,rtbpd021,-0.014117983350573909
nf1,DMN,all,rtbpd021,0.00026723551318619444
nf1,DMN,best,rtbpd022,0.049617717928736656
nf1,DMN,all,rtbpd022,0.11579147772345734
nf1,DMN,best,rtbpd024,0.10613312740772232
nf1,DMN,all,rtbpd024,0.09178852730838
nf1,DMN,best,rtbpd026,0.07151009209669311
nf1,DMN,all,rtbpd026,0.06380428018129633
nf1,DMN,best,rtbpd030,0.09824890048886638
nf1,DMN,all,rtbpd030,0.08224168944531675
nf1,DMN,best,rtbpd034,0.005649650816130267
nf1,DMN,all,rtbpd034,-0.07254512055115336
nf1,DMN,best,rtbpd038,0.08745369554816294
nf1,DMN,all,rtbpd038,0.07313931855130118
nf1,DMN,best,rtbpd040,-0.02686593719746047
nf1,DMN,all,rtbpd040,-0.02974840712895413
nf2,DMN,best,rtbpd002,0.032305383318893224
nf2,DMN,all,rtbpd002,-0.03754695733004585
nf2,DMN,best,rtbpd003,0.14165553704124814
nf2,DMN,all,rtbpd003,0.06614886522568877
nf2,DMN,best,rtbpd009,0.1393071167788311
nf2,DMN,all,rtbpd009,0.1561839765002362
nf2,DMN,best,rtbpd010,0.011028153847788597
nf2,DMN,all,rtbpd010,-0.036504787778418826
nf2,DMN,best,rtbpd011,-0.05750087381238196
nf2,DMN,all,rtbpd011,0.04588694078609405
nf2,DMN,best,rtbpd015,0.13967235166078956
nf2,DMN,all,rtbpd015,-0.000974137822824716
nf2,DMN,best,rtbpd022,0.06236003692559998
nf2,DMN,all,rtbpd022,0.16847927676568963
nf2,DMN,best,rtbpd026,-0.019367548152202794
nf2,DMN,all,rtbpd026,-0.03922088986423586
nf2,DMN,best,rtbpd027,-0.02065512001066572
nf2,DMN,all,rtbpd027,0.015297412466948197
nf2,DMN,best,rtbpd028,0.014073642531331507
nf2,DMN,all,rtbpd028,0.07694260336120362
nf2,DMN,best,rtbpd030,0.06703492744740035
nf2,DMN,all,rtbpd030,-0.016233654944143517
nf1,PDA,best,rtbpd002,-0.09881825879737101
nf1,PDA,all,rtbpd002,-0.04214403377695927
nf1,PDA,best,rtbpd003,0.06293535349816416
nf1,PDA,all,rtbpd003,0.10800528338929388
nf1,PDA,best,rtbpd004,0.06071547672147947
nf1,PDA,all,rtbpd004,0.06646653580504255
nf1,PDA,best,rtbpd009,-0.0753777674505601
nf1,PDA,all,rtbpd009,0.055746218685847934
nf1,PDA,best,rtbpd010,0.07168822543299161
nf1,PDA,all,rtbpd010,0.09919914759927889
nf1,PDA,best,rtbpd011,-0.030941871889117453
nf1,PDA,all,rtbpd011,0.02315217156549841
nf1,PDA,best,rtbpd012,-0.11230961048338228
nf1,PDA,all,rtbpd012,-0.13374053802168615
nf1,PDA,best,rtbpd013,-0.07022783945196792
nf1,PDA,all,rtbpd013,-0.03254814157943537
nf1,PDA,best,rtbpd015,0.06919563742960583
nf1,PDA,all,rtbpd015,0.09468819075965998
nf1,PDA,best,rtbpd018,0.002357478059042872
