session,target,mode,subject,r
nf1,CEN,best,rtbpd002,0.17291433632086314
nf1,CEN,all,rtbpd002,0.07708374237846988
nf1,CEN,best,rtbpd003,0.03618239810415802
nf1,CEN,all,rtbpd003,0.007079550226236679
nf1,CEN,best,rtbpd004,-0.044597346780944444
nf1,CEN,all,rtbpd004,0.006646881982264255
nf1,CEN,best,rtbpd009,0.03442191882310292
nf1,CEN,all,rtbpd009,0.08299375739259345
nf1,CEN,best,rtbpd010,0.13332519830165793
nf1,CEN,all,rtbpd010,0.28901759328624926
nf1,CEN,best,rtbpd011,-0.028442574781704272
nf1,CEN,all,rtbpd011,0.01722421406543218
nf1,CEN,best,rtbpd012,0.01830245804824407
nf1,CEN,all,rtbpd012,0.023980603576462974
nf1,CEN,best,rtbpd013,0.13339200358980777
nf1,CEN,all,rtbpd013,0.06667557393512197
nf1,CEN,best,rtbpd015,-0.010927548325502844
nf1,CEN,all,rtbpd015,0.14076435848593621
nf1,CEN,best,rtbpd018,0.07645819247976458
nf1,CEN,all,rtbpd018,0.12112351147262282
nf1,CEN,best,rtbpd020,-0.025461684860552263
nf1,CEN,all,rtbpd020,0.024033995409136706
nf1,CEN,best,rtbpd021,0.016134549696842217
nf1,CEN,all,rtbpd021,0.021438685258899845
nf1,CEN,best,rtbpd022,0.02782898030276581
nf1,CEN,all,rtbpd022,0.07821488546752198
nf1,CEN,best,rtbpd024,0.034353581160776095
nf1,CEN,all,rtbpd024,0.05303979062405018
nf1,CEN,best,rtbpd026,0.004651238696448018
nf1,CEN,all,rtbpd026,-0.008395372670582503
nf1,CEN,best,rtbpd030,0.007193214540134579
nf1,CEN,all,rtbpd030,0.10936965190037107
nf1,CEN,best,rtbpd034,-0.10639597122540659
nf1,CEN,all,rtbpd034,0.005421445533271525
nf1,CEN,best,rtbpd038,0.09676805631970736
nf1,CEN,all,rtbpd038,0.12358281866439755
nf1,CEN,best,rtbpd040,-0.13642908880974933
nf1,CEN,all,rtbpd040,-0.0709055117925087
nf2,CEN,best,rtbpd002,0.02409827551062066
nf2,CEN,all,rtbpd002,0.02244355375407122
nf2,CEN,best,rtbpd003,0.3690946823901567
nf2,CEN,all,rtbpd003,0.19750856137345854
nf2,CEN,best,rtbpd009,0.07306935920642599
nf2,CEN,all,rtbpd009,0.08121312142368468
nf2,CEN,best,rtbpd010,0.13723976488631015
nf2,CEN,all,rtbpd010,0.1509963646863419
nf2,CEN,best,rtbpd011,0.028597985424396406
nf2,CEN,all,rtbpd011,0.015407997570290155
nf2,CEN,best,rtbpd015,0.1610491344136712
nf2,CEN,all,rtbpd015,0.12100834619037104
nf2,CEN,best,rtbpd022,0.14998073352690316
nf2,CEN,all,rtbpd022,0.16699029234383503
nf2,CEN,best,rtbpd026,-0.032199536807244945
nf2,CEN,all,rtbpd026,0.018223712492971
nf2,CEN,best,rtbpd027,-0.008435462135258733
nf2,CEN,all,rtbpd027,0.06031177805589705
nf2,CEN,best,rtbpd028,0.08541560002548187
nf2,CEN,all,rtbpd028,0.05785539822047803
nf2,CEN,best,rtbpd030,0.13841362845328328
nf2,CEN,all,rtbpd030,0.08814413603698769
nf1,DMN,best,rtbpd002,0.061041461545996656
nf1,DMN,all,rtbpd002,-0.10834869552929731
nf1,DMN,best,rtbpd003,0.09735334011398405
nf1,DMN,all,rtbpd003,0.05187741741094238
nf1,DMN,best,rtbpd004,0.09772882700644775
nf1,DMN,all,rtbpd004,0.2127523557189157
nf1,DMN,best,rtbpd009,0.10456458514855058
nf1,DMN,all,rtbpd009,0.06338142762829833
nf1,DMN,best,rtbpd010,-0.057093133690027144
nf1,DMN,all,rtbpd010,-0.011810524707928321
nf1,DMN,best,rtbpd011,-0.01965655619283367
nf1,DMN,all,rtbpd011,0.03857470786622618
nf1,DMN,best,rtbpd012,0.08992653394298802
nf1,DMN,all,rtbpd012,0.06866397559817963
nf1,DMN,best,rtbpd013,0.0763906407922946
nf1,DMN,all,rtbpd013,0.034292718082091986
nf1,DMN,best,rtbpd015,-0.08769839420337182
nf1,DMN,all,rtbpd015,-0.04855566085607264
nf1,DMN,best,rtbpd018,0.0387499614058051
nf1,DMN,all,rtbpd018,0.04678012952019844
nf1,DMN,best,rtbpd020,-0.0077420422672070275
nf1,DMN,all,rtbpd020,0.09350507778534907
nf1,DMN,best,rtbpd021,-0.01733961109900455
nf1,DMN,all,rtbpd021,-0.014824288237753147
nf1,DMN,best,rtbpd022,0.04751235856552828
nf1,DMN,all,rtbpd022,0.13184060444395224
nf1,DMN,best,rtbpd024,0.1062584097046852
nf1,DMN,all,rtbpd024,0.07044845134946182
nf1,DMN,best,rtbpd026,0.06197581882323339
nf1,DMN,all,rtbpd026,0.06719720524314055
nf1,DMN,best,rtbpd030,0.10617634206945606
nf1,DMN,all,rtbpd030,0.14646987619526294
nf1,DMN,best,rtbpd034,0.005248485138386121
nf1,DMN,all,rtbpd034,-0.07500736457565399
nf1,DMN,best,rtbpd038,0.1014741292839028
nf1,DMN,all,rtbpd038,0.13218458029127766
nf1,DMN,best,rtbpd040,-0.023833615872294094
nf1,DMN,all,rtbpd040,-0.016101980448834104
nf2,DMN,best,rtbpd002,0.025975596609151188
nf2,DMN,all,rtbpd002,-0.04256800116738412
nf2,DMN,best,rtbpd003,0.1378175026207599
nf2,DMN,all,rtbpd003,0.0442609223880835
nf2,DMN,best,rtbpd009,0.15440176273332054
nf2,DMN,all,rtbpd009,0.2295088902308594
nf2,DMN,best,rtbpd010,0.02114647133970226
nf2,DMN,all,rtbpd010,-0.023043636899668138
nf2,DMN,best,rtbpd011,-0.06706338196547565
nf2,DMN,all,rtbpd011,0.05316352197535604
nf2,DMN,best,rtbpd015,0.14743466723058113
nf2,DMN,all,rtbpd015,0.03981024852920152
nf2,DMN,best,rtbpd022,0.0685467089703895
nf2,DMN,all,rtbpd022,0.15799643309526146
nf2,DMN,best,rtbpd026,-0.020908153103136772
nf2,DMN,all,rtbpd026,-0.0430802547742712
nf2,DMN,best,rtbpd027,-0.01748292378408533
nf2,DMN,all,rtbpd027,0.011136364117361807
nf2,DMN,best,rtbpd028,0.019852905364270333
nf2,DMN,all,rtbpd028,0.09379819670874232
nf2,DMN,best,rtbpd030,0.06090038857909014
nf2,DMN,all,rtbpd030,-0.00803735876581054
nf1,PDA,best,rtbpd002,-0.10678210686474036
nf1,PDA,all,rtbpd002,-0.04710806047182032
nf1,PDA,best,rtbpd003,0.05610406055415848
nf1,PDA,all,rtbpd003,0.10080197855435824
nf1,PDA,best,rtbpd004,0.0709601809508949
nf1,PDA,all,rtbpd004,0.05562533519785523
nf1,PDA,best,rtbpd009,-0.07313548630254352
nf1,PDA,all,rtbpd009,0.05003151922451903
nf1,PDA,best,rtbpd010,0.07780725893688449
nf1,PDA,all,rtbpd010,0.08913789306324302
nf1,PDA,best,rtbpd011,-0.024677007778254535
nf1,PDA,all,rtbpd011,0.005310970441372185
nf1,PDA,best,rtbpd012,-0.12109772529570471
nf1,PDA,all,rtbpd012,-0.1580602949558979
nf1,PDA,best,rtbpd013,-0.06479892512437263
nf1,PDA,all,rtbpd013,-0.027265599307135648
nf1,PDA,best,rtbpd015,0.052567228293968864
nf1,PDA,all,rtbpd015,0.09160445755212336
nf1,PDA,best,rtbpd018,-0.003312705738662211
nf1,PDA,all,rtbpd018,0.07825794226229678
nf1,PDA,best,rtbpd020,0.04081671504767074
nf1,PDA,all,rtbpd020,0.07257552205757409
nf1,PDA,best,rtbpd021,-0.07342289735974426
nf1,PDA,all,rtbpd021,-0.006213859724074766
nf1,PDA,best,rtbpd022,0.1360475658948001
nf1,PDA,all,rtbpd022,0.1133756770079876
nf1,PDA,best,rtbpd024,0.05414740838416547
nf1,PDA,all,rtbpd024,0.049600151418969396
nf1,PDA,best,rtbpd026,-0.0017198601395093892
nf1,PDA,all,rtbpd026,0.030396467565857663
nf1,PDA,best,rtbpd030,0.005765991010225992
nf1,PDA,all,rtbpd030,0.07878170236057246
nf1,PDA,best,rtbpd034,-0.036342587069228105
nf1,PDA,all,rtbpd034,-0.04885013027580414
nf1,PDA,best,rtbpd038,0.015263135530963987
nf1,PDA,all,rtbpd038,0.04281080823381008
nf1,PDA,best,rtbpd040,-0.02943669622882716
nf1,PDA,all,rtbpd040,-0.06497143738738202
nf2,PDA,best,rtbpd002,0.027763204568379978
nf2,PDA,all,rtbpd002,0.034301613889951586
nf2,PDA,best,rtbpd003,0.07698814722959657
nf2,PDA,all,rtbpd003,0.0876064593126051
nf2,PDA,best,rtbpd009,0.12671783132070183
nf2,PDA,all,rtbpd009,0.08289033762245498
nf2,PDA,best,rtbpd010,-0.0409207393825721
nf2,PDA,all,rtbpd010,0.038703252296564926
nf2,PDA,best,rtbpd011,-0.011979492708266492
nf2,PDA,all,rtbpd011,-0.07138360132664165
nf2,PDA,best,rtbpd015,-0.10766486729379957
nf2,PDA,all,rtbpd015,-0.09940693650831768
nf2,PDA,best,rtbpd022,0.04351871086421571
nf2,PDA,all,rtbpd022,0.17105187825463294
nf2,PDA,best,rtbpd026,-0.054371164934804074
nf2,PDA,all,rtbpd026,0.06401795908665701
nf2,PDA,best,rtbpd027,0.0765257657433121
nf2,PDA,all,rtbpd027,0.0523184982511999
nf2,PDA,best,rtbpd028,0.03782081120296942
nf2,PDA,all,rtbpd028,0.1542943751663237
nf2,PDA,best,rtbpd030,-0.023662252706611677
nf2,PDA,all,rtbpd030,0.01691877954141968
