target,resolution,common_ch,loso_fold_modal_ch,n,loso_mean_r,sign_flip_p
DMN,tr,O1,O1,17,0.09635573509807949,0.010798920107989201
CEN,tr,Cz,Cz,17,0.12399073476375397,0.0007999200079992001
PDA,tr,Pz,Pz,17,0.16106902476711715,0.007799220077992201
GSR_DMN,tr,Cz,Cz,17,-0.012307708664713205,0.6525347465253475
GSR_CEN,tr,Pz,Pz,17,0.15331433207298872,0.010998900109989001
GSR_PDA,tr,Pz,Pz,17,0.1611334936099896,0.004999500049995001
VIS,tr,Oz,Oz,17,0.05046896463523499,0.030996900309969003
DMN,hz4,O1,O1,17,0.09314634039695847,0.008799120087991202
CEN,hz4,Cz,Cz,17,0.0915126715256201,0.0021997800219978004
PDA,hz4,Cz,Cz,17,0.02219831825538404,0.5929407059294071
GSR_DMN,hz4,Cz,Cz,17,-0.012060520895782585,0.6301369863013698
GSR_CEN,hz4,Pz,Pz,17,0.08500767338006478,0.08159184081591841
GSR_PDA,hz4,Pz,Pz,17,0.061224298971957254,0.195980401959804
VIS,hz4,Pz,Pz,17,0.07642487534271884,0.003999600039996
