subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf001,DMN,tr,EFP,P4,0.2503216317259593,0.9947129632382508
dmnelf001,DMN,tr,HRF,P4,0.1451357828069768,1.047043758962309
dmnelf001,DMN,tr,TA,O2,0.190761549168439,0.9854104924137774
dmnelf001,CEN,tr,EFP,P4,0.3297044573839431,0.9553634379763812
dmnelf001,CEN,tr,HRF,P4,0.2021750409741408,1.0300567047256377
dmnelf001,CEN,tr,TA,O2,0.1807205694871174,1.0019968643290509
dmnelf001,PDA,tr,EFP,P4,0.0041361744674064,1.0110327466840134
dmnelf001,PDA,tr,HRF,P4,0.164494592905694,1.0159370358719415
dmnelf001,PDA,tr,TA,O2,0.0390996269512109,1.0108447371541702
dmnelf001,GSR_DMN,tr,EFP,F7,0.1262770152673292,1.0198493346397817
dmnelf001,GSR_DMN,tr,HRF,F7,0.1600178218730414,1.052455797802058
dmnelf001,GSR_DMN,tr,TA,O2,0.2927039671803499,0.9762925969436016
dmnelf001,GSR_CEN,tr,EFP,P8,0.1882275182343186,1.008368790049173
dmnelf001,GSR_CEN,tr,HRF,P8,0.0747298710463058,1.0924658449568685
dmnelf001,GSR_CEN,tr,TA,O2,0.2689450476183853,1.0078858096166738
dmnelf001,GSR_PDA,tr,EFP,P4,-2.1363283532418666e-05,1.0118739267058248
dmnelf001,GSR_PDA,tr,HRF,P4,0.1874523672146275,1.0009347575285967
dmnelf001,GSR_PDA,tr,TA,O2,0.0639025965403208,1.0092243565289052
dmnelf001,VIS,tr,EFP,O2,0.3078435989930229,0.9457431219698345
dmnelf001,VIS,tr,HRF,O2,0.3236808938463927,0.9235715722655032
dmnelf001,VIS,tr,TA,O2,0.2164305744812432,0.9807444546647948
dmnelf001,DMN,hz4,EFP,P4,0.2525623868444429,1.002901971903864
dmnelf001,DMN,hz4,HRF,P4,0.0432071461347117,1.0348553611735327
dmnelf001,DMN,hz4,TA,P3,0.1457321197942389,0.9951678081496824
dmnelf001,CEN,hz4,EFP,P4,0.2969706270948245,0.9749010773982164
dmnelf001,CEN,hz4,HRF,P4,0.0758283054112257,1.0185281758201632
dmnelf001,CEN,hz4,TA,P4,0.1085142677557448,1.004264209056153
dmnelf001,PDA,hz4,EFP,Oz,0.1500007714530675,1.0236427971735855
dmnelf001,PDA,hz4,HRF,Oz,0.1062327513830891,1.009841350067222
dmnelf001,PDA,hz4,TA,P3,0.1011254573623197,0.9973272188670989
dmnelf001,GSR_DMN,hz4,EFP,P3,0.2112289678848883,1.0395879919050293
dmnelf001,GSR_DMN,hz4,HRF,P3,0.1248929854950317,1.0376513099038391
dmnelf001,GSR_DMN,hz4,TA,P3,0.0840518722758963,1.033552681761009
dmnelf001,GSR_CEN,hz4,EFP,TP10,0.1109915190981073,1.0361131617159294
dmnelf001,GSR_CEN,hz4,HRF,TP10,0.0328369086121974,1.077937709561681
dmnelf001,GSR_CEN,hz4,TA,P3,-0.0552809909930479,1.0526383079785395
dmnelf001,GSR_PDA,hz4,EFP,Oz,0.1258390201147358,1.036581795709532
dmnelf001,GSR_PDA,hz4,HRF,Oz,0.0980120251748864,1.0124125533414374
dmnelf001,GSR_PDA,hz4,TA,P3,0.0916757370173355,0.9988306635943393
dmnelf001,VIS,hz4,EFP,O2,0.2872955468509707,0.970355249611652
dmnelf001,VIS,hz4,HRF,O2,0.1003891605960486,1.0272808475960566
dmnelf001,VIS,hz4,TA,P4,-0.0632923376744773,1.0242698223717297
dmnelf004,DMN,tr,EFP,CP2,0.3146616559167353,0.9954459606875542
dmnelf004,DMN,tr,HRF,CP2,0.1785428550372788,1.0494055376673577
dmnelf004,DMN,tr,TA,O1,0.1695138786170151,1.0539386872122714
dmnelf004,CEN,tr,EFP,FC2,0.2162095215762529,1.0312385386871512
