electrode,mean_r,p,fdr_sig
C3,0.05215054210229006,0.10428957104289571,False
C4,0.052984228818578706,0.05039496050394961,False
CP1,0.06381348326892064,0.0372962703729627,False
CP2,0.06091628037085471,0.0415958404159584,False
CP5,0.07096701411102699,0.0282971702829717,False
CP6,0.11427856970579695,0.0012998700129987,True
Cz,0.0876861095650459,0.020497950204979503,False
F3,0.06931627222395143,0.042195780421957804,False
F4,0.03913980858806681,0.0988901109889011,False
F7,0.0704409628540248,0.06979302069793021,False
F8,0.0554531502157265,0.07579242075792421,False
FC1,0.05404710762165815,0.11138886111388861,False
FC2,0.04491755460265381,0.14958504149585042,False
FC5,0.07839109110574294,0.0263973602639736,False
FC6,0.033418267282565715,0.17228277172282772,False
Fp1,0.06594395642972484,0.05119488051194881,False
Fp2,0.04388445458028152,0.11698830116988301,False
Fz,0.06912803975706133,0.0674932506749325,False
O1,0.06476239898571395,0.05629437056294371,False
O2,0.07513352652544059,0.0842915708429157,False
Oz,0.0551362299737786,0.11258874112588742,False
P3,0.06497093938183027,0.050994900509949,False
P4,0.05522997084028015,0.11458854114588542,False
P7,0.08953756870495205,0.028397160283971604,False
P8,0.10786164647608619,0.011398860113988602,False
POz,0.04020681941375534,0.20527947205279473,False
Pz,0.08224491195010997,0.03519648035196481,False
T7,0.07609257983266024,0.0226977302269773,False
T8,0.10156930837910541,0.0026997300269973002,True
TP10,0.048562734433927036,0.1232876712328767,False
TP9,0.06106765563526567,0.0273972602739726,False
