electrode,mean_r,p,fdr_sig
C3,0.022852087993727836,0.18248175182481752,False
C4,0.01764234559338671,0.29957004299570045,False
CP1,0.09408132996290328,0.007999200079992,False
CP2,0.04849896093201084,0.0862913708629137,False
CP5,0.03749796663295382,0.0685931406859314,False
CP6,0.006845180021558853,0.4286571342865713,False
Cz,0.07277860525377128,0.025897410258974102,False
F3,0.021476241987228986,0.26137386261373863,False
F4,0.021114950432345462,0.1787821217878212,False
F7,0.018633986992245152,0.31626837316268375,False
F8,0.03562619059143537,0.10768923107689231,False
FC1,0.054342713629880295,0.07729227077292271,False
FC2,0.026329292926679813,0.21057894210578942,False
FC5,0.04811324150706502,0.0999900009999,False
FC6,-0.017877973077281575,0.7572242775722428,False
Fp1,0.02344620593880326,0.2525747425257474,False
Fp2,0.03318608523086949,0.1456854314568543,False
Fz,0.056797868200019634,0.027697230276972302,False
O1,0.045919099485481084,0.10728927107289271,False
O2,0.06062311220680082,0.034596540345965404,False
Oz,0.056585834018833214,0.0494950504949505,False
P3,0.049279616011374094,0.04709529047095291,False
P4,0.05858180987268956,0.063993600639936,False
P7,0.05651946259179515,0.04329567043295671,False
P8,0.009004473785399682,0.41445855414458554,False
POz,0.0649867650393849,0.059994000599940006,False
Pz,0.14353529024617348,0.0006999300069993001,True
T7,0.02798047831922442,0.24747525247475252,False
T8,0.007940528909953419,0.406959304069593,False
TP10,-0.011698131892360302,0.644035596440356,False
TP9,0.003693735059858531,0.44075592440755923,False
