electrode,mean_r,p,fdr_sig
C3,0.030133106534372563,0.21097890210978903,False
C4,0.011064439381054158,0.36826317368263173,False
CP1,0.03823037234543519,0.1822817718228177,False
CP2,0.017231534813395757,0.31366863313668636,False
CP5,0.043466646745009066,0.0943905609439056,False
CP6,0.03483025006736066,0.1685831416858314,False
Cz,0.002769334133851748,0.46795320467953205,False
F3,0.023940341337873455,0.24337566243375663,False
F4,-0.009502480634656205,0.6382361763823617,False
F7,0.04311698588207448,0.12638736126387362,False
F8,0.010330989112320972,0.3594640535946405,False
FC1,0.01855015911967227,0.31016898310168983,False
FC2,0.014445434346908275,0.35566443355664434,False
FC5,0.016686375154416826,0.3427657234276572,False
FC6,0.004185406565671545,0.45045495450454953,False
Fp1,0.04414590560787451,0.12108789121087891,False
Fp2,0.00328186116396287,0.47155284471552844,False
Fz,-0.006278379641893787,0.5942405759424058,False
O1,0.032005945037467246,0.20667933206679331,False
O2,0.0562036584744558,0.0861913808619138,False
Oz,0.040295023500132636,0.1621837816218378,False
P3,0.041560788304071415,0.16008399160083991,False
P4,0.03806664141956366,0.1780821917808219,False
P7,-0.005401047499679672,0.5889411058894111,False
P8,0.020637138074247784,0.2736726327367263,False
POz,0.014832147331208193,0.3398660133986601,False
Pz,0.05937402616010228,0.045495450454954504,False
T7,0.030533339669970426,0.16998300169983002,False
T8,0.014739759718343619,0.2830716928307169,False
TP10,0.0287987234847196,0.1377862213778622,False
TP9,-0.0032351982019086572,0.5466453354664533,False
