subject,target,resolution,electrode,r
dmnelf001,DMN,tr,Fp1,0.12801977430690606
dmnelf001,DMN,tr,Fp2,0.07073901516598011
dmnelf001,DMN,tr,F3,0.0693752684582322
dmnelf001,DMN,tr,F4,0.17903001940568863
dmnelf001,DMN,tr,C3,0.23059977816610946
dmnelf001,DMN,tr,C4,0.11918160162468575
dmnelf001,DMN,tr,P3,0.3137192385034333
dmnelf001,DMN,tr,P4,0.27188103790595963
dmnelf001,DMN,tr,O1,0.3512072293681476
dmnelf001,DMN,tr,O2,0.33649679260905396
dmnelf001,DMN,tr,F7,0.12330135106841811
dmnelf001,DMN,tr,F8,0.061835557128029434
dmnelf001,DMN,tr,T7,0.11046487816504373
dmnelf001,DMN,tr,T8,0.11098536101086731
dmnelf001,DMN,tr,P7,0.2624558973277597
dmnelf001,DMN,tr,P8,0.13729507286137593
dmnelf001,DMN,tr,Fz,0.14620407180532086
dmnelf001,DMN,tr,Cz,0.24971765378968988
dmnelf001,DMN,tr,Pz,0.36520902188563775
dmnelf001,DMN,tr,Oz,0.27016150049128845
dmnelf001,DMN,tr,FC1,0.20772398082012258
dmnelf001,DMN,tr,FC2,0.27390792186041224
dmnelf001,DMN,tr,CP1,0.29551319982393265
dmnelf001,DMN,tr,CP2,0.24421176882286086
dmnelf001,DMN,tr,FC5,0.08784991996077171
dmnelf001,DMN,tr,FC6,0.08480699416204099
dmnelf001,DMN,tr,CP5,0.1957587104267594
dmnelf001,DMN,tr,CP6,0.11363338724473326
dmnelf001,DMN,tr,TP9,0.19777788422357478
dmnelf001,DMN,tr,TP10,0.07652171199924211
dmnelf001,DMN,tr,POz,0.18679075229146141
dmnelf004,DMN,tr,Fp1,-0.0965273524032631
dmnelf004,DMN,tr,Fp2,-0.18502260062570058
dmnelf004,DMN,tr,F3,-0.0027937638999076947
dmnelf004,DMN,tr,F4,0.035944855745553596
dmnelf004,DMN,tr,C3,0.018538890417155087
dmnelf004,DMN,tr,C4,0.28146223473727683
dmnelf004,DMN,tr,P3,-0.09794518265337879
dmnelf004,DMN,tr,P4,0.12949893614393673
dmnelf004,DMN,tr,O1,0.07891020505569274
dmnelf004,DMN,tr,O2,0.0142841370657159
dmnelf004,DMN,tr,F7,0.006099624469542812
dmnelf004,DMN,tr,F8,-0.0474711797385797
dmnelf004,DMN,tr,T7,-0.015376952050464403
dmnelf004,DMN,tr,T8,0.07469885901804406
dmnelf004,DMN,tr,P7,-0.08723721613284392
dmnelf004,DMN,tr,P8,0.06116032128198588
dmnelf004,DMN,tr,Fz,0.1251502185707591
dmnelf004,DMN,tr,Cz,0.3426137246810994
dmnelf004,DMN,tr,Pz,0.17861574404661923
dmnelf004,DMN,tr,Oz,0.2150578274738948
dmnelf004,DMN,tr,FC1,0.1280801218769375
dmnelf004,DMN,tr,FC2,0.23606839718370926
dmnelf004,DMN,tr,CP1,0.003997441733109827
dmnelf004,DMN,tr,CP2,0.1955237136475852
dmnelf004,DMN,tr,FC5,0.2560349064449314
dmnelf004,DMN,tr,FC6,-0.09034730431845435
dmnelf004,DMN,tr,CP5,0.12669682058065154
dmnelf004,DMN,tr,CP6,0.004478293855618895
dmnelf004,DMN,tr,TP9,-0.04581915940907458
dmnelf004,DMN,tr,TP10,0.11946240205219211
dmnelf004,DMN,tr,POz,-0.04046330079267313
dmnelf005,DMN,tr,Fp1,-0.009921885603615292
dmnelf005,DMN,tr,Fp2,0.07751241483365798
dmnelf005,DMN,tr,F3,0.07112875672278629
dmnelf005,DMN,tr,F4,0.13092145007912748
dmnelf005,DMN,tr,C3,0.09008101677453642
dmnelf005,DMN,tr,C4,-0.0072485672778994995
dmnelf005,DMN,tr,P3,0.16982728226169663
dmnelf005,DMN,tr,P4,0.1872020776279198
dmnelf005,DMN,tr,O1,0.12260043238632543
dmnelf005,DMN,tr,O2,0.04576563139657713
dmnelf005,DMN,tr,F7,0.1690473583208889
dmnelf005,DMN,tr,F8,0.13194979306743845
dmnelf005,DMN,tr,T7,0.05380438474245426
dmnelf005,DMN,tr,T8,0.1232891501859486
dmnelf005,DMN,tr,P7,0.1805637333374207
dmnelf005,DMN,tr,P8,0.19032536470017564
dmnelf005,DMN,tr,Fz,0.21533897624973428
dmnelf005,DMN,tr,Cz,0.05478534309084558
dmnelf005,DMN,tr,Pz,0.043687582719703
dmnelf005,DMN,tr,Oz,0.07907856847058574
dmnelf005,DMN,tr,FC1,0.16618616662167268
dmnelf005,DMN,tr,FC2,0.13134150619110915
dmnelf005,DMN,tr,CP1,0.018788955969467773
dmnelf005,DMN,tr,CP2,0.05557504035843512
dmnelf005,DMN,tr,FC5,0.11033825921611916
dmnelf005,DMN,tr,FC6,0.12438119285272632
dmnelf005,DMN,tr,CP5,0.1486459859452177
dmnelf005,DMN,tr,CP6,0.1626844053560921
dmnelf005,DMN,tr,TP9,0.1278789667125173
dmnelf005,DMN,tr,TP10,0.1373970291444454
dmnelf005,DMN,tr,POz,0.153575854983502
dmnelf006,DMN,tr,Fp1,0.06337606089130013
dmnelf006,DMN,tr,Fp2,0.23327411990734906
dmnelf006,DMN,tr,F3,0.07141182286969956
dmnelf006,DMN,tr,F4,0.18068030838565982
dmnelf006,DMN,tr,C3,0.00804473124562119
dmnelf006,DMN,tr,C4,0.1862756139266345
dmnelf006,DMN,tr,P3,0.20967864274901113
dmnelf006,DMN,tr,P4,0.272764105468067
dmnelf006,DMN,tr,O1,0.43825899249628986
dmnelf006,DMN,tr,O2,0.28115508758991337
dmnelf006,DMN,tr,F7,0.06639309727575843
dmnelf006,DMN,tr,F8,0.17335593272352603
dmnelf006,DMN,tr,T7,0.040963465967664335
dmnelf006,DMN,tr,T8,0.29398795766047725
dmnelf006,DMN,tr,P7,0.13550390428054732
dmnelf006,DMN,tr,P8,0.22386434789031676
dmnelf006,DMN,tr,Fz,0.1374939186817647
dmnelf006,DMN,tr,Cz,0.20373510739810802
dmnelf006,DMN,tr,Pz,0.20957721030386206
dmnelf006,DMN,tr,Oz,0.36801520520666575
dmnelf006,DMN,tr,FC1,0.17473246153607813
dmnelf006,DMN,tr,FC2,-0.06679091583877104
dmnelf006,DMN,tr,CP1,0.18271331124818502
dmnelf006,DMN,tr,CP2,-0.01888751119093557
dmnelf006,DMN,tr,FC5,0.010084292006778323
dmnelf006,DMN,tr,FC6,0.1522767373951746
dmnelf006,DMN,tr,CP5,0.3352120127637005
dmnelf006,DMN,tr,CP6,0.20142206238474744
dmnelf006,DMN,tr,TP9,0.004332973034630004
dmnelf006,DMN,tr,TP10,0.07097056302207044
dmnelf006,DMN,tr,POz,0.15307947200948577
dmnelf007,DMN,tr,Fp1,0.2545321966424062
dmnelf007,DMN,tr,Fp2,0.31068818364145645
dmnelf007,DMN,tr,F3,0.23165195167019142
dmnelf007,DMN,tr,F4,0.08670237255091566
dmnelf007,DMN,tr,C3,-0.007912728347709147
dmnelf007,DMN,tr,C4,-0.10655245560579123
dmnelf007,DMN,tr,P3,-0.12594326062623337
dmnelf007,DMN,tr,P4,0.14973494571309665
dmnelf007,DMN,tr,O1,0.1510273916756763
dmnelf007,DMN,tr,O2,0.32461722230957335
dmnelf007,DMN,tr,F7,-0.1366843971654604
dmnelf007,DMN,tr,F8,0.15397635865070394
dmnelf007,DMN,tr,T7,0.1289371857133952
dmnelf007,DMN,tr,T8,-0.11072445198738619
dmnelf007,DMN,tr,P7,0.0459507089067617
dmnelf007,DMN,tr,P8,0.2260939662115249
dmnelf007,DMN,tr,Fz,0.09038888262722129
dmnelf007,DMN,tr,Cz,-0.20446839718271784
dmnelf007,DMN,tr,Pz,0.07351924688651917
dmnelf007,DMN,tr,Oz,0.26806274043381384
dmnelf007,DMN,tr,FC1,0.17844837778267517
dmnelf007,DMN,tr,FC2,-0.042567329298235604
dmnelf007,DMN,tr,CP1,-0.10345210191289884
dmnelf007,DMN,tr,CP2,-0.04863914819402393
dmnelf007,DMN,tr,FC5,0.07886949313753336
dmnelf007,DMN,tr,FC6,-0.0464772247631004
dmnelf007,DMN,tr,CP5,-0.04216044590074538
dmnelf007,DMN,tr,CP6,0.22839690145077773
dmnelf007,DMN,tr,TP9,0.14251279533163969
dmnelf007,DMN,tr,TP10,0.10518714897289541
dmnelf007,DMN,tr,POz,0.05317811588675868
dmnelf008,DMN,tr,Fp1,0.1798868105016837
dmnelf008,DMN,tr,Fp2,0.19276573822235643
dmnelf008,DMN,tr,F3,0.08725101208431488
dmnelf008,DMN,tr,F4,0.09517631269451418
dmnelf008,DMN,tr,C3,0.08503425250209781
dmnelf008,DMN,tr,C4,0.1101816202996536
dmnelf008,DMN,tr,P3,0.0659477458995363
dmnelf008,DMN,tr,P4,0.1706769135530068
dmnelf008,DMN,tr,O1,0.1430004878793479
dmnelf008,DMN,tr,O2,0.23988592579390333
dmnelf008,DMN,tr,F7,0.1394548735675994
dmnelf008,DMN,tr,F8,0.13518170437796384
dmnelf008,DMN,tr,T7,0.16179830844309967
dmnelf008,DMN,tr,T8,0.16662105928712487
dmnelf008,DMN,tr,P7,0.09859397550493759
dmnelf008,DMN,tr,P8,0.13219288455484712
dmnelf008,DMN,tr,Fz,0.0886840468653901
dmnelf008,DMN,tr,Cz,0.08838833872003479
dmnelf008,DMN,tr,Pz,0.24500269160479837
dmnelf008,DMN,tr,Oz,0.23773056064065756
dmnelf008,DMN,tr,FC1,0.09854307363609205
dmnelf008,DMN,tr,FC2,0.03398578657367239
dmnelf008,DMN,tr,CP1,0.06732208694549768
dmnelf008,DMN,tr,CP2,0.08273427094050509
dmnelf008,DMN,tr,FC5,0.13183405563959363
dmnelf008,DMN,tr,FC6,0.1118668797409668
dmnelf008,DMN,tr,CP5,0.15660197231601342
dmnelf008,DMN,tr,CP6,0.10228925456734839
dmnelf008,DMN,tr,TP9,0.12666093027288394
dmnelf008,DMN,tr,TP10,0.17212883087352704
dmnelf008,DMN,tr,POz,0.1593227929563933
dmnelf009,DMN,tr,Fp1,0.2645681586171081
dmnelf009,DMN,tr,Fp2,0.006222505060086002
dmnelf009,DMN,tr,F3,0.1878838477178048
dmnelf009,DMN,tr,F4,-0.04155678868211347
dmnelf009,DMN,tr,C3,0.08256940573370106
dmnelf009,DMN,tr,C4,0.15951728256802428
dmnelf009,DMN,tr,P3,0.016347548081810652
dmnelf009,DMN,tr,P4,0.30033126685594563
dmnelf009,DMN,tr,O1,0.15977071732821396
dmnelf009,DMN,tr,O2,0.2377691668648348
dmnelf009,DMN,tr,F7,0.4914658094427504
dmnelf009,DMN,tr,F8,0.1295281101296917
dmnelf009,DMN,tr,T7,0.3423080557991838
dmnelf009,DMN,tr,T8,0.31244624437532115
dmnelf009,DMN,tr,P7,0.1458894437648817
dmnelf009,DMN,tr,P8,0.33616807158055967
dmnelf009,DMN,tr,Fz,-0.0031878341257598405
dmnelf009,DMN,tr,Cz,0.14508316021002113
dmnelf009,DMN,tr,Pz,0.01833973787982022
dmnelf009,DMN,tr,Oz,0.19020188547890915
dmnelf009,DMN,tr,FC1,0.11079184431442235
dmnelf009,DMN,tr,FC2,0.04370780358398028
dmnelf009,DMN,tr,CP1,0.05108082319055733
dmnelf009,DMN,tr,CP2,0.10614034693962252
dmnelf009,DMN,tr,FC5,0.2606847194573463
dmnelf009,DMN,tr,FC6,0.06395736996184616
dmnelf009,DMN,tr,CP5,0.13563323328998478
dmnelf009,DMN,tr,CP6,0.2675953344514319
dmnelf009,DMN,tr,TP9,0.25536784066659496
dmnelf009,DMN,tr,TP10,0.22139452369765505
dmnelf009,DMN,tr,POz,0.06588581411411545
dmnelf010,DMN,tr,Fp1,0.2519949113380697
dmnelf010,DMN,tr,Fp2,0.2023985613732644
dmnelf010,DMN,tr,F3,0.22971138175388636
dmnelf010,DMN,tr,F4,0.38673174531629295
dmnelf010,DMN,tr,C3,0.3045505815686552
dmnelf010,DMN,tr,C4,0.32047261856790427
dmnelf010,DMN,tr,P3,0.263575334626195
dmnelf010,DMN,tr,P4,0.11902111591347234
dmnelf010,DMN,tr,O1,0.3310076264186824
dmnelf010,DMN,tr,O2,0.23254798693921513
dmnelf010,DMN,tr,F7,0.20270914343245988
dmnelf010,DMN,tr,F8,0.34069910365771694
dmnelf010,DMN,tr,T7,0.0974686629476447
dmnelf010,DMN,tr,T8,0.10605156143427194
dmnelf010,DMN,tr,P7,0.3098495991528476
dmnelf010,DMN,tr,P8,0.2582911012273448
dmnelf010,DMN,tr,Fz,0.20090336503224493
dmnelf010,DMN,tr,Cz,0.12791953915102122
dmnelf010,DMN,tr,Pz,0.15898527081616076
dmnelf010,DMN,tr,Oz,0.3525472451762198
dmnelf010,DMN,tr,FC1,0.3987943223677414
dmnelf010,DMN,tr,FC2,0.2771569918978888
dmnelf010,DMN,tr,CP1,0.40395802704905703
dmnelf010,DMN,tr,CP2,0.016554819983873436
dmnelf010,DMN,tr,FC5,0.3165980104241405
dmnelf010,DMN,tr,FC6,0.31450880248263174
dmnelf010,DMN,tr,CP5,0.21632732282783837
dmnelf010,DMN,tr,CP6,0.2726156276956724
dmnelf010,DMN,tr,TP9,0.11746614308355685
dmnelf010,DMN,tr,TP10,0.2944491565815072
dmnelf010,DMN,tr,POz,0.1072510250842155
dmnelf011,DMN,tr,Fp1,0.08877965024681692
dmnelf011,DMN,tr,Fp2,0.15799932689961702
dmnelf011,DMN,tr,F3,0.09515889210090048
dmnelf011,DMN,tr,F4,0.14697695704750283
dmnelf011,DMN,tr,C3,0.21968012908283907
dmnelf011,DMN,tr,C4,0.2521276097268164
dmnelf011,DMN,tr,P3,0.07584980696253943
dmnelf011,DMN,tr,P4,0.2098355186950668
dmnelf011,DMN,tr,O1,0.16935050668595453
dmnelf011,DMN,tr,O2,0.22095794116556586
dmnelf011,DMN,tr,F7,0.19156199297401647
dmnelf011,DMN,tr,F8,0.2218010525948982
dmnelf011,DMN,tr,T7,0.17387411727774557
dmnelf011,DMN,tr,T8,0.23576545038430224
dmnelf011,DMN,tr,P7,0.11803264665943984
dmnelf011,DMN,tr,P8,0.17852142265260984
dmnelf011,DMN,tr,Fz,0.2544940007306308
dmnelf011,DMN,tr,Cz,0.10778628403487292
dmnelf011,DMN,tr,Pz,0.13889004096517651
dmnelf011,DMN,tr,Oz,0.24901957784669024
dmnelf011,DMN,tr,FC1,0.08361151753482042
dmnelf011,DMN,tr,FC2,0.1056608188795985
dmnelf011,DMN,tr,CP1,0.20084215495978686
dmnelf011,DMN,tr,CP2,0.09762352174366315
dmnelf011,DMN,tr,FC5,0.21713914940801218
dmnelf011,DMN,tr,FC6,0.14916546411343928
dmnelf011,DMN,tr,CP5,0.16165478838448655
dmnelf011,DMN,tr,CP6,0.27786643354176616
dmnelf011,DMN,tr,TP9,0.1040322866671533
dmnelf011,DMN,tr,TP10,0.17079282593226577
dmnelf011,DMN,tr,POz,0.17392256280593338
dmnelf012,DMN,tr,Fp1,-0.03874625964784867
dmnelf012,DMN,tr,Fp2,0.022687877108881274
dmnelf012,DMN,tr,F3,0.1695147903405414
dmnelf012,DMN,tr,F4,0.026999832449972727
dmnelf012,DMN,tr,C3,0.06896523071958882
dmnelf012,DMN,tr,C4,0.1639060006165564
dmnelf012,DMN,tr,P3,0.09684617688025352
dmnelf012,DMN,tr,P4,-0.0935920826643906
dmnelf012,DMN,tr,O1,0.08070442600184327
dmnelf012,DMN,tr,O2,-0.16315612736302063
dmnelf012,DMN,tr,F7,0.02938444924367401
dmnelf012,DMN,tr,F8,0.17539267530894717
dmnelf012,DMN,tr,T7,0.09947088782095485
dmnelf012,DMN,tr,T8,0.22017834004529957
dmnelf012,DMN,tr,P7,0.19561852772041335
dmnelf012,DMN,tr,P8,0.0854466677594562
dmnelf012,DMN,tr,Fz,0.0648671415896105
dmnelf012,DMN,tr,Cz,0.1094324341632737
