subject,target,ttype,mode,window,r,cohort
dmnelf001,CEN,clean,all,fb,0.0240683629646211,dmnelf
dmnelf001,CEN,clean,epoc,fb,0.0229495513629508,dmnelf
dmnelf001,DMN,clean,all,fb,0.0306397182869831,dmnelf
dmnelf001,DMN,clean,epoc,fb,0.0381271920565423,dmnelf
dmnelf001,PDA,clean,all,fb,-0.055031168353703,dmnelf
dmnelf001,PDA,clean,epoc,fb,-0.0104887572330645,dmnelf
dmnelf004,CEN,clean,all,fb,-0.0882760415445771,dmnelf
dmnelf004,CEN,clean,epoc,fb,-0.0568560848798699,dmnelf
dmnelf004,DMN,clean,all,fb,0.003318525421652,dmnelf
dmnelf004,DMN,clean,epoc,fb,-0.0130741974932552,dmnelf
dmnelf004,PDA,clean,all,fb,-0.0237100768893311,dmnelf
dmnelf004,PDA,clean,epoc,fb,-0.0693216329691259,dmnelf
dmnelf005,CEN,clean,all,fb,0.3240874002719953,dmnelf
dmnelf005,CEN,clean,epoc,fb,0.2980188540992116,dmnelf
dmnelf005,DMN,clean,all,fb,-0.0066644249158089,dmnelf
dmnelf005,DMN,clean,epoc,fb,-0.0651730472084555,dmnelf
dmnelf005,PDA,clean,all,fb,0.2287408881391474,dmnelf
dmnelf005,PDA,clean,epoc,fb,0.174902291303109,dmnelf
dmnelf006,CEN,clean,all,fb,-0.0385174382563752,dmnelf
dmnelf006,CEN,clean,epoc,fb,-0.0414009585959907,dmnelf
dmnelf006,DMN,clean,all,fb,0.1737360663866208,dmnelf
dmnelf006,DMN,clean,epoc,fb,0.1796928805352788,dmnelf
dmnelf006,PDA,clean,all,fb,0.0390804285520527,dmnelf
dmnelf006,PDA,clean,epoc,fb,-0.0278275015723037,dmnelf
dmnelf007,CEN,clean,all,fb,0.2431738111287813,dmnelf
dmnelf007,CEN,clean,epoc,fb,0.2349795247122577,dmnelf
dmnelf007,DMN,clean,all,fb,0.1315392827297598,dmnelf
dmnelf007,DMN,clean,epoc,fb,0.1348068433481529,dmnelf
dmnelf007,PDA,clean,all,fb,-0.0065251736798833,dmnelf
dmnelf007,PDA,clean,epoc,fb,-0.0425069165731225,dmnelf
dmnelf008,CEN,clean,all,fb,0.2013807995145125,dmnelf
dmnelf008,CEN,clean,epoc,fb,0.2185841782831767,dmnelf
dmnelf008,DMN,clean,all,fb,0.0784401779182708,dmnelf
dmnelf008,DMN,clean,epoc,fb,0.0690982352527345,dmnelf
dmnelf008,PDA,clean,all,fb,0.1644460230122814,dmnelf
dmnelf008,PDA,clean,epoc,fb,0.2118791472331065,dmnelf
dmnelf009,CEN,clean,all,fb,-0.1319652911347304,dmnelf
dmnelf009,CEN,clean,epoc,fb,-0.1067486771122759,dmnelf
dmnelf009,DMN,clean,all,fb,0.2777882650301139,dmnelf
dmnelf009,DMN,clean,epoc,fb,0.2755581772519826,dmnelf
dmnelf009,PDA,clean,all,fb,0.0768399804460083,dmnelf
dmnelf009,PDA,clean,epoc,fb,0.0356662708932345,dmnelf
dmnelf010,CEN,clean,all,fb,0.0827320023257965,dmnelf
dmnelf010,CEN,clean,epoc,fb,0.0209947622880898,dmnelf
dmnelf010,DMN,clean,all,fb,0.0431590055527802,dmnelf
dmnelf010,DMN,clean,epoc,fb,0.0372353208564013,dmnelf
dmnelf010,PDA,clean,all,fb,0.1184124086113357,dmnelf
dmnelf010,PDA,clean,epoc,fb,0.0452462390796858,dmnelf
dmnelf011,CEN,clean,all,fb,0.183607081895448,dmnelf
dmnelf011,CEN,clean,epoc,fb,0.1764820791580262,dmnelf
dmnelf011,DMN,clean,all,fb,0.1162214579736207,dmnelf
dmnelf011,DMN,clean,epoc,fb,0.1289827118256971,dmnelf
dmnelf011,PDA,clean,all,fb,-0.0356026307174048,dmnelf
dmnelf011,PDA,clean,epoc,fb,-0.0452567634791658,dmnelf
dmnelf012,CEN,clean,all,fb,-0.0990499464928716,dmnelf
dmnelf012,CEN,clean,epoc,fb,-0.0887784903947074,dmnelf
dmnelf012,DMN,clean,all,fb,0.0187002643939107,dmnelf
