subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf001,DMN,tr,EFP,P4,0.2503216317259595,0.994712963238251
dmnelf001,DMN,tr,HRF,P4,0.14513578280700185,1.0470437589623003
dmnelf001,DMN,tr,TA,O2,0.1907615491684389,0.9854104924137779
dmnelf001,CEN,tr,EFP,P4,0.32970445738394316,0.9553634379763818
dmnelf001,CEN,tr,HRF,P4,0.20217504097415823,1.0300567047256386
dmnelf001,CEN,tr,TA,O2,0.18072056948711746,1.0019968643290509
dmnelf001,PDA,tr,EFP,P4,0.004136174467406601,1.0110327466840132
dmnelf001,PDA,tr,HRF,P4,0.16449459290567198,1.0159370358719486
dmnelf001,PDA,tr,TA,O2,0.03909962695121076,1.0108447371541702
dmnelf001,GSR_DMN,tr,EFP,F7,0.12627701526733215,1.0198493346397826
dmnelf001,GSR_DMN,tr,HRF,F7,0.16001782187304844,1.0524557978020646
dmnelf001,GSR_DMN,tr,TA,O2,0.2927039671803462,0.9762925969436079
dmnelf001,GSR_CEN,tr,EFP,P8,0.1882275182343176,1.0083687900491731
dmnelf001,GSR_CEN,tr,HRF,P8,0.07472987104630889,1.0924658449568692
dmnelf001,GSR_CEN,tr,TA,O2,0.26894504761838406,1.0078858096166774
dmnelf001,GSR_PDA,tr,EFP,P4,-2.1363283532245644e-05,1.011873926705825
dmnelf001,GSR_PDA,tr,HRF,P4,0.18745236721463301,1.000934757528576
dmnelf001,GSR_PDA,tr,TA,O2,0.06390259654031849,1.0092243565289054
dmnelf001,DMN,hz4,EFP,P4,0.25256238684444393,1.0029019719038639
dmnelf001,DMN,hz4,HRF,P4,0.04320714613472482,1.0348553611735316
dmnelf001,DMN,hz4,TA,P3,0.1457321197942389,0.9951678081496821
dmnelf001,CEN,hz4,EFP,P4,0.29697062709482447,0.9749010773982161
dmnelf001,CEN,hz4,HRF,P4,0.07582830541122579,1.018528175820172
dmnelf001,CEN,hz4,TA,P4,0.10851426775574491,1.0042642090561527
dmnelf001,PDA,hz4,EFP,Oz,0.15000077145306662,1.0236427971735862
dmnelf001,PDA,hz4,HRF,Oz,0.10623275138308472,1.00984135006723
dmnelf001,PDA,hz4,TA,P3,0.10112545736231962,0.9973272188670987
dmnelf001,GSR_DMN,hz4,EFP,P3,0.21122896788488937,1.0395879919050297
dmnelf001,GSR_DMN,hz4,HRF,P3,0.12489298549504727,1.037651309903839
dmnelf001,GSR_DMN,hz4,TA,P3,0.084051872275897,1.0335526817610112
dmnelf001,GSR_CEN,hz4,EFP,TP10,0.11099151909810603,1.0361131617159316
dmnelf001,GSR_CEN,hz4,HRF,TP10,0.03283690861220427,1.077937709561682
dmnelf001,GSR_CEN,hz4,TA,P3,-0.05528099099304755,1.052638307978541
dmnelf001,GSR_PDA,hz4,EFP,Oz,0.12583902011473533,1.0365817957095333
dmnelf001,GSR_PDA,hz4,HRF,Oz,0.09801202517488802,1.0124125533414412
dmnelf001,GSR_PDA,hz4,TA,P3,0.0916757370173351,0.9988306635943396
