montage,n_ch,target,held_out,alpha,r
epoc12,12,CEN,dmnelf001,100000000.0,0.05155614719671492
epoc12,12,CEN,dmnelf002,100000000.0,0.03223918241399978
epoc12,12,CEN,dmnelf003,100000000.0,0.07353063134281056
epoc12,12,CEN,dmnelf004,100000000.0,-0.05863884099134591
epoc12,12,CEN,dmnelf005,100000000.0,0.21583447267033623
epoc12,12,CEN,dmnelf006,100000000.0,0.08883672369314251
epoc12,12,CEN,dmnelf007,100000000.0,0.05174839581864634
epoc12,12,CEN,dmnelf008,100000000.0,0.02667132527798915
epoc12,12,CEN,dmnelf009,100000000.0,-0.03538362066400795
epoc12,12,CEN,dmnelf010,100000000.0,0.061372939786157155
epoc12,12,CEN,dmnelf011,100000000.0,0.11898729206802447
epoc12,12,CEN,dmnelf012,100000000.0,0.032996785427751404
epoc12,12,CEN,dmnelf013,100000000.0,0.05935283746870985
epoc12,12,CEN,dmnelf014,100000000.0,0.15043955437137688
epoc12,12,CEN,dmnelf015,100000000.0,0.20813183376299607
epoc12,12,CEN,dmnelf016,100000000.0,0.08132205539271734
epoc12,12,CEN,dmnelf1001,100000000.0,0.09003390812600093
epoc12,12,CEN,dmnelf1002,100000000.0,-0.2641352741969448
epoc12,12,CEN,dmnelf1003,100000000.0,-0.029288003241820453
epoc12,12,DMN,dmnelf001,215.44346900318823,0.03194063621552754
epoc12,12,DMN,dmnelf002,100000000.0,-0.013083997299937755
epoc12,12,DMN,dmnelf003,2154.4346900318824,-0.03820396451118762
epoc12,12,DMN,dmnelf004,4641.588833612777,-0.028788093024446213
epoc12,12,DMN,dmnelf005,100000000.0,0.11431274608538221
epoc12,12,DMN,dmnelf006,100000000.0,0.05860522485777746
epoc12,12,DMN,dmnelf007,100000000.0,0.07195533081573471
epoc12,12,DMN,dmnelf008,464158.8833612772,-0.06270965508007689
epoc12,12,DMN,dmnelf009,21544.346900318822,-0.059550770409878696
epoc12,12,DMN,dmnelf010,464158.8833612772,0.08755484904300416
epoc12,12,DMN,dmnelf011,100000.0,0.02376305426827346
epoc12,12,DMN,dmnelf012,100000000.0,0.04348937753704429
epoc12,12,DMN,dmnelf013,10000.0,0.08781420621806128
epoc12,12,DMN,dmnelf014,10000.0,0.009884406627159234
epoc12,12,DMN,dmnelf015,4641.588833612777,0.006317192072882442
epoc12,12,DMN,dmnelf016,10000.0,0.08900481724944169
epoc12,12,DMN,dmnelf1001,2154.4346900318824,-0.021899148253628643
epoc12,12,DMN,dmnelf1002,100000000.0,-0.1255403012883291
epoc12,12,DMN,dmnelf1003,1000.0,0.037927938259955656
epoc12,12,PDA,dmnelf001,1.0,0.04883891244654474
epoc12,12,PDA,dmnelf002,1.0,-0.11492619902992557
epoc12,12,PDA,dmnelf003,1.0,0.007005203024985247
epoc12,12,PDA,dmnelf004,1.0,0.04006019809938295
epoc12,12,PDA,dmnelf005,1.0,-0.03166177308023919
epoc12,12,PDA,dmnelf006,10.0,0.03902996704167772
epoc12,12,PDA,dmnelf007,46.41588833612777,-0.03175757333233885
epoc12,12,PDA,dmnelf008,215.44346900318823,-0.0016691047397830174
epoc12,12,PDA,dmnelf009,46.41588833612777,0.0614487623713657
epoc12,12,PDA,dmnelf010,1.0,0.1440145137893953
epoc12,12,PDA,dmnelf011,21.544346900318832,0.21189234611234684
epoc12,12,PDA,dmnelf012,4.641588833612778,0.10793642518894585
epoc12,12,PDA,dmnelf013,1.0,0.013376322317885572
epoc12,12,PDA,dmnelf014,1.0,-0.005314498956191567
epoc12,12,PDA,dmnelf015,10.0,-0.12103044663364967
epoc12,12,PDA,dmnelf016,1.0,-0.0037243202292080225
epoc12,12,PDA,dmnelf1001,1.0,0.10907774260453684
epoc12,12,PDA,dmnelf1002,4.641588833612778,-0.10297636297911494
epoc12,12,PDA,dmnelf1003,1.0,0.05428017632419765
epoc12_pz,13,CEN,dmnelf001,100000000.0,0.054918643233031535
epoc12_pz,13,CEN,dmnelf002,100000000.0,0.032980328480826195
epoc12_pz,13,CEN,dmnelf003,100000000.0,0.07131173266736919
epoc12_pz,13,CEN,dmnelf004,100000000.0,-0.0566482017678639
epoc12_pz,13,CEN,dmnelf005,100000000.0,0.2202526113213371
epoc12_pz,13,CEN,dmnelf006,100000000.0,0.09035698345293791
epoc12_pz,13,CEN,dmnelf007,2154434.6900318824,0.05583126817775905
epoc12_pz,13,CEN,dmnelf008,100000000.0,0.028547433401262114
epoc12_pz,13,CEN,dmnelf009,100000000.0,-0.024567644196221067
epoc12_pz,13,CEN,dmnelf010,100000000.0,0.06312087435523894
epoc12_pz,13,CEN,dmnelf011,100000000.0,0.12007387650702535
epoc12_pz,13,CEN,dmnelf012,100000000.0,0.03399099159333548
epoc12_pz,13,CEN,dmnelf013,100000000.0,0.05673586644330783
epoc12_pz,13,CEN,dmnelf014,100000000.0,0.1508176457993488
epoc12_pz,13,CEN,dmnelf015,100000000.0,0.20384534346046498
epoc12_pz,13,CEN,dmnelf016,100000000.0,0.08061665863474365
epoc12_pz,13,CEN,dmnelf1001,100000000.0,0.09359934919178164
epoc12_pz,13,CEN,dmnelf1002,100000000.0,-0.2633147570249315
epoc12_pz,13,CEN,dmnelf1003,100000000.0,-0.02839054506451498
epoc12_pz,13,DMN,dmnelf001,100000000.0,0.049829549819436394
epoc12_pz,13,DMN,dmnelf002,100000000.0,-0.013672409239775316
epoc12_pz,13,DMN,dmnelf003,2154.4346900318824,-0.040565243545674354
epoc12_pz,13,DMN,dmnelf004,4641.588833612777,-0.024183269919714267
epoc12_pz,13,DMN,dmnelf005,100000000.0,0.11373827681108846
epoc12_pz,13,DMN,dmnelf006,100000000.0,0.05815124916166431
epoc12_pz,13,DMN,dmnelf007,100000000.0,0.07167572700815268
epoc12_pz,13,DMN,dmnelf008,464158.8833612772,-0.06361457768265791
epoc12_pz,13,DMN,dmnelf009,21544.346900318822,-0.059528006728214886
epoc12_pz,13,DMN,dmnelf010,215443.46900318822,0.08236383599239805
epoc12_pz,13,DMN,dmnelf011,100000.0,0.024353820865285255
epoc12_pz,13,DMN,dmnelf012,100000000.0,0.040938763483072044
epoc12_pz,13,DMN,dmnelf013,10000.0,0.08536597495745236
epoc12_pz,13,DMN,dmnelf014,10000.0,0.0035197509171945875
epoc12_pz,13,DMN,dmnelf015,4641.588833612777,0.008857841200064236
epoc12_pz,13,DMN,dmnelf016,10000.0,0.09093972987875704
epoc12_pz,13,DMN,dmnelf1001,2154.4346900318824,-0.014467086422663361
epoc12_pz,13,DMN,dmnelf1002,100000000.0,-0.1254047446082215
epoc12_pz,13,DMN,dmnelf1003,1000.0,0.017184924799162657
epoc12_pz,13,PDA,dmnelf001,4.641588833612778,0.06589518328089834
epoc12_pz,13,PDA,dmnelf002,46.41588833612777,-0.11875559376146247
epoc12_pz,13,PDA,dmnelf003,1.0,-0.006307398557428983
epoc12_pz,13,PDA,dmnelf004,10.0,0.042290951403485204
epoc12_pz,13,PDA,dmnelf005,4.641588833612778,0.004365004387558753
epoc12_pz,13,PDA,dmnelf006,2154.4346900318824,0.038874585444223626
epoc12_pz,13,PDA,dmnelf007,100.0,-0.030806595531959743
epoc12_pz,13,PDA,dmnelf008,100.0,0.0012209388167423506
epoc12_pz,13,PDA,dmnelf009,46.41588833612777,0.08924179762540337
epoc12_pz,13,PDA,dmnelf010,100.0,0.18208688163997883
epoc12_pz,13,PDA,dmnelf011,1000.0,0.12292872399897703
epoc12_pz,13,PDA,dmnelf012,1000.0,0.00415989356253437
epoc12_pz,13,PDA,dmnelf013,215.44346900318823,-0.06706407376401728
epoc12_pz,13,PDA,dmnelf014,1.0,-0.027758321236278412
epoc12_pz,13,PDA,dmnelf015,100.0,-0.10605671891270638
epoc12_pz,13,PDA,dmnelf016,1.0,0.016637237497187787
epoc12_pz,13,PDA,dmnelf1001,1.0,0.12044344596527587
epoc12_pz,13,PDA,dmnelf1002,21.544346900318832,-0.0736263951234175
epoc12_pz,13,PDA,dmnelf1003,1.0,0.041736962802059956
epoc12_midline,15,CEN,dmnelf001,100000000.0,0.06340287338094333
epoc12_midline,15,CEN,dmnelf002,100000000.0,0.030740516742976627
epoc12_midline,15,CEN,dmnelf003,100000000.0,0.06783849576186118
epoc12_midline,15,CEN,dmnelf004,100000000.0,-0.05451349451671411
epoc12_midline,15,CEN,dmnelf005,100000000.0,0.2203922622965858
epoc12_midline,15,CEN,dmnelf006,100000000.0,0.0864338982211044
epoc12_midline,15,CEN,dmnelf007,464158.8833612772,0.05288034771526511
epoc12_midline,15,CEN,dmnelf008,100000000.0,0.033933268883852716
epoc12_midline,15,CEN,dmnelf009,100000000.0,-0.017705042360933385
epoc12_midline,15,CEN,dmnelf010,100000000.0,0.06489257747852259
epoc12_midline,15,CEN,dmnelf011,100000000.0,0.12581170092598595
epoc12_midline,15,CEN,dmnelf012,100000000.0,0.03241794728696983
epoc12_midline,15,CEN,dmnelf013,100000000.0,0.05313474024292651
epoc12_midline,15,CEN,dmnelf014,100000000.0,0.1521017357231242
epoc12_midline,15,CEN,dmnelf015,100000000.0,0.1916509767511356
epoc12_midline,15,CEN,dmnelf016,100000000.0,0.07735918682517978
epoc12_midline,15,CEN,dmnelf1001,100000000.0,0.09652311265514196
epoc12_midline,15,CEN,dmnelf1002,100000000.0,-0.26189024378438247
epoc12_midline,15,CEN,dmnelf1003,100000000.0,-0.025828073962741966
epoc12_midline,15,DMN,dmnelf001,100000000.0,0.04413809037446548
epoc12_midline,15,DMN,dmnelf002,100000000.0,-0.013774391216474467
epoc12_midline,15,DMN,dmnelf003,2154.4346900318824,-0.04242604964672594
epoc12_midline,15,DMN,dmnelf004,10000.0,-0.02076761369912748
epoc12_midline,15,DMN,dmnelf005,100000000.0,0.11636381273737327
epoc12_midline,15,DMN,dmnelf006,21544.346900318822,-0.021182713937342848
epoc12_midline,15,DMN,dmnelf007,100000000.0,0.0684122353171859
epoc12_midline,15,DMN,dmnelf008,215443.46900318822,-0.0722325928351117
epoc12_midline,15,DMN,dmnelf009,21544.346900318822,-0.04667025503614335
epoc12_midline,15,DMN,dmnelf010,21544.346900318822,0.08727268333188742
epoc12_midline,15,DMN,dmnelf011,21544.346900318822,-0.005555825188254003
epoc12_midline,15,DMN,dmnelf012,100000000.0,0.03698572211932647
epoc12_midline,15,DMN,dmnelf013,10000.0,0.0919662601938215
epoc12_midline,15,DMN,dmnelf014,10000.0,0.007779138249865806
epoc12_midline,15,DMN,dmnelf015,4641.588833612777,0.004102707223347407
epoc12_midline,15,DMN,dmnelf016,10000.0,0.10276494524455451
epoc12_midline,15,DMN,dmnelf1001,2154.4346900318824,-0.013874463574897451
epoc12_midline,15,DMN,dmnelf1002,1.0,-0.020782367527374265
epoc12_midline,15,DMN,dmnelf1003,2154.4346900318824,-0.006622178089271219
epoc12_midline,15,PDA,dmnelf001,4.641588833612778,0.057197663496994476
epoc12_midline,15,PDA,dmnelf002,1000.0,-0.170842398417352
epoc12_midline,15,PDA,dmnelf003,10.0,-0.01578141026868236
epoc12_midline,15,PDA,dmnelf004,1.0,0.04410038997231709
epoc12_midline,15,PDA,dmnelf005,4.641588833612778,-0.00041785634526519353
epoc12_midline,15,PDA,dmnelf006,2154.4346900318824,0.03752173005267342
epoc12_midline,15,PDA,dmnelf007,1000.0,-0.038137113985638266
epoc12_midline,15,PDA,dmnelf008,1000.0,-0.04434082332867563
epoc12_midline,15,PDA,dmnelf009,46.41588833612777,0.1049577755863404
epoc12_midline,15,PDA,dmnelf010,21.544346900318832,0.17649472687201248
epoc12_midline,15,PDA,dmnelf011,1000.0,0.13064565580674734
epoc12_midline,15,PDA,dmnelf012,1000.0,0.029783118491203655
epoc12_midline,15,PDA,dmnelf013,1000.0,-0.039784866096702516
epoc12_midline,15,PDA,dmnelf014,1.0,0.005227811333833018
epoc12_midline,15,PDA,dmnelf015,100.0,-0.1107093202335075
epoc12_midline,15,PDA,dmnelf016,1000.0,-0.059811845174665604
epoc12_midline,15,PDA,dmnelf1001,21.544346900318832,0.13035563070643105
