montage,n_ch,target,held_out,alpha,r
epoc12,12,CEN,dmnelf001,215443.46900318822,0.2781597167895724
epoc12,12,CEN,dmnelf002,100000.0,0.2587801803002743
epoc12,12,CEN,dmnelf003,100000.0,-0.09051132372228796
epoc12,12,CEN,dmnelf004,100000.0,0.13429034786533348
epoc12,12,CEN,dmnelf005,215443.46900318822,0.2136108600538771
epoc12,12,CEN,dmnelf006,100000.0,0.05891443631693165
epoc12,12,CEN,dmnelf007,100000.0,0.21189943888099083
epoc12,12,CEN,dmnelf008,46415.888336127726,0.06878661494483938
epoc12,12,CEN,dmnelf009,464158.8833612772,0.11802926855441048
epoc12,12,CEN,dmnelf010,1000000.0,0.13407518581966157
epoc12,12,CEN,dmnelf011,215443.46900318822,0.2792097404049445
epoc12,12,CEN,dmnelf012,215443.46900318822,0.13597833512546675
epoc12,12,CEN,dmnelf013,215443.46900318822,0.1244111126368055
epoc12,12,CEN,dmnelf014,100000.0,0.11486758671780413
epoc12,12,CEN,dmnelf015,100000.0,0.26407783975093324
epoc12,12,CEN,dmnelf016,215443.46900318822,0.17410232100560907
epoc12,12,CEN,dmnelf1001,100000.0,0.08364060049580312
epoc12,12,CEN,dmnelf1002,100000.0,-0.022341696161819337
epoc12,12,CEN,dmnelf1003,1000000.0,0.08129515916062814
epoc12,12,DMN,dmnelf001,100000000.0,0.17474126015606212
epoc12,12,DMN,dmnelf002,100000000.0,0.21696565380155203
epoc12,12,DMN,dmnelf003,100000000.0,-0.03870487637307712
epoc12,12,DMN,dmnelf004,100000000.0,0.03120578415238046
epoc12,12,DMN,dmnelf005,100000000.0,0.2091842296473093
epoc12,12,DMN,dmnelf006,100000000.0,0.06438303091736032
epoc12,12,DMN,dmnelf007,100000000.0,0.1361845708309325
epoc12,12,DMN,dmnelf008,464158.8833612772,0.000822226843160271
epoc12,12,DMN,dmnelf009,2154434.6900318824,-0.010617725605082968
epoc12,12,DMN,dmnelf010,215443.46900318822,0.21948720903838204
epoc12,12,DMN,dmnelf011,464158.8833612772,0.28220191159838287
epoc12,12,DMN,dmnelf012,215443.46900318822,0.08500033502676776
epoc12,12,DMN,dmnelf013,215443.46900318822,0.007984055565258396
epoc12,12,DMN,dmnelf014,215443.46900318822,-0.1566531790281655
epoc12,12,DMN,dmnelf015,464158.8833612772,0.06001940072371254
epoc12,12,DMN,dmnelf016,1000000.0,0.2857187086076732
epoc12,12,DMN,dmnelf1001,1000.0,-0.06656961696510495
epoc12,12,DMN,dmnelf1002,215443.46900318822,0.024484115320729645
epoc12,12,DMN,dmnelf1003,100000000.0,0.15860096373734023
epoc12,12,PDA,dmnelf001,1.0,0.08565746903736629
epoc12,12,PDA,dmnelf002,1.0,-0.13516587582669531
epoc12,12,PDA,dmnelf003,1.0,-0.04041990837556357
epoc12,12,PDA,dmnelf004,1.0,-0.10190793743323621
epoc12,12,PDA,dmnelf005,1.0,-0.02461639208150127
epoc12,12,PDA,dmnelf006,1.0,-0.11422140411688786
epoc12,12,PDA,dmnelf007,1.0,-0.26026045987837987
epoc12,12,PDA,dmnelf008,215.44346900318823,-0.2072507133766247
epoc12,12,PDA,dmnelf009,1.0,-0.2631941033619279
epoc12,12,PDA,dmnelf010,1.0,0.15326292597458263
epoc12,12,PDA,dmnelf011,1.0,0.2280440928627592
epoc12,12,PDA,dmnelf012,1.0,0.07781669953053146
epoc12,12,PDA,dmnelf013,1.0,-0.2402906638194603
epoc12,12,PDA,dmnelf014,1.0,0.04847862703363824
epoc12,12,PDA,dmnelf015,1.0,-0.04535438256812803
epoc12,12,PDA,dmnelf016,1.0,-0.060353155737893
epoc12,12,PDA,dmnelf1001,1.0,-0.06078178926361913
epoc12,12,PDA,dmnelf1002,2.154434690031884,-0.037520012793262315
epoc12,12,PDA,dmnelf1003,1.0,0.07043435555360249
epoc12_pz,13,CEN,dmnelf001,215443.46900318822,0.2795039000402668
epoc12_pz,13,CEN,dmnelf002,100000.0,0.26152374300493914
epoc12_pz,13,CEN,dmnelf003,100000.0,-0.09764971890309321
epoc12_pz,13,CEN,dmnelf004,100000.0,0.1380981673625934
epoc12_pz,13,CEN,dmnelf005,215443.46900318822,0.22210566379282365
epoc12_pz,13,CEN,dmnelf006,100000.0,0.07724133457906247
epoc12_pz,13,CEN,dmnelf007,100000.0,0.22039403964816656
epoc12_pz,13,CEN,dmnelf008,46415.888336127726,0.07933167808990643
epoc12_pz,13,CEN,dmnelf009,464158.8833612772,0.1371265761648904
